Country,Algeria,Angola,Argentina,Australia,Austria,Azerbaijan,Bahrain,Bangladesh,Belarus,Belgium,Benin,Bolivia,Botswana,Brazil,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Chad,Chile,China,Colombia,Costa Rica,Czech Republic,DR Congo,Denmark,Dominican Republic,Ecuador,Egypt,El Salvador,Ethiopia,Finland,France,Germany,Ghana,Greece,Guatemala,Guinea,Haiti,Honduras,Hungary,India,Indonesia,Ireland,Israel,Italy,Japan,Jordan,Kazakhstan,Kenya,Kuwait,Madagascar,Malawi,Malaysia,Mali,Mexico,Morocco,Mozambique,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,Norway,Oman,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saudi Arabia,Senegal,Serbia,Sierra Leone,Singapore,South Africa,South Korea,Spain,Sudan,Sweden,Switzerland,Tajikistan,Tanzania,Thailand,Togo,Tunisia,Turkey,Uganda,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan
Score,51.3,37.3,57.4,65.4,71.4,50.4,53.8,48.9,56.5,67.7,45.9,52.0,47.8,59.9,60.4,48.2,43.5,50.3,39.1,64.5,37.3,65.1,62.8,58.6,62.9,71.4,36.7,69.4,54.8,55.3,49.2,53.3,44.1,76.1,70.1,71.2,48.3,66.8,52.9,36.0,39.2,51.0,65.2,50.3,50.7,74.0,60.5,66.5,74.3,56.9,56.1,45.0,61.7,41.9,38.5,58.3,44.3,59.5,51.8,41.8,49.4,70.5,72.4,47.9,47.4,41.5,71.1,58.5,43.3,61.5,50.5,56.5,47.5,66.6,66.8,64.8,65.4,59.4,42.7,59.5,44.4,56.2,42.6,69.3,55.0,62.0,65.1,39.2,72.9,71.2,45.4,44.7,56.0,44.1,50.5,54.6,43.5,61.6,70.8,71.0,61.5,51.4
natural,52.1,40.8,46.2,54.9,59.8,54.4,49.8,32.1,58.4,51.1,41.2,45.5,45.5,45.5,56.8,53.9,54.7,35.8,46.2,50.5,42.0,58.1,45.0,59.7,53.0,59.6,47.2,54.8,52.2,47.6,55.1,45.8,45.3,60.2,57.9,57.3,45.8,56.5,49.9,43.0,42.3,51.5,53.4,41.8,38.7,59.2,58.3,55.9,56.6,57.3,48.5,42.6,42.3,37.9,47.6,46.2,47.2,48.9,57.3,39.7,45.8,58.7,65.4,46.4,55.4,42.4,64.2,55.3,53.1,59.5,32.1,50.3,40.7,55.8,53.3,42.8,58.3,45.8,47.3,56.3,44.2,50.7,51.6,50.3,40.3,50.4,55.6,47.4,57.3,60.8,47.2,42.4,44.8,47.6,44.9,45.2,42.9,56.7,57.3,50.2,40.0,41.5
human,56.4,36.8,66.8,73.9,76.4,64.7,61.1,51.2,68.3,77.9,41.8,56.1,42.9,75.6,60.8,36.5,42.0,50.5,45.3,73.5,28.5,73.5,69.1,61.8,64.8,69.3,29.0,79.2,57.0,64.5,56.8,62.2,40.8,77.0,78.7,78.9,50.3,77.2,51.8,39.8,41.0,52.8,65.6,50.4,53.8,77.2,76.2,77.9,74.9,54.8,61.5,44.6,70.9,36.3,36.9,68.6,46.0,69.1,48.5,33.6,51.5,80.2,75.3,53.3,35.8,38.0,76.8,61.7,44.9,60.0,54.1,69.4,52.3,69.2,76.2,71.1,64.1,64.8,43.4,69.2,32.9,56.3,35.2,84.1,57.7,74.4,74.4,33.1,77.4,76.9,40.3,44.4,60.3,35.9,55.1,72.6,43.5,62.0,77.2,77.4,73.9,58.0
social,44.2,35.0,64.2,81.6,74.9,45.7,45.4,60.8,63.4,74.4,51.3,58.6,57.3,73.3,61.0,51.4,31.7,58.5,35.3,76.1,41.7,78.2,72.5,65.7,75.3,73.8,23.1,72.6,62.2,46.3,55.6,52.2,41.4,88.5,73.6,75.9,55.6,67.4,59.3,42.4,32.9,49.2,68.3,68.8,61.1,76.9,65.0,62.6,81.6,56.0,55.3,44.7,57.0,34.4,37.3,61.2,41.0,57.1,44.7,45.8,53.0,78.7,72.1,45.1,39.5,36.3,80.5,66.5,44.3,67.3,61.3,68.7,49.1,70.4,69.5,68.7,67.4,53.5,49.6,58.4,50.2,63.9,50.1,78.4,66.8,61.5,63.6,30.2,85.4,79.0,37.1,51.2,46.7,48.5,54.1,53.4,35.0,60.2,78.2,72.8,77.4,56.0
financial,55.3,38.9,59.5,72.8,68.8,45.2,75.8,53.3,60.5,73.0,58.0,60.1,51.3,54.2,61.2,51.8,36.6,50.3,38.6,65.1,50.7,64.4,63.0,55.1,61.0,68.1,50.9,68.5,56.4,64.4,36.8,58.4,53.0,69.8,69.6,71.3,43.9,69.5,54.8,37.3,44.3,60.1,71.1,47.7,49.0,73.2,72.0,68.0,70.5,59.8,55.3,48.7,71.5,52.4,31.7,67.7,51.4,61.8,58.9,48.3,51.1,67.5,71.9,56.4,57.4,50.6,58.8,75.0,56.9,63.2,54.3,55.7,58.0,68.6,70.2,78.8,70.2,66.4,38.5,66.8,56.0,66.6,37.9,78.1,51.6,59.7,65.2,43.8,72.5,64.3,62.5,43.4,62.2,53.7,47.1,49.0,46.2,76.2,71.7,72.5,58.5,59.1
manufactured,48.3,35.1,50.4,43.8,77.4,42.1,37.1,46.9,32.0,61.9,37.3,39.8,42.1,50.9,62.2,47.5,52.5,56.3,30.1,57.3,23.6,51.2,64.3,50.5,60.6,86.0,33.5,71.6,46.3,53.6,41.8,47.9,40.0,84.7,70.5,72.8,45.9,63.3,48.7,17.4,35.5,41.6,67.4,42.9,50.7,83.6,30.9,68.2,88.1,56.6,59.9,44.2,66.8,48.4,38.9,47.8,36.1,60.5,49.8,41.9,45.6,67.7,77.5,38.4,48.9,40.3,75.3,34.3,17.4,57.4,50.8,38.2,37.4,69.1,65.0,62.7,66.8,66.5,34.9,46.9,38.7,43.5,38.3,55.6,58.5,64.0,67.0,41.6,72.1,75.1,40.2,42.0,66.3,34.7,51.1,52.7,49.8,52.9,69.7,81.8,57.9,42.2
BDH.new,39.0,39.3,43.1,83.1,85.5,56.8,18.9,46.8,61.2,87.4,67.0,83.6,91.6,60.2,77.7,77.6,52.3,60.1,48.2,55.4,69.0,64.6,18.0,72.8,69.8,85.7,70.9,81.4,81.6,76.9,50.6,35.8,72.2,75.2,88.3,88.8,58.9,72.6,41.2,59.9,29.7,59.9,82.0,33.7,55.8,65.8,46.6,75.6,76.6,28.6,41.6,53.5,66.0,23.3,84.2,55.1,59.6,72.4,67.4,67.4,62.6,83.7,83.9,59.6,77.6,53.6,71.0,28.2,46.1,60.4,62.8,58.9,56.6,89.0,73.0,41.3,85.0,54.1,57.4,38.8,68.7,54.2,52.9,20.9,62.6,62.1,84.0,46.6,71.7,62.4,65.8,69.9,53.0,64.2,37.1,15.1,81.4,80.9,88.0,67.5,24.1,37.6
ECS,23.8,34.4,27.4,27.8,38.6,79.0,100.0,24.6,30.2,33.2,25.2,30.8,61.7,28.6,43.3,95.5,36.6,17.8,32.1,29.5,24.5,27.1,34.9,38.2,36.3,30.5,28.6,30.9,26.8,37.8,61.3,33.9,41.0,22.0,37.8,43.0,16.9,44.4,19.9,12.0,26.6,22.0,29.0,34.6,20.4,28.7,40.4,40.1,43.2,78.9,64.5,31.5,48.4,15.0,23.6,13.3,22.5,33.0,42.4,24.6,69.3,44.4,28.2,20.7,97.7,25.4,33.4,67.0,81.5,34.8,19.7,37.0,32.2,29.1,8.5,0.0,41.7,28.9,29.9,96.9,25.3,46.5,9.8,22.1,20.8,33.8,25.8,60.5,23.2,49.5,97.6,28.2,25.0,30.4,22.2,38.1,25.6,100.0,28.1,27.2,21.1,67.7
Sealevel,99.7,99.2,91.9,94.4,61.3,91.6,0.0,38.2,88.4,28.8,88.0,93.7,99.0,95.5,97.6,94.3,98.5,80.1,99.4,81.8,99.4,90.9,89.5,93.8,91.7,62.3,99.8,0.0,84.0,87.3,84.9,83.4,91.0,94.1,86.2,62.3,91.6,65.7,96.9,91.9,79.7,73.1,80.1,84.7,75.1,88.2,88.1,60.4,60.4,99.9,91.3,97.8,19.0,92.4,93.9,88.3,80.8,75.7,97.9,88.7,84.7,0.0,89.1,71.3,97.2,97.2,88.9,92.4,85.9,84.2,89.0,96.4,71.8,88.5,93.5,4.4,72.7,93.2,98.5,95.5,64.5,86.0,82.9,0.0,99.0,81.8,95.3,99.3,91.6,69.6,92.3,99.1,75.4,96.5,81.3,94.6,98.5,57.3,63.3,86.1,79.7,92.3
Forest,61.2,39.2,56.0,61.7,62.7,64.6,61.7,59.8,65.6,62.7,39.7,51.7,50.7,43.5,74.2,52.2,73.7,20.1,54.1,60.3,56.9,68.9,71.8,53.6,67.5,62.2,43.1,69.4,69.4,49.3,60.8,50.2,57.9,61.7,69.4,61.2,48.3,67.5,43.1,53.6,58.4,51.7,63.6,64.1,48.3,66.5,62.7,70.8,61.2,60.8,61.2,58.4,60.8,57.9,39.2,60.3,60.8,57.4,61.7,47.8,64.6,61.2,60.8,23.0,60.3,52.2,61.2,60.8,58.4,54.1,16.3,55.5,58.4,64.6,62.2,60.8,68.9,61.7,58.9,60.8,51.2,74.2,47.8,53.6,59.3,54.1,68.9,44.0,61.7,65.1,61.2,40.7,66.5,58.4,61.2,67.0,50.7,61.2,63.6,63.2,70.8,65.1
