index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.28,0,-0.38,0,0,0,0,-0.26
natural,-0.49,0,-0.0,0,0,0,0,0.39
human,0.12,0,-0.5,0,0,0,0,-0.25
social,0.71,0,-0.06,0,0,0,0,-0.09
financial,-0.15,0,-0.79,0,0,0,0,-0.42
manufactured,0.07,0,0.13,0,0,0,0,-0.01
BDH.new,0.43,0,-0.36,0,0,0,0,-0.21
ECS,-0.01,0,-0.33,0,0,0,0,0.19
Sealevel,0.0,0,0.0,0,0,0,0,0.0
Forest,0.58,0,-0.33,0,0,0,0,-0.15
Land,0.0,0,0.0,0,0,0,0,0.0
energy,-0.55,0,-0.12,0,0,0,0,0.32
Water,-0.26,0,-0.43,0,0,0,0,0.24
GHP.new,-0.18,0,0.49,0,0,0,0,-0.05
WaterQuant,0.0,0,0.0,0,0,0,0,0.0
WaterQual,0.0,0,0.0,0,0,0,0,0.0
Demographics,0.0,0,0.0,0,0,0,0,0.0
literacy,-0.25,0,-0.33,0,0,0,0,-0.15
HDI,-0.29,0,-0.4,0,0,0,0,0.26
labrate,-0.6,0,0.41,0,0,0,0,-0.03
agprod,-0.34,0,0.5,0,0,0,0,0.17
agVol,0.46,0,-0.35,0,0,0,0,-0.31
obesity,0.05,0,-0.39,0,0,0,0,0.05
foodsafe,0.18,0,-0.34,0,0,0,0,-0.19
drinking,0.01,0,0.32,0,0,0,0,-0.1
Micro,-0.58,0,0.33,0,0,0,0,0.15
Protein,-0.04,0,0.35,0,0,0,0,0.19
Diversity,-0.32,0,0.34,0,0,0,0,0.24
urbancap,0.44,0,-0.6,0,0,0,0,-0.25
safetynet,0.0,0,0.0,0,0,0,0,0.0
policyfood,0.58,0,-0.33,0,0,0,0,-0.15
nutritional,-0.06,0,0.51,0,0,0,0,0.3
gender,0.04,0,0.3,0,0,0,0,0.04
political,0.26,0,0.43,0,0,0,0,-0.24
corruption,0.0,0,0.0,0,0,0,0,0.0
conflict,0.0,0,0.0,0,0,0,0,0.0
perCapita,0.08,0,-0.13,0,0,0,0,0.08
edu,-0.1,0,-0.5,0,0,0,0,-0.36
tariff,0.1,0,-0.57,0,0,0,0,-0.39
agGDP,-0.03,0,0.51,0,0,0,0,0.21
finance,0.26,0,0.43,0,0,0,0,-0.24
priceVol,-0.47,0,-0.37,0,0,0,0,0.47
foodloss,0.25,0,0.43,0,0,0,0,0.23
kofgi,-0.15,0,-0.72,0,0,0,0,0.32
agadaptpolicy,0.0,0,-0.16,0,0,0,0,-0.15
climatesma,0.0,0,0.0,0,0,0,0,0.0
disman,-0.06,0,0.51,0,0,0,0,0.3
Nindex,-0.34,0,-0.13,0,0,0,0,-0.15
RND,-0.11,0,-0.36,0,0,0,0,0.3
mobile,-0.6,0,0.34,0,0,0,0,0.29
transport,-0.06,0,0.51,0,0,0,0,0.3
storage,0.25,0,0.12,0,0,0,0,-0.08
