index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.58,0,0.33,0.05,-0.41,0,0,0
natural,0.38,0,-0.47,-0.3,-0.5,0,0,0
human,0.86,0,-0.08,-0.08,0.09,0,0,0
social,0.43,0,-0.51,-0.14,-0.66,0,0,0
financial,0.02,0,0.31,0.42,-0.01,0,0,0
manufactured,-0.12,0,0.5,-0.28,-0.16,0,0,0
BDH.new,0.12,0,-0.4,-0.14,-0.47,0,0,0
ECS,0.52,0,-0.43,-0.33,-0.53,0,0,0
Sealevel,0.0,0,0.0,0.0,0.0,0,0,0
Forest,0.24,0,-0.6,-0.19,-0.34,0,0,0
Land,0.0,0,0.0,0.0,0.0,0,0,0
energy,0.5,0,-0.24,-0.3,0.11,0,0,0
Water,0.51,0,-0.45,-0.25,-0.41,0,0,0
GHP.new,-0.17,0,0.64,-0.25,0.55,0,0,0
WaterQuant,0.0,0,0.0,0.0,0.0,0,0,0
WaterQual,0.0,0,0.0,0.0,0.0,0,0,0
Demographics,0.44,0,-0.43,-0.2,-0.61,0,0,0
literacy,0.1,0,0.32,0.17,0.47,0,0,0
HDI,-0.54,0,0.44,0.26,0.4,0,0,0
labrate,0.44,0,0.04,0.06,-0.08,0,0,0
agprod,0.52,0,-0.47,-0.36,-0.49,0,0,0
agVol,0.61,0,-0.46,-0.32,-0.48,0,0,0
obesity,-0.35,0,0.45,0.37,0.56,0,0,0
foodsafe,0.54,0,-0.5,-0.33,-0.43,0,0,0
drinking,0.43,0,-0.42,-0.22,-0.61,0,0,0
Micro,0.16,0,0.18,0.15,-0.77,0,0,0
Protein,0.41,0,-0.02,0.07,0.07,0,0,0
Diversity,-0.32,0,-0.05,0.46,-0.12,0,0,0
urbancap,-0.09,0,0.18,-0.04,0.19,0,0,0
safetynet,0.16,0,0.18,0.15,0.12,0,0,0
policyfood,0.0,0,0.0,0.0,0.0,0,0,0
nutritional,0.41,0,-0.43,-0.34,-0.6,0,0,0
gender,0.37,0,-0.39,-0.26,-0.51,0,0,0
political,0.12,0,-0.3,-0.27,-0.38,0,0,0
corruption,0.24,0,-0.59,0.22,-0.62,0,0,0
conflict,0.0,0,0.0,0.0,0.0,0,0,0
perCapita,-0.54,0,0.12,-0.17,0.46,0,0,0
edu,0.49,0,0.27,0.15,-0.23,0,0,0
tariff,0.08,0,-0.74,0.79,-0.25,0,0,0
agGDP,-0.58,0,0.43,0.59,-0.08,0,0,0
finance,0.0,0,0.0,0.0,0.0,0,0,0
priceVol,-0.38,0,0.21,0.48,0.2,0,0,0
foodloss,-0.05,0,-0.49,0.29,-0.14,0,0,0
kofgi,0.63,0,-0.46,-0.22,-0.5,0,0,0
agadaptpolicy,-0.1,0,0.44,-0.29,-0.24,0,0,0
climatesma,0.0,0,0.0,0.0,0.0,0,0,0
disman,0.0,0,0.0,0.0,0.0,0,0,0
Nindex,0.27,0,-0.77,-0.36,-0.03,0,0,0
RND,-0.29,0,0.03,0.07,0.76,0,0,0
mobile,0.13,0,0.3,0.42,0.01,0,0,0
transport,-0.51,0,0.45,0.25,0.41,0,0,0
storage,0.0,0,0.0,0.0,0.0,0,0,0
