index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.58,0,0.06,0,-0.2,0,0.26,0
natural,0.3,0,0.03,0,0.16,0,0.27,0
human,0.59,0,-0.11,0,0.0,0,0.02,0
social,0.05,0,-0.65,0,0.38,0,-0.02,0
financial,-0.08,0,-0.51,0,0.04,0,-0.04,0
manufactured,0.39,0,0.65,0,-0.47,0,0.29,0
BDH.new,0.25,0,-0.08,0,0.25,0,0.27,0
ECS,-0.33,0,-0.2,0,-0.01,0,-0.16,0
Sealevel,0.0,0,0.0,0,0.0,0,0.0,0
Forest,0.29,0,0.41,0,-0.1,0,0.2,0
Land,0.0,0,0.0,0,-0.0,0,0.0,0
energy,0.01,0,0.33,0,-0.41,0,-0.18,0
Water,0.4,0,0.3,0,0.04,0,0.18,0
GHP.new,0.0,0,0.0,0,0.0,0,0.0,0
WaterQuant,0.0,0,0.0,0,0.0,0,0.0,0
WaterQual,0.0,0,0.0,0,0.0,0,0.0,0
Demographics,0.29,0,0.36,0,-0.05,0,0.26,0
literacy,0.0,0,0.0,0,0.0,0,0.0,0
HDI,-0.37,0,-0.11,0,-0.15,0,-0.26,0
labrate,0.5,0,0.25,0,-0.12,0,0.44,0
agprod,0.43,0,0.37,0,-0.14,0,0.2,0
agVol,0.49,0,-0.34,0,0.13,0,-0.1,0
obesity,-0.23,0,-0.58,0,0.28,0,-0.28,0
foodsafe,0.19,0,0.3,0,-0.29,0,0.05,0
drinking,0.31,0,0.53,0,-0.2,0,0.28,0
Micro,0.13,0,-0.34,0,0.38,0,0.28,0
Protein,0.25,0,0.31,0,-0.39,0,0.09,0
Diversity,0.13,0,-0.34,0,0.38,0,0.28,0
urbancap,-0.03,0,0.1,0,0.14,0,-0.03,0
safetynet,0.0,0,0.0,0,0.0,0,0.0,0
policyfood,0.12,0,-0.34,0,0.38,0,0.28,0
nutritional,-0.12,0,-0.7,0,0.22,0,-0.26,0
gender,0.28,0,0.29,0,0.01,0,0.26,0
political,0.19,0,-0.44,0,0.21,0,0.42,0
corruption,0.12,0,0.35,0,-0.15,0,-0.12,0
conflict,0.0,0,0.0,0,0.0,0,0.0,0
perCapita,-0.26,0,0.1,0,0.05,0,-0.47,0
edu,0.08,0,0.15,0,-0.34,0,-0.25,0
tariff,0.12,0,-0.34,0,0.38,0,0.28,0
agGDP,0.07,0,-0.75,0,0.36,0,-0.2,0
finance,0.0,0,0.0,0,0.0,0,0.0,0
priceVol,0.22,0,-0.46,0,0.27,0,0.39,0
foodloss,-0.41,0,-0.3,0,-0.04,0,-0.18,0
kofgi,0.48,0,0.18,0,-0.11,0,-0.06,0
agadaptpolicy,0.0,0,0.0,0,0.0,0,0.0,0
climatesma,0.0,0,0.0,0,0.0,0,0.0,0
disman,-0.18,0,0.8,0,-0.28,0,0.66,0
Nindex,-0.18,0,0.2,0,-0.29,0,-0.28,0
RND,-0.4,0,-0.12,0,-0.02,0,-0.22,0
mobile,0.34,0,0.03,0,0.17,0,0.11,0
transport,0.0,0,0.0,0,0.0,0,0.0,0
storage,0.5,0,0.55,0,-0.43,0,0.25,0
