index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,0.14,0.28,0.51,0.06,0,0,0.41
natural,0,0.04,-0.48,-0.38,-0.27,0,0,-0.32
human,0,0.66,-0.1,0.06,0.32,0,0,0.11
social,0,-0.56,0.56,0.31,0.17,0,0,0.37
financial,0,-0.08,-0.11,0.1,0.17,0,0,0.28
manufactured,0,0.39,0.16,0.54,-0.12,0,0,0.27
BDH.new,0,0.38,0.35,0.48,0.43,0,0,0.25
ECS,0,0.09,-0.5,-0.34,-0.32,0,0,-0.28
Sealevel,0,0.0,0.0,0.0,0.0,0,0,0.0
Forest,0,-0.29,0.51,0.1,0.47,0,0,-0.19
Land,0,0.0,0.0,0.0,0.0,0,0,0.0
energy,0,-0.27,0.49,0.2,0.31,0,0,0.16
Water,0,-0.48,0.58,0.37,0.18,0,0,0.4
GHP.new,0,-0.21,-0.41,-0.51,-0.38,0,0,-0.29
WaterQuant,0,0.0,0.0,0.0,0.0,0,0,0.0
WaterQual,0,0.0,0.0,0.0,0.0,0,0,0.0
Demographics,0,-0.11,0.49,0.27,0.45,0,0,0.14
literacy,0,0.46,-0.07,-0.24,0.61,0,0,-0.09
HDI,0,0.54,-0.58,-0.38,-0.13,0,0,-0.43
labrate,0,-0.34,0.23,0.53,-0.53,0,0,0.47
agprod,0,-0.37,0.58,0.13,0.51,0,0,0.07
agVol,0,0.55,-0.02,0.44,-0.03,0,0,0.55
obesity,0,0.17,-0.52,-0.34,-0.33,0,0,-0.22
foodsafe,0,0.28,0.19,0.36,0.11,0,0,0.42
drinking,0,-0.01,0.44,0.34,0.38,0,0,0.18
Micro,0,0.19,-0.06,0.24,0.21,0,0,0.12
Protein,0,0.38,-0.2,0.07,-0.16,0,0,0.25
Diversity,0,-0.38,0.2,-0.07,0.16,0,0,-0.25
urbancap,0,0.48,0.2,0.41,0.38,0,0,0.11
safetynet,0,0.0,0.0,0.0,0.0,0,0,0.0
policyfood,0,0.0,0.0,0.0,0.0,0,0,0.0
nutritional,0,-0.69,0.49,0.24,0.07,0,0,0.35
gender,0,-0.17,0.53,0.27,0.41,0,0,0.12
political,0,-0.27,0.58,0.34,0.21,0,0,0.36
corruption,0,0.0,0.0,0.0,0.0,0,0,0.0
conflict,0,0.0,0.0,0.0,0.0,0,0,0.0
perCapita,0,-0.07,0.54,0.14,0.72,0,0,0.11
edu,0,0.06,-0.65,-0.27,-0.47,0,0,0.0
tariff,0,0.46,-0.34,0.1,-0.33,0,0,0.25
agGDP,0,-0.09,-0.53,-0.45,-0.39,0,0,-0.31
finance,0,0.0,0.0,0.0,0.0,0,0,0.0
priceVol,0,-0.03,0.05,0.24,0.29,0,0,0.33
foodloss,0,-0.52,0.59,0.32,0.13,0,0,0.34
kofgi,0,0.2,-0.51,-0.25,-0.4,0,0,-0.06
agadaptpolicy,0,0.19,-0.37,0.24,-0.84,0,0,0.12
climatesma,0,0.0,0.0,0.0,0.0,0,0,0.0
disman,0,-0.21,0.54,0.21,0.36,0,0,0.25
Nindex,0,-0.33,-0.46,-0.42,-0.36,0,0,-0.22
RND,0,0.7,-0.29,0.26,-0.0,0,0,0.02
mobile,0,0.08,0.45,0.33,0.5,0,0,0.16
transport,0,-0.27,0.41,0.39,0.23,0,0,0.35
storage,0,0.29,0.34,0.37,0.26,0,0,0.19
