index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,0,-0.63,0,0,0,-0.45,-0.04
natural,0,0,-0.86,0,0,0,-0.48,-0.23
human,0,0,-0.16,0,0,0,-0.2,0.2
social,0,0,-0.57,0,0,0,-0.51,-0.09
financial,0,0,-0.7,0,0,0,-0.37,0.08
manufactured,0,0,0.21,0,0,0,0.27,-0.12
BDH.new,0,0,0.85,0,0,0,0.66,0.11
ECS,0,0,-0.8,0,0,0,-0.71,-0.25
Sealevel,0,0,0.0,0,0,0,0.0,0.0
Forest,0,0,-0.83,0,0,0,0.12,0.25
Land,0,0,0.0,0,0,0,0.0,0.0
energy,0,0,-0.89,0,0,0,-0.38,-0.14
Water,0,0,-0.29,0,0,0,-0.32,-0.12
GHP.new,0,0,0.54,0,0,0,0.37,-0.16
WaterQuant,0,0,0.0,0,0,0,0.0,0.0
WaterQual,0,0,0.0,0,0,0,0.0,0.0
Demographics,0,0,-0.35,0,0,0,-0.42,0.01
literacy,0,0,0.01,0,0,0,-0.16,-0.32
HDI,0,0,0.25,0,0,0,0.31,0.13
labrate,0,0,-0.86,0,0,0,-0.18,0.08
agprod,0,0,-0.73,0,0,0,-0.44,0.07
agVol,0,0,-0.52,0,0,0,-0.25,0.07
obesity,0,0,0.77,0,0,0,0.4,-0.06
foodsafe,0,0,0.29,0,0,0,-0.21,0.02
drinking,0,0,-0.43,0,0,0,-0.39,0.09
Micro,0,0,-0.83,0,0,0,0.12,0.25
Protein,0,0,0.27,0,0,0,0.12,-0.09
Diversity,0,0,-0.31,0,0,0,-0.36,0.13
urbancap,0,0,-0.61,0,0,0,-0.14,0.23
safetynet,0,0,0.0,0,0,0,0.0,0.0
policyfood,0,0,-0.29,0,0,0,-0.32,-0.12
nutritional,0,0,-0.58,0,0,0,-0.42,0.17
gender,0,0,-0.25,0,0,0,-0.63,0.1
political,0,0,0.26,0,0,0,0.36,-0.2
corruption,0,0,-0.51,0,0,0,-0.55,-0.22
conflict,0,0,0.0,0,0,0,0.0,0.0
perCapita,0,0,0.42,0,0,0,-0.01,-0.32
edu,0,0,-0.36,0,0,0,-0.09,0.27
tariff,0,0,0.43,0,0,0,0.4,-0.22
agGDP,0,0,0.09,0,0,0,0.68,0.28
finance,0,0,0.0,0,0,0,0.0,0.0
priceVol,0,0,-0.74,0,0,0,-0.49,-0.07
foodloss,0,0,-0.35,0,0,0,-0.34,-0.11
kofgi,0,0,-0.53,0,0,0,0.25,0.35
agadaptpolicy,0,0,0.85,0,0,0,0.66,0.11
climatesma,0,0,0.0,0,0,0,0.0,0.0
disman,0,0,-0.5,0,0,0,-0.48,-0.09
Nindex,0,0,0.42,0,0,0,0.91,0.23
RND,0,0,-0.08,0,0,0,-0.03,0.29
mobile,0,0,-0.54,0,0,0,-0.13,-0.33
transport,0,0,-0.22,0,0,0,0.02,-0.22
storage,0,0,0.0,0,0,0,0.0,0.0
