index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.14,0,-0.36,-0.05,0,-0.08,-0.08,0.33
natural,0.58,0,-0.23,-0.01,0,-0.4,-0.4,-0.16
human,-0.04,0,-0.57,-0.32,0,-0.14,-0.14,-0.08
social,0.28,0,-0.02,0.41,0,-0.04,-0.04,-0.02
financial,-0.08,0,-0.19,-0.31,0,-0.06,-0.06,0.85
manufactured,0.19,0,-0.1,0.1,0,0.25,0.25,0.05
BDH.new,-0.06,0,0.4,0.07,0,-0.22,-0.22,-0.22
ECS,0.41,0,-0.23,-0.07,0,-0.24,-0.24,-0.24
Sealevel,0.0,0,0.0,0.0,0,0.0,0.0,0.0
Forest,0.25,0,-0.22,0.06,0,-0.66,-0.66,0.19
Land,0.0,0,0.0,0.0,0,0.0,0.0,0.0
energy,0.28,0,-0.54,-0.18,0,0.02,0.02,0.4
Water,0.43,0,0.2,0.28,0,-0.4,-0.4,-0.4
GHP.new,0.03,0,0.39,0.3,0,-0.34,-0.34,-0.34
WaterQuant,0.0,0,0.0,0.0,0,0.0,0.0,0.0
WaterQual,0.0,0,0.0,0.0,0,0.0,0.0,0.0
Demographics,-0.11,0,-0.28,-0.2,0,0.43,0.43,0.3
literacy,-0.25,0,-0.35,-0.27,0,-0.19,-0.19,-0.19
HDI,0.46,0,0.18,0.29,0,-0.38,-0.38,-0.4
labrate,-0.29,0,0.36,0.5,0,0.5,0.5,0.5
agprod,-0.19,0,-0.15,-0.04,0,0.4,0.4,0.28
agVol,0.3,0,-0.12,0.13,0,-0.16,-0.16,0.13
obesity,0.08,0,0.31,0.29,0,-0.39,-0.39,-0.36
foodsafe,-0.19,0,-0.12,-0.26,0,0.42,0.42,0.41
drinking,-0.11,0,-0.24,-0.24,0,0.45,0.45,0.31
Micro,0.17,0,0.16,0.18,0,0.12,0.12,0.12
Protein,0.38,0,-0.64,-0.4,0,-0.18,-0.18,-0.18
Diversity,0.04,0,-0.55,-0.25,0,0.24,0.24,0.24
urbancap,-0.08,0,0.35,0.36,0,-0.38,-0.38,-0.31
safetynet,0.0,0,0.0,0.0,0,0.0,0.0,0.0
policyfood,0.0,0,-0.43,0.11,0,0.19,0.19,0.19
nutritional,0.49,0,0.3,0.38,0,-0.19,-0.19,-0.19
gender,0.05,0,-0.3,-0.35,0,0.39,0.39,0.3
political,0.24,0,0.14,0.26,0,0.18,0.18,0.18
corruption,0.0,0,0.0,0.0,0,0.0,0.0,0.0
conflict,0.0,0,0.0,0.0,0,0.0,0.0,0.0
perCapita,-0.2,0,-0.32,-0.38,0,0.01,0.01,0.07
edu,-0.3,0,-0.41,-0.22,0,-0.3,-0.3,0.73
tariff,0.39,0,0.0,0.23,0,-0.47,-0.47,-0.47
agGDP,-0.07,0,0.27,-0.08,0,0.29,0.29,-0.02
finance,0.0,0,0.0,0.0,0,0.0,0.0,0.0
priceVol,0.19,0,0.23,-0.15,0,0.35,0.35,0.27
foodloss,0.44,0,0.18,0.21,0,-0.29,-0.29,-0.28
kofgi,-0.03,0,0.42,0.34,0,-0.42,-0.42,-0.3
agadaptpolicy,0.0,0,0.0,0.0,0,0.0,0.0,0.0
climatesma,0.0,0,0.0,0.0,0,0.0,0.0,0.0
disman,0.0,0,0.0,0.0,0,0.0,0.0,0.0
Nindex,0.15,0,-0.38,-0.56,0,0.24,0.24,0.24
RND,0.17,0,0.37,0.53,0,0.1,0.1,0.1
mobile,0.12,0,-0.23,-0.02,0,0.25,0.25,-0.0
transport,0.17,0,0.07,0.18,0,0.12,0.12,0.12
storage,0.0,0,0.0,0.0,0,0.0,0.0,0.0
