index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,-0.37,0,-0.54,0.54,-0.37,0,0.15,0.37
natural,-0.06,0,0.33,-0.19,0.26,0,0.63,-0.29
human,0.02,0,-0.39,0.26,-0.23,0,-0.61,0.4
social,-0.14,0,-0.66,0.31,-0.56,0,0.36,0.27
financial,-0.58,0,0.06,0.26,-0.01,0,0.41,-0.18
manufactured,0.01,0,-0.39,0.33,-0.18,0,0.08,0.4
BDH.new,-0.05,0,0.33,-0.29,0.19,0,0.66,-0.28
ECS,0.28,0,0.1,0.04,0.33,0,-0.39,-0.22
Sealevel,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Forest,-0.27,0,0.01,0.11,-0.03,0,0.44,0.04
Land,0.0,0,0.0,0.0,0.0,0,0.0,0.0
energy,0.49,0,0.21,0.09,0.32,0,-0.18,-0.23
Water,-0.29,0,0.0,0.06,-0.16,0,0.4,-0.06
GHP.new,-0.59,0,-0.29,-0.03,-0.32,0,0.25,0.41
WaterQuant,0.0,0,0.0,0.0,0.0,0,0.0,0.0
WaterQual,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Demographics,-0.24,0,0.1,0.08,0.02,0,0.47,-0.02
literacy,0.04,0,-0.34,0.3,-0.19,0,-0.66,0.29
HDI,0.3,0,0.02,-0.05,0.18,0,-0.39,0.08
labrate,-0.11,0,-0.64,0.18,-0.52,0,0.21,0.15
agprod,-0.17,0,-0.23,0.07,-0.18,0,0.04,0.66
agVol,-0.03,0,-0.39,0.05,-0.25,0,-0.57,0.58
obesity,-0.03,0,0.09,0.11,-0.05,0,0.47,-0.43
foodsafe,-0.24,0,-0.51,0.52,-0.22,0,-0.56,0.51
drinking,-0.31,0,-0.06,0.2,-0.04,0,0.41,0.16
Micro,-0.14,0,0.22,0.19,0.25,0,0.12,0.18
Protein,0.19,0,0.28,0.03,-0.04,0,0.45,-0.59
Diversity,-0.2,0,0.21,0.24,0.12,0,0.44,-0.19
urbancap,-0.32,0,0.06,0.06,-0.08,0,0.41,-0.1
safetynet,-0.14,0,-0.65,0.19,-0.5,0,0.12,0.18
policyfood,-0.14,0,-0.65,0.19,-0.5,0,0.13,0.18
nutritional,-0.04,0,-0.1,0.27,-0.0,0,0.18,0.26
gender,-0.11,0,0.32,-0.08,0.17,0,0.32,-0.04
political,0.45,0,0.29,-0.43,-0.07,0,-0.13,-0.37
corruption,0.0,0,0.0,0.0,0.0,0,0.0,0.0
conflict,0.0,0,0.0,0.0,0.0,0,0.0,0.0
perCapita,0.41,0,0.35,-0.42,0.13,0,-0.47,-0.23
edu,0.04,0,-0.01,0.05,-0.34,0,-0.41,0.26
tariff,-0.38,0,0.08,-0.32,-0.03,0,0.08,0.76
agGDP,0.24,0,0.88,-0.46,0.52,0,-0.26,-0.0
finance,-0.29,0,0.0,0.06,-0.16,0,0.4,-0.06
priceVol,-0.34,0,0.03,0.41,0.06,0,0.57,-0.48
foodloss,-0.78,0,0.02,0.13,0.33,0,-0.09,0.18
kofgi,0.61,0,0.3,-0.55,-0.25,0,0.42,-0.32
agadaptpolicy,0.0,0,0.0,0.0,0.0,0,0.0,0.0
climatesma,0.0,0,0.0,0.0,0.0,0,0.0,0.0
disman,0.0,0,0.0,0.0,0.0,0,0.0,0.0
Nindex,-0.18,0,-0.28,0.33,-0.09,0,0.22,0.32
RND,0.35,0,-0.17,-0.13,-0.07,0,-0.49,0.21
mobile,-0.14,0,-0.36,0.32,-0.05,0,-0.32,0.59
transport,-0.57,0,-0.29,0.38,0.0,0,0.25,0.37
storage,0.05,0,-0.33,0.29,-0.19,0,0.19,0.28
