index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.01,0,-0.07,0,0,0,0,0.35
natural,-0.11,0,-0.29,0,0,0,0,0.31
human,0.02,0,-0.15,0,0,0,0,-0.51
social,0.09,0,-0.03,0,0,0,0,0.32
financial,0.34,0,0.31,0,0,0,0,0.09
manufactured,-0.09,0,-0.08,0,0,0,0,0.34
BDH.new,-0.0,0,-0.42,0,0,0,0,0.13
ECS,-0.12,0,-0.29,0,0,0,0,0.32
Sealevel,0.0,0,0.0,0,0,0,0,0.0
Forest,0.0,0,0.0,0,0,0,0,0.0
Land,0.0,0,0.0,0,0,0,0,0.0
energy,0.19,0,-0.14,0,0,0,0,0.17
Water,0.0,0,0.38,0,0,0,0,-0.4
GHP.new,0.09,0,0.73,0,0,0,0,-0.29
WaterQuant,0.0,0,0.0,0,0,0,0,0.0
WaterQual,0.0,0,0.0,0,0,0,0,0.0
Demographics,0.14,0,-0.14,0,0,0,0,0.14
literacy,0.19,0,-0.41,0,0,0,0,-0.18
HDI,0.01,0,0.39,0,0,0,0,-0.4
labrate,-0.27,0,-0.24,0,0,0,0,-0.03
agprod,-0.01,0,0.0,0,0,0,0,0.27
agVol,-0.16,0,-0.24,0,0,0,0,0.06
obesity,0.0,0,0.1,0,0,0,0,-0.29
foodsafe,0.45,0,-0.34,0,0,0,0,-0.14
drinking,0.07,0,-0.09,0,0,0,0,0.2
Micro,0.19,0,0.01,0,0,0,0,0.13
Protein,-0.12,0,0.33,0,0,0,0,0.25
Diversity,0.12,0,-0.33,0,0,0,0,-0.25
urbancap,-0.19,0,0.38,0,0,0,0,-0.08
safetynet,0.0,0,0.0,0,0,0,0,0.0
policyfood,0.19,0,0.01,0,0,0,0,0.13
nutritional,0.19,0,0.01,0,0,0,0,0.13
gender,0.29,0,0.47,0,0,0,0,-0.6
political,-0.34,0,0.03,0,0,0,0,0.34
corruption,0.35,0,-0.26,0,0,0,0,0.24
conflict,-0.18,0,0.05,0,0,0,0,0.09
perCapita,0.5,0,-0.08,0,0,0,0,-0.1
edu,-0.27,0,0.66,0,0,0,0,0.3
tariff,0.12,0,0.33,0,0,0,0,-0.32
agGDP,0.08,0,-0.02,0,0,0,0,-0.27
finance,0.28,0,-0.16,0,0,0,0,-0.19
priceVol,0.55,0,0.3,0,0,0,0,0.21
foodloss,0.15,0,-0.51,0,0,0,0,0.27
kofgi,-0.02,0,-0.03,0,0,0,0,0.22
agadaptpolicy,-0.25,0,0.27,0,0,0,0,0.25
climatesma,0.0,0,0.0,0,0,0,0,0.0
disman,0.17,0,-0.28,0,0,0,0,-0.09
Nindex,0.72,0,-0.31,0,0,0,0,-0.15
RND,0.17,0,-0.15,0,0,0,0,0.09
mobile,0.18,0,-0.12,0,0,0,0,0.17
transport,-0.34,0,0.12,0,0,0,0,0.19
storage,-0.0,0,-0.38,0,0,0,0,0.4
