index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,0,-0.38,-0.03,0.09,0,0,0.54
natural,0,0,0.34,0.38,0.35,0,0,0.05
human,0,0,-0.24,-0.41,-0.44,0,0,0.16
social,0,0,-0.41,-0.52,-0.12,0,0,0.01
financial,0,0,-0.22,0.23,0.31,0,0,0.56
manufactured,0,0,-0.06,0.08,0.04,0,0,0.15
BDH.new,0,0,0.52,0.27,0.19,0,0,0.19
ECS,0,0,-0.16,-0.37,-0.46,0,0,0.15
Sealevel,0,0,0.0,0.0,0.0,0,0,0.0
Forest,0,0,0.22,0.39,0.39,0,0,0.05
Land,0,0,0.0,0.0,0.0,0,0,0.0
energy,0,0,0.3,0.37,0.38,0,0,-0.18
Water,0,0,0.06,0.36,0.4,0,0,-0.32
GHP.new,0,0,0.0,0.0,0.0,0,0,0.0
WaterQuant,0,0,0.0,0.0,0.0,0,0,0.0
WaterQual,0,0,0.0,0.0,0.0,0,0,0.0
Demographics,0,0,0.16,0.36,0.84,0,0,-0.18
literacy,0,0,-0.0,-0.16,-0.19,0,0,-0.19
HDI,0,0,-0.06,-0.37,-0.4,0,0,0.32
labrate,0,0,0.14,0.29,0.43,0,0,0.03
agprod,0,0,-0.2,-0.43,-0.51,0,0,0.03
agVol,0,0,-0.46,-0.41,-0.47,0,0,0.36
obesity,0,0,-0.43,-0.34,-0.29,0,0,-0.08
foodsafe,0,0,-0.02,0.43,0.54,0,0,-0.34
drinking,0,0,0.16,0.44,0.49,0,0,-0.03
Micro,0,0,0.0,0.0,0.0,0,0,0.0
Protein,0,0,0.0,0.0,0.0,0,0,0.0
Diversity,0,0,-0.17,-0.39,-0.4,0,0,-0.01
urbancap,0,0,-0.39,0.05,0.09,0,0,-0.49
safetynet,0,0,0.0,0.0,0.0,0,0,0.0
policyfood,0,0,-0.29,-0.4,-0.5,0,0,0.25
nutritional,0,0,-0.14,-0.58,0.19,0,0,0.19
gender,0,0,0.22,0.41,0.44,0,0,0.03
political,0,0,-0.23,-0.44,0.24,0,0,-0.31
corruption,0,0,0.0,0.0,0.0,0,0,0.0
conflict,0,0,0.06,0.36,0.4,0,0,-0.32
perCapita,0,0,0.33,-0.42,0.68,0,0,0.01
edu,0,0,-0.36,-0.01,0.17,0,0,0.78
tariff,0,0,-0.29,-0.36,-0.33,0,0,-0.33
agGDP,0,0,-0.27,-0.34,-0.31,0,0,-0.08
finance,0,0,0.0,0.0,0.0,0,0,0.0
priceVol,0,0,0.09,0.52,0.43,0,0,0.1
foodloss,0,0,-0.04,-0.35,-0.32,0,0,0.28
kofgi,0,0,0.6,0.31,0.24,0,0,0.03
agadaptpolicy,0,0,-0.06,-0.26,-0.4,0,0,0.32
climatesma,0,0,0.0,0.0,0.0,0,0,0.0
disman,0,0,-0.25,-0.17,-0.15,0,0,0.49
Nindex,0,0,0.31,0.34,0.24,0,0,0.24
RND,0,0,0.28,0.37,0.37,0,0,-0.04
mobile,0,0,0.07,0.39,0.5,0,0,-0.25
transport,0,0,0.25,-0.18,1.0,0,0,-0.12
storage,0,0,0.06,0.36,0.4,0,0,-0.32
