index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,-0.49,0,-0.68,0.06,0,0,0,-0.15
natural,0.03,0,0.1,-0.21,0,0,0,-0.07
human,-0.3,0,-0.25,-0.26,0,0,0,0.49
social,-0.03,0,-0.08,-0.55,0,0,0,-0.05
financial,0.59,0,0.27,0.07,0,0,0,-0.39
manufactured,-0.54,0,-0.73,0.37,0,0,0,-0.24
BDH.new,-0.87,0,-0.87,0.3,0,0,0,-0.08
ECS,0.68,0,0.67,-0.32,0,0,0,-0.07
Sealevel,0.0,0,0.0,0.0,0,0,0,0.0
Forest,-0.56,0,-0.54,0.41,0,0,0,0.17
Land,0.0,0,0.0,0.0,0,0,0,-0.0
energy,-0.83,0,-0.74,0.28,0,0,0,0.11
Water,-0.32,0,-0.48,0.4,0,0,0,-0.11
GHP.new,-0.62,0,-0.63,0.3,0,0,0,0.02
WaterQuant,0.0,0,0.0,0.0,0,0,0,0.0
WaterQual,0.0,0,0.0,0.0,0,0,0,0.0
Demographics,-0.52,0,-0.65,0.37,0,0,0,-0.16
literacy,-0.13,0,-0.26,-0.12,0,0,0,0.35
HDI,0.28,0,0.45,-0.39,0,0,0,0.11
labrate,-0.6,0,-0.41,0.19,0,0,0,0.49
agprod,-0.85,0,-0.72,0.22,0,0,0,0.17
agVol,-0.37,0,-0.33,0.29,0,0,0,0.25
obesity,0.21,0,-0.1,0.51,0,0,0,-0.31
foodsafe,-0.14,0,0.12,-0.22,0,0,0,0.38
drinking,-0.6,0,-0.71,0.44,0,0,0,-0.11
Micro,-1.0,0,-0.81,0.13,0,0,0,0.18
Protein,-0.5,0,-0.72,0.3,0,0,0,-0.32
Diversity,0.35,0,0.55,-0.51,0,0,0,0.23
urbancap,0.49,0,0.7,-0.29,0,0,0,0.18
safetynet,0.0,0,0.0,0.0,0,0,0,0.0
policyfood,0.0,0,0.0,0.0,0,0,0,0.0
nutritional,-0.42,0,-0.65,-0.02,0,0,0,-0.19
gender,-0.54,0,-0.72,0.31,0,0,0,-0.29
political,1.0,0,0.81,-0.13,0,0,0,-0.18
corruption,0.0,0,0.0,0.0,0,0,0,0.0
conflict,0.24,0,0.39,-0.61,0,0,0,0.13
perCapita,0.0,0,0.0,-0.24,0,0,0,-0.15
edu,0.14,0,0.01,0.12,0,0,0,-0.35
tariff,0.58,0,0.88,-0.2,0,0,0,0.55
agGDP,0.09,0,0.35,-0.18,0,0,0,0.3
finance,0.0,0,0.0,0.0,0,0,0,0.0
priceVol,0.03,0,-0.25,0.19,0,0,0,-0.16
foodloss,0.89,0,0.69,-0.18,0,0,0,-0.18
kofgi,-0.78,0,-0.48,0.06,0,0,0,0.41
agadaptpolicy,-0.5,0,-0.71,0.25,0,0,0,-0.35
climatesma,0.0,0,0.0,0.0,0,0,0,0.0
disman,-0.25,0,-0.42,0.53,0,0,0,-0.03
Nindex,0.2,0,0.69,-0.2,0,0,0,0.78
RND,0.22,0,0.58,-0.41,0,0,0,0.42
mobile,-0.7,0,-0.74,0.38,0,0,0,-0.05
transport,0.0,0,0.0,0.0,0,0,0,0.0
storage,0.0,0,0.0,0.0,0,0,0,0.0
