index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,-0.19,-0.06,0.34,-0.02,-0.02,-0.1,0
natural,0,-0.53,-0.34,0.31,-0.33,-0.33,-0.1,0
human,0,0.14,0.37,0.47,0.38,0.38,0.17,0
social,0,-0.26,-0.18,0.41,-0.18,-0.18,0.19,0
financial,0,-0.38,-0.59,-0.25,-0.56,-0.56,-0.13,0
manufactured,0,-0.07,-0.01,0.06,0.04,0.04,-0.36,0
BDH.new,0,-0.48,-0.31,0.37,-0.32,-0.32,0.0,0
ECS,0,0.44,0.36,-0.42,0.44,0.44,-0.51,0
Sealevel,0,0.0,0.0,0.0,0.0,0.0,0.0,0
Forest,0,-0.39,-0.19,0.21,-0.19,-0.19,-0.21,0
Land,0,0.0,0.0,0.0,0.0,0.0,0.0,0
energy,0,-0.79,-0.61,-0.01,-0.6,-0.6,-0.18,0
Water,0,0.48,0.31,-0.4,0.32,0.32,-0.02,0
GHP.new,0,0.59,0.43,0.09,0.47,0.47,0.17,0
WaterQuant,0,0.0,0.0,0.0,0.0,0.0,0.0,0
WaterQual,0,0.0,0.0,0.0,0.0,0.0,0.0,0
Demographics,0,-0.49,-0.37,-0.03,-0.34,-0.34,-0.32,0
literacy,0,0.29,0.52,0.49,0.51,0.51,0.31,0
HDI,0,0.55,0.38,-0.39,0.39,0.39,-0.04,0
labrate,0,0.21,0.16,0.21,0.11,0.11,0.25,0
agprod,0,-0.33,-0.2,0.1,-0.2,-0.2,-0.27,0
agVol,0,0.1,0.08,0.05,0.09,0.09,-0.13,0
obesity,0,-0.59,-0.44,0.06,-0.46,-0.46,-0.29,0
foodsafe,0,-0.52,-0.36,0.33,-0.39,-0.39,0.13,0
drinking,0,-0.21,-0.02,0.17,-0.01,-0.01,-0.26,0
Micro,0,0.04,0.09,0.12,0.12,0.12,-0.27,0
Protein,0,-0.24,-0.57,-0.49,-0.49,-0.49,-0.25,0
Diversity,0,-0.35,0.01,0.43,-0.05,-0.05,0.12,0
urbancap,0,0.05,-0.11,-0.23,-0.06,-0.06,0.04,0
safetynet,0,0.22,0.19,0.12,0.12,0.13,0.25,0
policyfood,0,-0.48,-0.31,0.4,-0.32,-0.32,0.02,0
nutritional,0,0.22,0.09,0.13,0.13,0.12,0.25,0
gender,0,-0.27,-0.1,0.06,-0.07,-0.07,-0.34,0
political,0,0.35,0.25,0.23,0.23,0.23,0.47,0
corruption,0,0.0,0.0,0.0,0.0,0.0,0.0,0
conflict,0,0.0,0.0,0.0,0.0,0.0,0.0,0
perCapita,0,-0.39,-0.27,0.02,-0.22,-0.22,-0.03,0
edu,0,-0.02,-0.21,-0.48,-0.18,-0.18,-0.2,0
tariff,0,0.0,0.0,0.0,0.0,0.0,0.0,0
agGDP,0,0.04,-0.23,0.07,-0.23,-0.23,0.13,0
finance,0,0.0,0.0,0.0,0.0,0.0,0.0,0
priceVol,0,-0.3,-0.37,0.19,-0.35,-0.35,0.03,0
foodloss,0,0.27,0.45,-0.1,0.39,0.39,0.09,0
kofgi,0,0.45,0.03,-0.08,0.01,0.01,0.44,0
agadaptpolicy,0,0.04,0.09,0.12,0.12,0.13,-0.27,0
climatesma,0,0.0,0.0,0.0,0.0,0.0,0.0,0
disman,0,-0.37,-0.23,-0.02,-0.21,-0.21,-0.37,0
Nindex,0,-0.17,-0.24,-0.2,-0.2,-0.2,-0.07,0
RND,0,0.72,0.47,-0.01,0.47,0.47,0.43,0
mobile,0,0.37,0.24,-0.04,0.29,0.29,-0.14,0
transport,0,-0.19,-0.13,-0.07,-0.07,-0.07,-0.49,0
storage,0,0.0,0.0,0.0,0.0,0.0,0.0,0
