index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,-0.15,-0.37,-0.45,0.22,-0.23,0,0.43,0
natural,-0.46,-0.29,-0.08,0.24,-0.24,0,0.73,0
human,-0.17,-0.27,-0.33,-0.45,0.01,0,-0.11,0
social,-0.15,-0.39,-0.47,0.26,-0.45,0,0.6,0
financial,-0.25,-0.42,-0.53,0.28,-0.24,0,0.36,0
manufactured,0.0,-0.24,-0.3,0.35,-0.12,0,0.47,0
BDH.new,-0.47,-0.29,-0.14,0.19,-0.59,0,0.92,0
ECS,0.48,0.04,-0.07,0.38,0.34,0,-0.2,0
Sealevel,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Forest,0.45,0.66,0.29,-0.3,0.7,0,-0.71,0
Land,0.0,0.0,0.0,0.0,0.0,0,0.0,0
energy,-0.55,-0.39,-0.39,0.09,-0.5,0,0.72,0
Water,0.51,0.51,0.53,-0.24,0.57,0,-0.56,0
GHP.new,0.14,0.13,0.63,-0.18,0.25,0,-0.49,0
WaterQuant,0.0,0.0,0.0,0.0,0.0,0,0.0,0
WaterQual,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Demographics,-0.39,-0.51,-0.31,0.28,-0.59,0,0.78,0
literacy,-0.28,-0.27,-0.39,-0.53,-0.03,0,-0.18,0
HDI,0.55,0.49,0.56,-0.2,0.57,0,-0.52,0
labrate,0.58,0.62,0.21,-0.2,0.76,0,-0.87,0
agprod,-0.26,-0.46,-0.36,0.28,-0.43,0,0.65,0
agVol,0.56,0.44,0.52,-0.11,0.59,0,-0.65,0
obesity,0.3,0.55,0.28,-0.39,0.46,0,-0.64,0
foodsafe,0.02,-0.2,-0.06,0.32,-0.23,0,0.5,0
drinking,0.04,-0.44,-0.26,0.39,-0.22,0,0.36,0
Micro,0.28,0.09,-0.24,0.3,0.29,0,0.18,0
Protein,-0.27,-0.42,-0.41,0.02,-0.43,0,0.64,0
Diversity,-0.28,-0.78,-0.19,0.45,-0.47,0,0.35,0
urbancap,0.16,0.55,-0.11,-0.45,0.36,0,-0.57,0
safetynet,0.0,0.0,0.0,0.0,0.0,0,0.0,0
policyfood,0.0,0.0,0.0,0.0,0.0,0,0.0,0
nutritional,0.21,-0.46,-0.15,0.3,-0.07,0,-0.17,0
gender,-0.26,-0.59,-0.3,0.37,-0.44,0,0.55,0
political,-0.59,-0.14,-0.09,0.33,-0.42,0,0.45,0
corruption,-0.0,-0.06,-0.1,0.15,-0.26,0,0.71,0
conflict,-0.5,-0.1,-0.58,-0.04,-0.52,0,0.78,0
perCapita,-0.4,-0.49,-0.12,0.12,-0.76,0,0.88,0
edu,0.81,0.5,-0.01,0.17,0.63,0,-0.55,0
tariff,-0.27,-0.22,0.02,-0.09,-0.69,0,0.85,0
agGDP,0.34,0.74,0.33,-0.36,0.54,0,-0.39,0
finance,-0.51,-0.51,-0.53,0.24,-0.57,0,0.56,0
priceVol,0.15,-0.15,-0.33,0.22,0.37,0,-0.16,0
foodloss,0.43,0.24,0.58,-0.13,0.47,0,-0.57,0
kofgi,-0.16,-0.24,-0.37,0.32,-0.33,0,0.69,0
agadaptpolicy,0.28,0.09,-0.24,0.3,0.29,0,0.18,0
climatesma,0.0,0.0,0.0,0.0,0.0,0,0.0,0
disman,0.0,0.0,0.0,0.0,0.0,0,0.0,0
Nindex,0.32,-0.04,-0.26,0.32,0.12,0,0.23,0
RND,-0.38,-0.49,-0.36,0.21,-0.61,0,0.77,0
mobile,-0.21,-0.47,-0.22,0.3,-0.5,0,0.74,0
transport,-0.31,-0.71,-0.31,0.44,-0.46,0,0.43,0
storage,0.0,0.0,0.0,0.0,0.0,0,0.0,0
