index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,-0.21,-0.63,-0.1,0.02,0,0.27,-0.08
natural,0,0.3,-0.82,-0.2,0.2,0,0.56,-0.14
human,0,-0.02,-0.44,-0.53,0.2,0,0.42,-0.26
social,0,-0.23,-0.53,0.33,-0.4,0,0.24,-0.04
financial,0,0.23,-0.27,-0.79,-0.01,0,0.37,0.09
manufactured,0,-0.46,-0.42,0.42,0.26,0,-0.2,-0.02
BDH.new,0,-0.42,-0.27,-0.07,0.47,0,-0.18,0.09
ECS,0,0.59,-0.08,-0.1,-0.44,0,0.48,-0.19
Sealevel,0,0.0,0.0,0.0,0.0,0,0.0,0.0
Forest,0,-0.28,-0.58,0.38,0.33,0,-0.01,-0.1
Land,0,0.0,0.0,0.0,0.0,0,0.0,0.0
energy,0,0.54,-0.77,-0.35,0.02,0,0.48,-0.05
Water,0,-0.48,-0.14,0.4,0.38,0,-0.32,0.07
GHP.new,0,-0.38,0.28,0.19,0.15,0,0.29,-0.29
WaterQuant,0,0.0,0.0,0.0,0.0,0,0.0,0.0
WaterQual,0,0.0,0.0,0.0,0.0,0,0.0,0.0
Demographics,0,-0.44,0.17,-0.1,0.67,0,-0.38,0.29
literacy,0,-0.19,-0.48,-0.46,0.28,0,0.25,-0.25
HDI,0,0.46,0.08,-0.38,-0.38,0,0.35,-0.11
labrate,0,0.25,-0.15,0.14,-0.96,0,0.19,0.01
agprod,0,-0.54,-0.34,0.36,0.1,0,-0.12,-0.21
agVol,0,0.61,0.41,-0.27,-0.22,0,0.38,0.1
obesity,0,0.33,0.46,-0.15,-0.37,0,0.01,0.03
foodsafe,0,-0.39,-0.2,0.48,0.23,0,-0.52,0.15
drinking,0,-0.36,-0.57,0.22,0.4,0,-0.04,-0.1
Micro,0,0.19,-0.87,0.15,0.13,0,0.13,-0.11
Protein,0,0.25,-0.38,0.5,-0.38,0,0.47,-0.46
Diversity,0,0.09,-0.56,0.5,-0.43,0,0.06,-0.48
urbancap,0,0.15,0.69,-0.29,0.21,0,-0.07,0.43
safetynet,0,0.19,-0.15,0.11,-1.0,0,0.12,0.22
policyfood,0,0.19,-0.15,0.11,-1.0,0,0.12,0.22
nutritional,0,-0.29,-0.39,0.29,0.21,0,0.24,-0.21
gender,0,-0.56,-0.43,0.3,0.31,0,-0.31,-0.08
political,0,-0.34,-0.37,0.12,0.44,0,-0.22,0.1
corruption,0,-0.36,-0.61,0.23,0.2,0,0.19,-0.42
conflict,0,0.0,0.0,0.0,0.0,0,0.0,0.0
perCapita,0,0.11,0.82,-0.22,0.34,0,-0.21,0.01
edu,0,-0.0,-0.76,-0.1,0.11,0,0.43,-0.35
tariff,0,-0.33,-0.36,0.7,0.23,0,-0.22,-0.08
agGDP,0,-0.27,-0.12,-0.16,0.89,0,-0.29,-0.08
finance,0,0.0,0.0,0.0,0.0,0,0.0,0.0
priceVol,0,0.16,0.07,-0.77,-0.03,0,0.13,0.34
foodloss,0,0.46,0.16,-0.37,-0.46,0,0.3,-0.06
kofgi,0,-0.26,-0.6,0.24,0.42,0,-0.02,-0.01
agadaptpolicy,0,-0.48,-0.14,0.4,0.38,0,-0.32,0.07
climatesma,0,0.0,0.0,0.0,0.0,0,0.0,0.0
disman,0,-0.31,-0.72,0.35,-0.01,0,0.02,-0.1
Nindex,0,0.59,-0.65,0.03,0.01,0,0.02,0.26
RND,0,0.42,0.08,0.03,-0.62,0,0.28,-0.12
mobile,0,-0.49,-0.42,0.21,0.5,0,-0.21,-0.05
transport,0,-0.19,0.87,-0.15,-0.13,0,-0.12,0.11
storage,0,0.0,0.0,0.0,0.0,0,0.0,0.0
