index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,0.19,0.53,0.23,0,0,0.19,0.26
natural,0,0.17,-0.28,-0.32,0,0,0.17,-0.39
human,0,-0.23,-0.27,-0.47,0,0,-0.23,-0.09
social,0,-0.13,0.57,0.37,0,0,-0.13,0.54
financial,0,0.68,0.35,0.09,0,0,0.68,-0.37
manufactured,0,-0.16,0.19,0.46,0,0,-0.16,0.43
BDH.new,0,-0.34,0.18,0.04,0,0,-0.34,0.66
ECS,0,0.16,-0.23,-0.29,0,0,0.16,-0.44
Sealevel,0,0.0,0.0,0.0,0,0,0.0,0.0
Forest,0,0.2,-0.3,-0.17,0,0,0.2,-0.51
Land,0,0.0,0.0,0.0,0,0,0.0,0.0
energy,0,0.45,-0.28,-0.23,0,0,0.45,-0.63
Water,0,-0.32,0.1,0.32,0,0,-0.32,0.52
GHP.new,0,0.0,0.0,0.0,0,0,0.0,0.0
WaterQuant,0,0.0,0.0,0.0,0,0,0.0,0.0
WaterQual,0,0.0,0.0,0.0,0,0,0.0,0.0
Demographics,0,-0.13,0.21,-0.25,0,0,-0.13,-0.17
literacy,0,-0.19,-0.33,-0.38,0,0,-0.19,-0.15
HDI,0,0.33,-0.09,-0.31,0,0,0.33,-0.53
labrate,0,0.08,-0.1,0.38,0,0,0.08,-0.01
agprod,0,-0.52,-0.26,-0.02,0,0,-0.52,0.05
agVol,0,-0.33,0.06,-0.17,0,0,-0.33,0.31
obesity,0,0.12,-0.3,-0.23,0,0,0.12,-0.52
foodsafe,0,0.12,-0.69,-0.28,0,0,0.12,-0.41
drinking,0,-0.16,0.29,0.23,0,0,-0.16,0.54
Micro,0,0.13,0.22,0.25,0,0,0.13,0.03
Protein,0,-0.07,0.12,-0.1,0,0,-0.07,0.59
Diversity,0,0.0,-0.2,0.0,0,0,-0.0,-0.55
urbancap,0,0.09,-0.18,-0.15,0,0,0.09,-0.34
safetynet,0,-0.19,0.58,0.19,0,0,-0.19,0.57
policyfood,0,0.0,0.0,0.0,0,0,0.0,0.0
nutritional,0,-0.16,0.18,0.35,0,0,-0.16,0.39
gender,0,0.52,0.23,-0.04,0,0,0.52,0.21
political,0,0.06,0.79,0.3,0,0,0.06,0.39
corruption,0,0.0,0.0,0.0,0,0,0.0,0.0
conflict,0,0.0,0.0,0.0,0,0,0.0,0.0
perCapita,0,-0.01,0.26,-0.25,0,0,-0.01,0.06
edu,0,0.92,-0.06,-0.25,0,0,0.92,-0.44
tariff,0,0.66,-0.09,0.08,0,0,0.66,0.15
agGDP,0,-0.45,-0.0,-0.04,0,0,-0.45,-0.07
finance,0,0.0,0.0,0.0,0,0,0.0,0.0
priceVol,0,0.22,0.53,0.36,0,0,0.22,-0.17
foodloss,0,-0.06,0.29,0.2,0,0,-0.06,0.4
kofgi,0,0.73,0.05,-0.04,0,0,0.73,-0.54
agadaptpolicy,0,0.4,0.04,-0.16,0,0,0.4,-0.42
climatesma,0,0.0,0.0,0.0,0,0,0.0,0.0
disman,0,0.0,0.0,0.0,0,0,0.0,0.0
Nindex,0,-0.22,-0.32,-0.26,0,0,-0.22,-0.22
RND,0,-0.07,0.3,0.56,0,0,-0.07,-0.3
mobile,0,0.11,-0.12,0.19,0,0,0.11,0.16
transport,0,0.0,0.0,0.0,0,0,0.0,0.0
storage,0,-0.32,0.1,0.32,0,0,-0.32,0.52
