index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,0,0.35,0,0.13,0,0,-0.55
natural,0,0,0.07,0,-0.37,0,0,0.29
human,0,0,0.5,0,-0.3,0,0,0.3
social,0,0,0.05,0,0.25,0,0,-0.46
financial,0,0,0.15,0,0.08,0,0,0.48
manufactured,0,0,0.17,0,0.14,0,0,-0.57
BDH.new,0,0,0.14,0,0.32,0,0,-0.17
ECS,0,0,0.23,0,-0.49,0,0,-0.24
Sealevel,0,0,0.0,0,0.0,0,0,0.0
Forest,0,0,-0.03,0,-0.07,0,0,0.77
Land,0,0,0.0,0,0.0,0,0,0.0
energy,0,0,-0.25,0,0.27,0,0,-0.13
Water,0,0,-0.48,0,0.39,0,0,-0.21
GHP.new,0,0,-0.35,0,-0.37,0,0,-0.58
WaterQuant,0,0,0.0,0,0.0,0,0,0.0
WaterQual,0,0,0.0,0,0.0,0,0,0.0
Demographics,0,0,-0.19,0,0.4,0,0,-0.39
literacy,0,0,0.51,0,-0.4,0,0,0.19
HDI,0,0,0.54,0,-0.4,0,0,0.14
labrate,0,0,0.06,0,-0.26,0,0,-0.37
agprod,0,0,-0.1,0,0.3,0,0,-0.56
agVol,0,0,-0.38,0,0.28,0,0,0.54
obesity,0,0,-0.24,0,-0.05,0,0,0.76
foodsafe,0,0,0.17,0,0.44,0,0,0.33
drinking,0,0,-0.2,0,0.33,0,0,-0.38
Micro,0,0,0.11,0,-0.18,0,0,-0.96
Protein,0,0,0.36,0,-0.18,0,0,0.11
Diversity,0,0,-0.29,0,0.51,0,0,0.04
urbancap,0,0,-0.42,0,-0.35,0,0,0.07
safetynet,0,0,0.0,0,0.0,0,0,0.0
policyfood,0,0,-0.09,0,0.43,0,0,-0.2
nutritional,0,0,0.55,0,-0.52,0,0,-0.38
gender,0,0,-0.28,0,0.24,0,0,-0.36
political,0,0,0.25,0,-0.74,0,0,-0.61
corruption,0,0,0.0,0,0.0,0,0,0.0
conflict,0,0,0.0,0,0.0,0,0,0.0
perCapita,0,0,-0.12,0,0.79,0,0,-0.18
edu,0,0,0.44,0,0.13,0,0,0.53
tariff,0,0,0.33,0,-0.41,0,0,-0.02
agGDP,0,0,-0.01,0,0.15,0,0,0.09
finance,0,0,0.0,0,0.0,0,0,0.0
priceVol,0,0,-0.7,0,0.14,0,0,-0.29
foodloss,0,0,0.43,0,-0.35,0,0,0.28
kofgi,0,0,0.01,0,0.08,0,0,-0.64
agadaptpolicy,0,0,0.16,0,0.07,0,0,-0.61
climatesma,0,0,0.0,0,0.0,0,0,0.0
disman,0,0,0.0,0,0.0,0,0,0.0
Nindex,0,0,0.1,0,0.17,0,0,-0.47
RND,0,0,0.36,0,-0.6,0,0,-0.33
mobile,0,0,-0.33,0,-0.17,0,0,0.38
transport,0,0,0.16,0,0.07,0,0,-0.61
storage,0,0,0.14,0,0.24,0,0,-0.43
