index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,-0.49,0.08,-0.33,-0.04,0,0.07,-0.68,-0.68
natural,-0.42,0.42,0.12,-0.0,0,0.23,-0.62,-0.62
human,0.09,0.38,0.22,-0.53,0,0.38,-0.02,-0.02
social,-0.22,-0.26,-0.27,0.43,0,-0.19,-0.31,-0.31
financial,-0.25,-0.43,-0.73,-0.37,0,-0.13,-0.14,-0.14
manufactured,-0.53,0.37,0.01,0.07,0,0.05,-0.62,-0.62
BDH.new,-0.39,-0.14,-0.34,0.21,0,-0.1,-0.48,-0.48
ECS,-0.54,0.02,-0.27,0.09,0,0.09,-0.64,-0.64
Sealevel,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Forest,-0.41,0.02,-0.25,0.23,0,-0.1,-0.57,-0.57
Land,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
energy,0.41,0.15,0.3,-0.23,0,0.26,0.25,0.25
Water,0.32,0.32,0.5,-0.22,0,0.29,0.32,0.32
GHP.new,-0.47,0.14,-0.09,0.1,0,-0.18,-0.27,-0.27
WaterQuant,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
WaterQual,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Demographics,-0.23,-0.27,-0.3,0.32,0,-0.32,-0.08,-0.08
literacy,0.19,0.19,0.07,-0.54,0,0.23,0.17,0.17
HDI,0.3,0.31,0.48,-0.25,0,0.32,0.29,0.29
labrate,-0.33,0.36,0.19,0.09,0,-0.03,-0.33,-0.33
agprod,-0.33,0.23,-0.24,-0.08,0,0.2,-0.85,-0.85
agVol,0.04,0.26,0.43,-0.36,0,0.48,0.22,0.22
obesity,0.33,-0.21,0.33,0.04,0,0.23,0.6,0.6
foodsafe,-0.16,0.41,-0.07,-0.11,0,0.22,-0.82,-0.82
drinking,-0.44,0.14,-0.19,0.11,0,0.1,-0.72,-0.72
Micro,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
Protein,-0.38,0.46,0.3,-0.27,0,0.47,-0.38,-0.38
Diversity,0.36,0.16,0.33,-0.3,0,0.26,0.36,0.36
urbancap,0.43,-0.56,-0.1,0.07,0,-0.04,0.64,0.64
safetynet,0.12,0.14,0.36,0.18,0,0.04,0.12,0.12
policyfood,-0.25,-0.24,-0.29,0.35,0,-0.21,-0.25,-0.25
nutritional,0.03,-0.35,-0.22,0.44,0,-0.32,0.03,0.03
gender,-0.5,0.05,-0.21,0.1,0,-0.01,-0.52,-0.52
political,-0.05,0.19,-0.08,0.14,0,0.14,-0.74,-0.74
corruption,-0.66,0.21,-0.19,-0.13,0,0.21,-0.66,-0.66
conflict,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
perCapita,-0.17,-0.07,-0.26,-0.39,0,0.12,-0.02,-0.02
edu,0.17,-0.19,-0.13,-0.46,0,0.07,0.4,0.4
tariff,-0.48,-0.01,0.26,0.49,0,0.01,-0.02,-0.02
agGDP,0.55,0.07,-0.14,-0.14,0,-0.01,-0.18,-0.18
finance,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
priceVol,-0.43,-0.17,-0.51,0.2,0,-0.2,-0.57,-0.57
foodloss,-0.25,-0.15,-0.07,0.6,0,-0.15,-0.33,-0.33
kofgi,0.68,-0.19,0.17,0.01,0,0.11,0.43,0.43
agadaptpolicy,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
climatesma,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
disman,-0.45,0.19,-0.15,0.17,0,-0.06,-0.63,-0.63
Nindex,-0.61,0.21,0.22,-0.07,0,0.25,-0.1,-0.1
RND,-0.38,0.42,0.17,-0.38,0,-0.12,0.14,0.14
mobile,0.19,0.34,0.45,-0.2,0,0.39,0.12,0.12
transport,-0.32,-0.32,-0.5,0.22,0,-0.29,-0.32,-0.32
storage,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
