index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,-0.13,0.49,0.51,-0.49,-0.41,0.07,0,0.07
natural,0.27,-0.45,-0.32,-0.23,-0.27,0.37,0,0.24
human,-0.29,-0.02,0.29,-0.61,-0.51,0.29,0,-0.34
social,0.33,0.16,0.1,-0.09,-0.18,0.34,0,0.35
financial,-0.15,0.32,0.05,0.34,0.37,0.05,0,0.14
manufactured,-0.21,0.45,0.42,-0.3,-0.18,-0.45,0,-0.04
BDH.new,-0.4,0.35,0.35,0.25,0.35,-0.56,0,-0.24
ECS,0.28,-0.43,0.05,-0.3,-0.21,-0.01,0,0.12
Sealevel,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Forest,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Land,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
energy,-0.04,-0.41,-0.47,-0.13,-0.2,0.3,0,0.11
Water,-0.1,0.56,0.22,0.4,0.42,-0.32,0,0.06
GHP.new,0.42,-0.34,-0.32,-0.24,-0.33,0.67,0,0.25
WaterQuant,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
WaterQual,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Demographics,-0.36,-0.35,-0.35,0.5,0.41,0.5,0,-0.38
literacy,-0.33,0.31,0.39,-0.5,-0.41,0.25,0,-0.23
HDI,0.09,-0.57,-0.24,-0.4,-0.42,0.32,0,-0.06
labrate,0.21,0.05,0.03,-0.97,-0.96,0.31,0,0.18
agprod,-0.39,0.19,-0.09,0.87,0.86,-0.38,0,-0.12
agVol,-0.28,-0.47,-0.29,-0.6,-0.51,0.2,0,-0.23
obesity,-0.26,-0.18,-0.22,-0.14,-0.22,0.41,0,-0.27
foodsafe,0.04,-0.39,0.45,0.17,0.28,-0.12,0,-0.57
drinking,-0.06,0.54,0.26,0.42,0.44,-0.43,0,0.14
Micro,0.18,0.18,0.18,0.13,0.18,0.12,0,0.19
Protein,0.16,-0.56,-0.19,-0.39,-0.25,-0.18,0,-0.01
Diversity,-0.52,0.27,0.27,0.19,0.27,-0.66,0,-0.36
urbancap,0.21,-0.34,-0.02,-0.23,-0.21,0.33,0,0.1
safetynet,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
policyfood,0.27,0.27,0.27,0.19,0.1,0.19,0,0.29
nutritional,0.4,-0.02,-0.02,-0.46,-0.55,0.44,0,0.32
gender,0.0,0.48,0.28,0.35,0.41,-0.56,0,0.14
political,-0.41,0.41,-0.41,0.58,0.47,0.14,0,0.22
corruption,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
conflict,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
perCapita,-0.41,-0.08,-0.09,0.93,0.94,-0.3,0,-0.34
edu,-0.29,0.21,-0.06,0.38,0.4,-0.2,0,0.17
tariff,0.12,0.12,0.12,0.08,0.15,0.08,0,0.12
agGDP,0.25,-0.53,-0.33,-0.36,-0.43,0.4,0,0.01
finance,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
priceVol,0.04,0.33,0.14,0.1,0.12,0.25,0,0.09
foodloss,0.27,0.42,0.46,0.15,0.15,-0.24,0,0.09
kofgi,0.52,0.33,0.12,0.25,0.26,-0.45,0,0.53
agadaptpolicy,-0.21,0.45,0.45,-0.4,-0.28,-0.4,0,-0.06
climatesma,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
disman,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Nindex,0.29,-0.35,-0.35,-0.25,-0.35,0.55,0,0.15
RND,-0.4,-0.22,-0.44,0.74,0.74,-0.48,0,-0.16
mobile,0.03,0.43,0.36,0.21,0.27,-0.37,0,0.09
transport,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
storage,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
