index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.13,0,0.22,0.15,0,0,0,0.05
natural,-0.34,0,-0.26,0.74,0,0,0,0.01
human,-0.37,0,0.33,0.03,0,0,0,0.26
social,-0.24,0,0.31,-0.14,0,0,0,0.16
financial,0.56,0,0.08,-0.0,0,0,0,-0.36
manufactured,-0.03,0,0.07,0.37,0,0,0,0.35
BDH.new,-0.19,0,-0.16,-0.35,0,0,0,0.47
ECS,-0.1,0,-0.16,0.84,0,0,0,0.03
Sealevel,0.0,0,0.0,0.0,0,0,0,0.0
Forest,-0.3,0,-0.25,0.73,0,0,0,-0.06
Land,0.0,0,0.0,0.0,0,0,0,0.0
energy,-0.25,0,-0.2,-0.05,0,0,0,0.36
Water,-0.32,0,-0.26,0.73,0,0,0,-0.05
GHP.new,-0.12,0,-0.13,-0.48,0,0,0,0.35
WaterQuant,0.0,0,0.0,0.0,0,0,0,0.0
WaterQual,0.0,0,0.0,0.0,0,0,0,0.0
Demographics,-0.17,0,0.09,0.71,0,0,0,-0.1
literacy,-0.12,0,-0.22,-0.23,0,0,0,-0.18
HDI,0.33,0,0.29,-0.73,0,0,0,0.04
labrate,-0.01,0,-0.16,-0.37,0,0,0,0.19
agprod,-0.25,0,0.03,0.76,0,0,0,-0.04
agVol,-0.21,0,0.21,0.48,0,0,0,-0.11
obesity,0.12,0,-0.1,-0.69,0,0,0,0.09
foodsafe,-0.38,0,-0.33,-0.06,0,0,0,0.34
drinking,-0.16,0,0.09,0.71,0,0,0,-0.09
Micro,0.12,0,0.22,0.23,0,0,0,0.18
Protein,-0.05,0,-0.17,-0.44,0,0,0,-0.19
Diversity,-0.25,0,-0.13,0.92,0,0,0,0.07
urbancap,0.24,0,-0.01,-0.77,0,0,0,0.17
safetynet,0.13,0,-0.13,-0.29,0,0,0,0.18
policyfood,0.0,0,0.0,0.0,0,0,0,0.0
nutritional,-0.66,0,0.24,0.35,0,0,0,0.28
gender,-0.22,0,-0.02,0.73,0,0,0,-0.1
political,0.29,0,-0.4,-0.66,0,0,0,0.12
corruption,-0.13,0,0.94,-0.23,0,0,0,-0.18
conflict,-0.18,0,0.13,0.16,0,0,0,0.05
perCapita,-0.07,0,0.23,0.47,0,0,0,-0.29
edu,0.05,0,0.06,-0.26,0,0,0,0.4
tariff,-0.4,0,0.34,0.58,0,0,0,-0.16
agGDP,-0.11,0,-0.16,-0.57,0,0,0,0.37
finance,0.25,0,0.28,0.46,0,0,0,-0.29
priceVol,0.44,0,-0.15,-0.11,0,0,0,-0.42
foodloss,0.17,0,0.24,-0.56,0,0,0,0.35
kofgi,0.02,0,0.09,0.79,0,0,0,-0.18
agadaptpolicy,0.0,0,0.0,0.0,0,0,0,0.0
climatesma,0.0,0,0.0,0.0,0,0,0,0.0
disman,-0.13,0,-0.1,0.29,0,0,0,0.48
Nindex,0.1,0,0.18,0.18,0,0,0,0.19
RND,-0.34,0,-0.35,-0.27,0,0,0,0.44
mobile,-0.28,0,-0.28,0.81,0,0,0,-0.19
transport,0.0,0,0.0,0.0,0,0,0,0.0
storage,0.13,0,0.22,0.23,0,0,0,0.18
