index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,0,0.16,0,0.15,0,0,-0.67
natural,0,0,-0.28,0,-0.33,0,0,0.02
human,0,0,0.2,0,-0.01,0,0,-0.44
social,0,0,0.05,0,0.18,0,0,-0.72
financial,0,0,-0.4,0,-0.07,0,0,0.25
manufactured,0,0,0.3,0,0.18,0,0,-0.48
BDH.new,0,0,-0.37,0,-0.18,0,0,0.22
ECS,0,0,-0.26,0,-0.24,0,0,0.58
Sealevel,0,0,0.0,0,0.0,0,0,0.0
Forest,0,0,0.1,0,0.09,0,0,-0.6
Land,0,0,0.0,0,0.0,0,0,0.0
energy,0,0,0.28,0,0.12,0,0,-0.46
Water,0,0,-0.18,0,-0.4,0,0,0.62
GHP.new,0,0,-0.23,0,-0.25,0,0,0.49
WaterQuant,0,0,0.0,0,0.0,0,0,0.0
WaterQual,0,0,0.0,0,0.0,0,0,0.0
Demographics,0,0,0.13,0,0.09,0,0,-0.62
literacy,0,0,-0.06,0,-0.12,0,0,-0.24
HDI,0,0,-0.18,0,-0.4,0,0,0.62
labrate,0,0,-0.23,0,0.04,0,0,0.57
agprod,0,0,-0.46,0,-0.44,0,0,0.69
agVol,0,0,0.37,0,0.24,0,0,-0.65
obesity,0,0,-0.35,0,-0.33,0,0,0.66
foodsafe,0,0,0.52,0,0.47,0,0,-0.55
drinking,0,0,0.03,0,0.11,0,0,-0.65
Micro,0,0,0.32,0,0.12,0,0,-0.26
Protein,0,0,-0.11,0,-0.21,0,0,-0.48
Diversity,0,0,-0.01,0,-0.09,0,0,0.59
urbancap,0,0,0.42,0,0.28,0,0,0.27
safetynet,0,0,-0.17,0,-0.25,0,0,-0.49
policyfood,0,0,0.0,0,0.0,0,0,0.0
nutritional,0,0,0.24,0,0.36,0,0,-0.59
gender,0,0,0.25,0,0.09,0,0,-0.71
political,0,0,0.3,0,0.36,0,0,-0.54
corruption,0,0,-0.23,0,-0.12,0,0,-0.24
conflict,0,0,-0.32,0,-0.12,0,0,0.26
perCapita,0,0,-0.11,0,-0.01,0,0,-0.49
edu,0,0,-0.04,0,0.61,0,0,0.08
tariff,0,0,0.21,0,0.38,0,0,-0.59
agGDP,0,0,-0.4,0,-0.24,0,0,0.56
finance,0,0,0.0,0,0.0,0,0,0.0
priceVol,0,0,-0.36,0,-0.4,0,0,0.17
foodloss,0,0,-0.1,0,-0.72,0,0,0.55
kofgi,0,0,0.31,0,0.31,0,0,-0.59
agadaptpolicy,0,0,0.0,0,0.0,0,0,0.0
climatesma,0,0,0.0,0,0.0,0,0,0.0
disman,0,0,0.0,0,0.0,0,0,0.0
Nindex,0,0,-0.5,0,-0.25,0,0,0.72
RND,0,0,-0.29,0,-0.39,0,0,-0.4
mobile,0,0,0.27,0,0.25,0,0,-0.58
transport,0,0,-0.34,0,-0.07,0,0,-0.02
storage,0,0,0.32,0,0.12,0,0,-0.26
