index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.33,-0.66,0.21,-0.11,-0.27,0.44,0,-0.13
natural,-0.25,-0.3,0.47,0.14,0.56,0.21,0,-0.04
human,0.81,0.34,-0.31,-0.2,-0.44,0.44,0,0.02
social,0.24,-0.05,-0.29,-0.33,-0.71,0.35,0,0.12
financial,-0.23,-0.79,0.24,0.45,0.22,-0.27,0,-0.28
manufactured,0.03,-0.82,0.47,0.02,0.07,0.27,0,-0.18
BDH.new,0.18,-0.09,0.41,-0.15,0.36,0.35,0,-0.63
ECS,0.15,0.29,-0.23,0.48,-0.34,-0.32,0,0.13
Sealevel,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Forest,-0.13,-0.61,0.49,-0.16,0.64,0.2,0,-0.19
Land,-0.0,0.0,0.0,0.0,0.0,0.0,0,-0.0
energy,-0.07,-0.58,0.35,0.02,0.5,0.31,0,-0.15
Water,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
GHP.new,-0.42,0.72,-0.17,-0.14,-0.12,-0.02,0,0.36
WaterQuant,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
WaterQual,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Demographics,-0.04,-0.68,0.5,-0.14,0.54,0.29,0,-0.23
literacy,0.71,0.52,-0.34,-0.42,-0.34,0.43,0,0.19
HDI,0.0,0.33,-0.52,0.4,-0.4,-0.4,0,0.05
labrate,0.25,0.63,-0.45,-0.08,-0.82,0.15,0,-0.06
agprod,-0.06,-0.41,0.24,-0.11,0.77,-0.02,0,0.18
agVol,-0.04,-0.85,0.51,-0.06,0.35,0.26,0,-0.18
obesity,0.06,0.87,-0.43,-0.41,-0.08,-0.05,0,0.35
foodsafe,0.35,-0.28,0.2,0.59,-0.22,0.0,0,-0.55
drinking,-0.07,-0.74,0.52,-0.06,0.47,0.28,0,-0.2
Micro,0.02,-0.97,0.32,0.16,0.16,0.07,0,0.18
Protein,-0.39,-0.6,0.58,0.54,0.05,0.02,0,-0.41
Diversity,0.23,0.31,-0.03,0.06,-0.49,0.14,0,0.42
urbancap,0.2,0.54,-0.34,0.23,-0.41,-0.21,0,0.27
safetynet,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
policyfood,-0.13,-0.53,0.35,-0.31,0.34,0.3,0,-0.22
nutritional,0.28,0.68,-0.63,-0.33,-0.26,-0.22,0,0.35
gender,0.06,-0.76,0.5,-0.14,0.38,0.38,0,-0.26
political,0.01,-0.41,0.55,-0.35,0.41,0.38,0,-0.11
corruption,0.21,0.18,-0.4,0.16,-1.0,0.13,0,0.18
conflict,0.21,0.18,-0.4,0.16,-1.0,0.13,0,0.18
perCapita,-0.32,-0.38,0.6,-0.02,0.89,-0.03,0,-0.34
edu,-0.06,-0.04,0.12,0.19,-0.11,-0.12,0,-0.77
tariff,0.02,-0.97,0.32,0.16,0.16,0.07,0,0.18
agGDP,0.1,0.59,-0.58,-0.21,-0.11,-0.32,0,0.46
finance,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
priceVol,-0.09,-0.81,0.14,0.23,0.21,-0.06,0,0.46
foodloss,-0.18,0.44,-0.28,0.38,-0.43,-0.19,0,-0.17
kofgi,-0.23,0.26,-0.5,0.02,0.13,-0.6,0,0.6
agadaptpolicy,-0.13,-0.53,0.35,-0.31,0.34,0.3,0,-0.22
climatesma,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
disman,-0.42,-0.33,0.39,-0.26,0.79,-0.25,0,-0.09
Nindex,0.09,-0.96,0.46,0.24,0.23,0.13,0,-0.23
RND,0.14,-0.11,-0.54,0.33,-0.34,-0.36,0,-0.1
mobile,0.09,0.17,-0.13,0.44,-0.1,-0.36,0,0.22
transport,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
storage,0.3,-0.4,0.16,0.33,-0.51,0.22,0,0.0
