index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,0,0.2,0.02,0,0,0,-0.26
natural,0,0,-0.12,0.07,0,0,0,0.18
human,0,0,-0.24,0.12,0,0,0,0.11
social,0,0,0.05,0.09,0,0,0,-0.07
financial,0,0,0.57,0.47,0,0,0,-0.12
manufactured,0,0,0.2,-0.23,0,0,0,-0.41
BDH.new,0,0,-0.22,-0.17,0,0,0,0.04
ECS,0,0,-0.2,0.03,0,0,0,0.4
Sealevel,0,0,0.0,0.0,0,0,0,0.0
Forest,0,0,0.0,0.0,0,0,0,0.0
Land,0,0,0.0,0.0,0,0,0,0.0
energy,0,0,0.18,-0.06,0,0,0,-0.55
Water,0,0,0.0,0.0,0,0,0,0.0
GHP.new,0,0,0.17,0.33,0,0,0,0.49
WaterQuant,0,0,0.0,0.0,0,0,0,0.0
WaterQual,0,0,0.0,0.0,0,0,0,0.0
Demographics,0,0,-0.07,-0.24,0,0,0,0.24
literacy,0,0,-0.23,-0.12,0,0,0,-0.16
HDI,0,0,-0.11,0.33,0,0,0,0.41
labrate,0,0,-0.57,0.16,0,0,0,0.53
agprod,0,0,0.07,-0.48,0,0,0,-0.63
agVol,0,0,0.2,-0.36,0,0,0,-0.48
obesity,0,0,-0.19,-0.05,0,0,0,0.35
foodsafe,0,0,0.03,0.05,0,0,0,-0.59
drinking,0,0,0.22,-0.2,0,0,0,-0.45
Micro,0,0,-0.23,-0.13,0,0,0,0.06
Protein,0,0,-0.27,-0.39,0,0,0,0.62
Diversity,0,0,0.19,0.5,0,0,0,0.51
urbancap,0,0,-0.04,0.35,0,0,0,0.23
safetynet,0,0,0.0,0.0,0,0,0,0.0
policyfood,0,0,0.17,0.19,0,0,0,-0.01
nutritional,0,0,-0.36,0.25,0,0,0,0.1
gender,0,0,0.47,0.26,0,0,0,-0.66
political,0,0,0.07,0.35,0,0,0,-0.25
corruption,0,0,0.19,-0.25,0,0,0,0.43
conflict,0,0,-0.03,-0.4,0,0,0,-0.52
perCapita,0,0,0.69,-0.14,0,0,0,-0.33
edu,0,0,-0.51,-0.24,0,0,0,0.19
tariff,0,0,-0.2,0.24,0,0,0,0.33
agGDP,0,0,0.18,-0.31,0,0,0,-0.18
finance,0,0,0.0,0.0,0,0,0,0.0
priceVol,0,0,0.56,0.63,0,0,0,-0.11
foodloss,0,0,0.16,-0.2,0,0,0,-0.06
kofgi,0,0,-0.07,-0.51,0,0,0,-0.5
agadaptpolicy,0,0,0.0,0.0,0,0,0,0.0
climatesma,0,0,0.0,0.0,0,0,0,0.0
disman,0,0,0.0,0.0,0,0,0,0.0
Nindex,0,0,-0.11,-0.11,0,0,0,0.77
RND,0,0,-0.21,0.16,0,0,0,0.21
mobile,0,0,0.2,-0.09,0,0,0,-0.51
transport,0,0,0.0,0.0,0,0,0,0.0
storage,0,0,0.19,-0.25,0,0,0,-0.33
