index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.5,-0.41,0.49,0,0.31,0,0,0.25
natural,-0.24,0.05,0.04,0,-0.25,0,0,0.83
human,0.82,-0.44,0.53,0,0.9,0,0,0.0
social,0.01,-0.23,0.39,0,0.04,0,0,0.69
financial,0.27,-0.36,0.5,0,0.16,0,0,0.59
manufactured,-0.03,0.18,-0.34,0,-0.17,0,0,-0.67
BDH.new,-0.04,0.39,-0.3,0,0.05,0,0,-0.49
ECS,-0.14,-0.33,0.21,0,-0.22,0,0,0.73
Sealevel,0.0,0.0,0.0,0,0.0,0,0,0.0
Forest,0.14,-0.27,0.42,0,0.06,0,0,0.57
Land,0.0,0.0,0.0,0,0.0,0,0,0.0
energy,0.48,-0.18,0.52,0,0.38,0,0,0.27
Water,0.42,-0.4,0.52,0,0.33,0,0,0.6
GHP.new,-0.14,-0.28,0.14,0,-0.1,0,0,0.57
WaterQuant,0.0,0.0,0.0,0,0.0,0,0,0.0
WaterQual,0.0,0.0,0.0,0,0.0,0,0,0.0
Demographics,-0.05,0.27,-0.35,0,-0.03,0,0,-0.59
literacy,0.94,-0.13,0.53,0,0.97,0,0,-0.24
HDI,0.44,-0.4,0.53,0,0.34,0,0,0.59
labrate,0.19,0.38,0.3,0,0.02,0,0,-0.32
agprod,0.03,0.35,0.13,0,-0.25,0,0,-0.36
agVol,-0.27,-0.24,-0.53,0,-0.14,0,0,-0.22
obesity,-0.3,-0.2,-0.03,0,-0.19,0,0,0.39
foodsafe,-0.4,0.32,-0.29,0,-0.13,0,0,-0.07
drinking,-0.03,0.3,-0.31,0,-0.02,0,0,-0.62
Micro,0.17,0.12,-0.16,0,-0.05,0,0,-0.61
Protein,0.39,-0.21,0.54,0,0.51,0,0,0.05
Diversity,0.38,-0.41,0.54,0,0.16,0,0,0.5
urbancap,-0.12,-0.26,0.03,0,-0.28,0,0,0.52
safetynet,0.0,0.0,0.0,0,0.0,0,0,0.0
policyfood,0.0,0.0,0.0,0,0.0,0,0,0.0
nutritional,0.08,0.06,0.31,0,0.17,0,0,0.62
gender,0.12,-0.96,0.59,0,0.21,0,0,0.38
political,-0.4,0.25,-0.08,0,-0.64,0,0,-0.09
corruption,0.0,0.0,0.0,0,0.0,0,0,0.0
conflict,0.0,0.0,0.0,0,0.0,0,0,0.0
perCapita,-0.28,-0.07,-0.6,0,-0.11,0,0,0.06
edu,0.25,-0.79,0.48,0,0.22,0,0,0.38
tariff,0.37,-0.39,0.46,0,0.28,0,0,0.53
agGDP,-0.23,-0.22,-0.27,0,-0.29,0,0,-0.12
finance,0.0,0.0,0.0,0,0.0,0,0,0.0
priceVol,0.27,-0.11,0.51,0,0.14,0,0,0.58
foodloss,-0.77,0.26,-0.65,0,-0.75,0,0,-0.2
kofgi,0.03,0.05,0.08,0,-0.2,0,0,0.43
agadaptpolicy,0.0,0.0,0.0,0,0.0,0,0,0.0
climatesma,0.0,0.0,0.0,0,0.0,0,0,0.0
disman,0.0,0.0,0.0,0,0.0,0,0,0.0
Nindex,0.17,0.1,-0.16,0,-0.09,0,0,-0.6
RND,-0.43,0.25,-0.58,0,-0.37,0,0,-0.59
mobile,0.25,0.08,0.17,0,0.18,0,0,-0.15
transport,-0.2,-0.28,-0.49,0,-0.2,0,0,0.01
storage,0.17,0.12,-0.16,0,-0.05,0,0,-0.61
