index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,-0.13,0,0.1,0,0.14,0,0,0.24
natural,0.42,0,0.43,0,-0.48,0,0,-0.37
human,0.33,0,0.23,0,-0.72,0,0,-0.01
social,0.28,0,0.42,0,-0.05,0,0,0.08
financial,-0.43,0,-0.2,0,0.43,0,0,0.11
manufactured,-0.27,0,-0.07,0,0.38,0,0,0.34
BDH.new,-0.08,0,0.33,0,0.24,0,0,-0.04
ECS,0.34,0,0.21,0,-0.44,0,0,-0.21
Sealevel,0.0,0,0.0,0,0.0,0,0,0.0
Forest,0.4,0,0.19,0,-0.4,0,0,-0.15
Land,0.0,0,0.0,0,0.0,0,0,0.0
energy,0.36,0,0.27,0,-0.56,0,0,-0.43
Water,-0.25,0,-0.18,0,0.41,0,0,0.26
GHP.new,0.54,0,0.25,0,-0.31,0,0,-0.03
WaterQuant,0.0,0,0.0,0,0.0,0,0,0.0
WaterQual,0.0,0,0.0,0,0.0,0,0,0.0
Demographics,-0.42,0,-0.15,0,0.55,0,0,0.21
literacy,0.35,0,0.06,0,-0.72,0,0,0.17
HDI,0.25,0,0.19,0,-0.41,0,0,-0.27
labrate,0.06,0,0.17,0,-0.6,0,0,0.36
agprod,-0.04,0,0.45,0,0.22,0,0,-0.11
agVol,0.39,0,0.71,0,-0.01,0,0,-0.3
obesity,0.21,0,-0.19,0,0.16,0,0,0.26
foodsafe,-0.29,0,-0.13,0,-0.01,0,0,-0.49
drinking,-0.36,0,-0.12,0,0.48,0,0,0.27
Micro,-0.29,0,0.22,0,0.16,0,0,0.17
Protein,0.48,0,0.33,0,-0.41,0,0,-0.18
Diversity,0.11,0,0.18,0,-0.45,0,0,-0.39
urbancap,0.4,0,0.27,0,-0.34,0,0,-0.18
safetynet,0.0,0,0.0,0,0.0,0,0,0.0
policyfood,0.35,0,0.03,0,0.02,0,0,0.26
nutritional,0.0,0,0.45,0,-0.02,0,0,0.01
gender,-0.36,0,-0.17,0,0.41,0,0,0.19
political,0.08,0,0.01,0,-0.71,0,0,-0.33
corruption,-0.04,0,0.33,0,0.24,0,0,-0.07
conflict,0.0,0,0.0,0,0.0,0,0,0.0
perCapita,-0.41,0,-0.24,0,0.94,0,0,-0.2
edu,0.15,0,0.27,0,0.23,0,0,0.23
tariff,0.1,0,0.52,0,0.02,0,0,-0.1
agGDP,0.5,0,0.33,0,-0.25,0,0,-0.32
finance,-0.57,0,-0.35,0,0.32,0,0,0.05
priceVol,-0.3,0,-0.08,0,0.34,0,0,0.07
foodloss,-0.34,0,-0.45,0,0.37,0,0,0.2
kofgi,-0.09,0,0.18,0,-0.24,0,0,-0.27
agadaptpolicy,-0.11,0,-0.18,0,0.45,0,0,0.39
climatesma,0.0,0,0.0,0,0.0,0,0,0.0
disman,0.0,0,0.0,0,0.0,0,0,0.0
Nindex,-0.46,0,-0.23,0,0.31,0,0,0.0
RND,-0.13,0,0.05,0,-0.26,0,0,-0.53
mobile,0.17,0,-0.32,0,-0.43,0,0,-0.01
transport,-0.25,0,-0.18,0,0.41,0,0,0.26
storage,-0.29,0,0.22,0,0.16,0,0,0.17
