index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,-0.29,-0.28,-0.04,-0.0,0.43,0,0.37,0.29
natural,-0.09,0.31,0.13,-0.37,-0.32,0,-0.35,-0.3
human,0.38,0.13,-0.49,0.12,-0.19,0,0.8,-0.29
social,-0.08,-0.27,0.26,-0.37,0.1,0,0.08,0.52
financial,-0.18,0.25,-0.49,-0.41,-0.38,0,0.37,0.26
manufactured,-0.38,-0.3,0.04,0.22,0.59,0,0.16,0.17
BDH.new,-0.19,-0.01,-0.28,-0.46,-0.37,0,-0.25,-0.16
ECS,0.06,0.38,0.09,-0.23,-0.38,0,-0.34,-0.36
Sealevel,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Forest,-0.05,-0.66,-0.04,0.1,0.52,0,0.24,0.44
Land,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
energy,-0.24,-0.42,-0.01,0.06,0.43,0,0.37,0.37
Water,-0.25,-0.57,0.05,-0.03,0.42,0,0.06,0.4
GHP.new,-0.02,0.37,0.09,-0.34,-0.37,0,-0.34,-0.31
WaterQuant,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
WaterQual,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
Demographics,-0.1,-0.35,0.13,0.28,0.55,0,0.2,0.41
literacy,0.04,-0.22,-0.26,-0.35,0.07,0,0.66,-0.12
HDI,0.29,0.58,-0.06,0.09,-0.42,0,-0.03,-0.39
labrate,0.14,0.36,-0.11,-0.35,-0.66,0,-0.11,-0.25
agprod,-0.03,-0.43,0.11,0.39,0.58,0,0.09,0.39
agVol,-0.29,-0.04,-0.24,0.04,0.18,0,0.67,0.27
obesity,-0.01,0.26,-0.09,-0.28,-0.45,0,-0.28,-0.41
foodsafe,0.33,0.06,-0.16,0.47,0.04,0,0.46,-0.23
drinking,-0.04,-0.32,0.07,0.25,0.46,0,0.27,0.43
Micro,0.15,0.22,0.43,0.35,0.31,0,0.19,0.13
Protein,0.47,0.29,-0.56,0.52,-0.42,0,0.21,-0.22
Diversity,0.28,-0.23,-0.19,0.49,0.25,0,0.36,0.24
urbancap,0.26,0.1,0.27,-0.06,-0.12,0,-0.52,-0.32
safetynet,0.15,0.22,-0.34,-0.55,-0.84,0,0.19,0.12
policyfood,0.15,0.22,0.43,0.35,0.31,0,0.19,0.12
nutritional,-0.37,-0.43,0.17,-0.36,0.39,0,-0.0,0.43
gender,-0.17,-0.38,0.16,0.22,0.58,0,0.13,0.44
political,0.42,0.25,-0.15,0.09,-0.53,0,-0.16,-0.3
corruption,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
conflict,-0.17,-0.45,-0.17,-0.4,-0.11,0,0.19,0.5
perCapita,-0.13,-0.38,0.03,0.47,0.65,0,0.01,0.12
edu,-0.07,0.41,0.77,0.27,0.23,0,-0.35,0.05
tariff,0.14,0.25,-0.58,-0.23,-0.64,0,0.29,-0.64
agGDP,-0.37,0.27,0.72,-0.17,0.25,0,-0.46,-0.14
finance,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
priceVol,-0.1,-0.3,-0.47,-0.24,-0.04,0,0.32,0.4
foodloss,0.33,0.48,-0.16,-0.09,-0.52,0,-0.09,-0.34
kofgi,-0.42,-0.54,0.24,-0.52,0.41,0,0.11,0.2
agadaptpolicy,-0.21,-0.32,0.12,0.35,0.65,0,-0.27,-0.18
climatesma,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
disman,-0.35,-0.17,-0.15,0.04,0.24,0,0.46,0.33
Nindex,-0.15,0.56,0.66,-0.21,0.01,0,-0.19,-0.13
RND,-0.44,0.0,0.41,0.07,0.42,0,-0.51,-0.02
mobile,-0.19,-0.26,0.27,0.03,0.51,0,0.22,0.48
transport,-0.23,-0.1,0.34,0.34,0.69,0,-0.3,-0.2
storage,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0
