index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.12,0.57,-0.34,0.28,-0.61,0.5,0.12,0
natural,0.24,-0.08,0.17,-0.41,-0.13,0.2,0.24,0
human,0.32,0.26,-0.39,-0.12,-0.57,0.37,0.32,0
social,0.46,-0.13,-0.25,-0.13,-0.28,0.12,0.46,0
financial,-0.13,0.61,-0.02,0.06,-0.37,0.3,-0.13,0
manufactured,-0.01,0.5,-0.31,0.54,-0.46,0.44,-0.01,0
BDH.new,-0.12,0.26,-0.14,0.31,-0.1,-0.19,-0.12,0
ECS,-0.06,-0.09,0.41,-0.22,0.27,0.27,-0.06,0
Sealevel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Forest,0.23,-0.11,0.01,-0.37,0.2,0.07,0.23,0
Land,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
energy,-0.36,0.32,0.1,0.43,-0.39,0.21,-0.36,0
Water,0.32,-0.4,0.05,-0.57,0.18,-0.25,0.32,0
GHP.new,0.26,0.02,0.27,-0.16,-0.93,0.25,0.26,0
WaterQuant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
WaterQual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
Demographics,-0.09,0.25,-0.03,0.38,-0.53,0.12,-0.09,0
literacy,0.32,0.26,-0.38,-0.18,-0.52,0.39,0.32,0
HDI,0.33,-0.41,0.05,-0.58,0.13,-0.27,0.33,0
labrate,-0.47,0.39,0.27,0.31,-0.01,0.39,-0.47,0
agprod,-0.15,0.32,-0.01,0.39,-0.56,0.2,-0.15,0
agVol,0.14,0.44,-0.57,0.33,-0.24,-0.01,0.14,0
obesity,0.02,-0.3,0.09,-0.38,0.6,-0.16,0.02,0
foodsafe,0.25,0.32,-0.53,0.16,-0.26,0.47,0.25,0
drinking,-0.1,0.31,-0.05,0.39,-0.53,0.14,-0.1,0
Micro,0.12,0.12,0.35,-0.07,-0.95,0.29,0.12,0
Protein,0.37,0.11,-0.43,0.29,-0.4,-0.17,0.37,0
Diversity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
urbancap,0.41,-0.44,0.2,-0.66,0.26,-0.16,0.41,0
safetynet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
policyfood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
nutritional,0.45,-0.15,-0.19,-0.25,-0.18,-0.03,0.45,0
gender,-0.13,0.1,0.16,0.25,-0.45,0.04,-0.13,0
political,-0.11,-0.14,-0.04,-0.12,0.51,0.21,-0.11,0
corruption,0.19,0.15,-0.29,0.37,-0.59,0.24,0.19,0
conflict,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
perCapita,-0.24,-0.13,-0.05,0.25,0.14,-0.21,-0.24,0
edu,0.52,0.49,-0.51,-0.32,0.01,0.36,0.52,0
tariff,0.39,-0.46,0.04,-0.43,-0.06,-0.18,0.39,0
agGDP,-0.09,-0.38,0.53,-0.52,0.06,0.04,-0.09,0
finance,-0.25,0.5,0.07,0.14,-0.33,0.29,-0.25,0
priceVol,-0.09,0.48,0.05,-0.04,-0.33,0.08,-0.09,0
foodloss,-0.28,0.38,-0.04,0.53,-0.27,0.23,-0.28,0
kofgi,-0.21,0.29,0.21,-0.09,-0.33,0.79,-0.21,0
agadaptpolicy,0.32,0.28,-0.54,0.22,-0.29,0.4,0.32,0
climatesma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
disman,0.08,0.68,0.17,-0.29,-0.71,0.59,0.08,0
Nindex,0.22,0.23,-0.03,0.13,-0.75,0.07,0.22,0
RND,-0.29,-0.15,0.44,0.31,-0.27,-0.11,-0.29,0
mobile,0.04,0.48,-0.09,0.28,-0.59,0.25,0.04,0
transport,-0.02,0.29,-0.06,0.42,-0.64,0.31,-0.02,0
storage,-0.32,0.4,-0.05,0.57,-0.18,0.25,-0.32,0
