index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,-0.2,-0.12,-0.16,0.22,0.71,0.52,0,0
natural,0.22,0.39,0.57,-0.46,-0.69,-0.46,0,0
human,-0.2,-0.13,-0.13,-0.28,0.26,0.97,0,0
social,-0.1,-0.19,-0.0,0.77,0.43,-0.45,0,0
financial,0.04,0.18,-0.39,0.2,0.37,0.76,0,0
manufactured,-0.14,-0.09,-0.07,0.09,0.63,0.14,0,0
BDH.new,0.18,0.2,-0.27,0.12,0.47,0.13,0,0
ECS,0.05,0.25,0.66,-0.45,-0.68,-0.45,0,0
Sealevel,-0.0,0.0,0.0,0.0,0.0,0.0,0,0
Forest,0.22,0.25,0.57,-0.42,-0.63,-0.42,0,0
Land,0.0,0.0,0.0,0.0,0.0,0.0,0,0
energy,0.56,0.3,-0.57,0.12,-0.15,0.04,0,0
Water,-0.22,0.41,0.67,-0.4,-0.78,-0.4,0,0
GHP.new,-0.35,-0.35,0.26,0.06,0.52,0.06,0,0
WaterQuant,0.0,0.0,0.0,0.0,0.0,0.0,0,0
WaterQual,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Demographics,-0.17,-0.21,-0.38,0.22,0.67,0.22,0,0
literacy,-0.18,-0.2,-0.27,-0.12,0.38,1.0,0,0
HDI,-0.25,0.39,0.69,-0.37,-0.77,-0.4,0,0
labrate,0.12,-0.03,-0.11,-0.52,0.36,0.34,0,0
agprod,-0.04,0.28,0.69,-0.44,-0.69,-0.44,0,0
agVol,0.17,0.39,0.05,-0.75,-0.31,0.27,0,0
obesity,0.04,0.04,-0.18,0.29,0.24,0.03,0,0
foodsafe,0.47,0.14,0.11,-0.59,-0.0,0.45,0,0
drinking,-0.07,-0.3,-0.63,0.54,0.62,0.31,0,0
Micro,0.35,0.42,0.0,-0.12,-0.47,-0.12,0,0
Protein,-0.35,-0.39,0.18,0.25,0.0,0.25,0,0
Diversity,-0.22,0.41,0.67,-0.4,-0.78,-0.4,0,0
urbancap,-0.46,-0.86,0.1,0.41,0.66,0.08,0,0
safetynet,0.0,0.0,0.0,0.0,0.0,0.0,0,0
policyfood,0.0,0.0,0.0,0.0,0.0,0.0,0,0
nutritional,0.27,0.3,0.02,0.19,0.03,-0.71,0,0
gender,-0.09,-0.13,-0.62,0.49,0.66,0.22,0,0
political,-0.53,-0.6,0.2,0.19,0.07,0.19,0,0
corruption,-0.18,-0.2,0.0,1.0,0.38,-0.12,0,0
conflict,0.0,0.0,0.0,0.0,0.0,0.0,0,0
perCapita,0.02,-0.05,0.12,0.87,0.09,-0.16,0,0
edu,-0.05,0.18,-0.02,-0.17,-0.07,0.7,0,0
tariff,0.0,0.11,-0.52,0.21,0.5,0.41,0,0
agGDP,-0.31,-0.24,0.69,-0.22,-0.51,-0.22,0,0
finance,0.0,0.0,0.0,0.0,0.0,0.0,0,0
priceVol,0.25,-0.06,-0.48,0.24,0.5,-0.19,0,0
foodloss,-0.26,-0.12,-0.05,0.09,0.49,0.16,0,0
kofgi,-0.02,-0.17,-0.52,0.34,0.76,0.23,0,0
agadaptpolicy,-0.13,-0.16,-0.2,0.19,0.71,0.19,0,0
climatesma,0.0,0.0,0.0,0.0,0.0,0.0,0,0
disman,0.0,0.0,0.0,0.0,0.0,0.0,0,0
Nindex,0.29,0.33,-0.59,0.15,0.33,0.15,0,0
RND,0.01,0.3,0.5,-0.32,-0.84,-0.29,0,0
mobile,0.09,0.37,0.62,-0.58,-0.65,-0.28,0,0
transport,-0.0,0.01,0.71,-0.25,-0.57,-0.25,0,0
storage,0.0,0.0,0.0,0.0,0.0,0.0,0,0
