index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.13,0,0.2,0.37,0,0,0,0.24
natural,-0.47,0,0.02,-0.25,0,0,0,0.24
human,-0.02,0,0.26,-0.09,0,0,0,0.24
social,-0.09,0,0.21,0.28,0,0,0,0.37
financial,0.38,0,-0.15,0.56,0,0,0,0.03
manufactured,-0.03,0,0.5,0.31,0,0,0,-0.21
BDH.new,0.17,0,-0.06,0.09,0,0,0,0.16
ECS,0.17,0,-0.28,-0.17,0,0,0,-0.1
Sealevel,0.0,0,0.0,0.0,0,0,0,0.0
Forest,0.02,0,0.48,0.28,0,0,0,-0.21
Land,0.0,0,0.0,0.0,0,0,0,0.0
energy,-0.43,0,-0.21,-0.36,0,0,0,0.27
Water,-0.13,0,0.42,0.4,0,0,0,0.16
GHP.new,-0.28,0,0.4,0.36,0,0,0,0.16
WaterQuant,0.0,0,0.0,0.0,0,0,0,0.0
WaterQual,0.0,0,0.0,0.0,0,0,0,0.0
Demographics,0.25,0,0.23,0.36,0,0,0,0.08
literacy,-0.02,0,0.14,-0.19,0,0,0,0.3
HDI,0.16,0,-0.44,-0.39,0,0,0,-0.16
labrate,0.45,0,-0.32,0.19,0,0,0,0.38
agprod,0.06,0,-0.04,-0.11,0,0,0,0.32
agVol,-0.02,0,0.34,0.55,0,0,0,0.11
obesity,-0.23,0,-0.25,-0.39,0,0,0,-0.06
foodsafe,-0.6,0,0.63,-0.74,0,0,0,-0.25
drinking,0.19,0,0.33,0.46,0,0,0,0.03
Micro,0.0,0,0.0,0.0,0,0,0,0.0
Protein,0.1,0,0.53,0.44,0,0,0,-0.23
Diversity,-0.14,0,-0.25,-0.36,0,0,0,-0.21
urbancap,-0.2,0,-0.37,-0.44,0,0,0,0.02
safetynet,0.24,0,-0.08,0.12,0,0,0,0.22
policyfood,0.0,0,0.0,0.0,0,0,0,0.0
nutritional,-0.13,0,0.42,0.4,0,0,0,0.16
gender,0.2,0,0.27,0.36,0,0,0,-0.07
political,0.18,0,0.31,0.36,0,0,0,0.02
corruption,0.0,0,0.0,0.0,0,0,0,0.0
conflict,-0.17,0,-0.22,-0.25,0,0,0,0.13
perCapita,-0.12,0,0.54,0.12,0,0,0,-0.19
edu,-0.24,0,0.24,-0.3,0,0,0,-0.61
tariff,-0.11,0,-0.28,-0.27,0,0,0,0.17
agGDP,-0.03,0,0.34,0.22,0,0,0,-0.11
finance,0.0,0,0.0,0.0,0,0,0,0.0
priceVol,0.4,0,-0.22,0.62,0,0,0,0.3
foodloss,0.3,0,-0.51,-0.32,0,0,0,-0.11
kofgi,-0.08,0,-0.49,-0.51,0,0,0,0.44
agadaptpolicy,0.0,0,0.0,0.0,0,0,0,0.0
climatesma,0.0,0,0.0,0.0,0,0,0,0.0
disman,0.0,0,0.0,0.0,0,0,0,0.0
Nindex,-0.31,0,0.45,0.05,0,0,0,-0.66
RND,-0.12,0,-0.27,-0.35,0,0,0,-0.16
mobile,0.06,0,0.38,0.34,0,0,0,0.04
transport,0.36,0,-0.12,0.19,0,0,0,0.34
storage,0.0,0,0.0,0.0,0,0,0,0.0
