index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.34,0,0.33,0,-0.47,0,0,-0.4
natural,-0.46,0,-0.3,0,0.59,0,0,0.05
human,-0.55,0,-0.46,0,0.52,0,0,-0.29
social,0.38,0,0.48,0,-0.06,0,0,-0.23
financial,0.12,0,0.23,0,-0.29,0,0,0.18
manufactured,0.46,0,0.32,0,-0.59,0,0,-0.18
BDH.new,-0.28,0,0.1,0,0.38,0,0,-0.24
ECS,-0.48,0,-0.36,0,0.5,0,0,-0.03
Sealevel,0.0,0,0.0,0,0.0,0,0,0.0
Forest,0.49,0,0.52,0,-0.39,0,0,-0.15
Land,0.0,0,0.0,0,0.0,0,0,0.0
energy,0.6,0,-0.04,0,-0.36,0,0,0.42
Water,0.33,0,0.28,0,-0.13,0,0,0.19
GHP.new,0.39,0,0.4,0,-0.53,0,0,0.11
WaterQuant,0.0,0,0.0,0,0.0,0,0,0.0
WaterQual,0.0,0,0.0,0,0.0,0,0,0.0
Demographics,0.43,0,0.59,0,-0.49,0,0,-0.25
literacy,-0.4,0,-0.34,0,0.58,0,0,-0.27
HDI,-0.32,0,-0.29,0,0.12,0,0,-0.18
labrate,-0.55,0,-0.9,0,0.36,0,0,0.25
agprod,-0.36,0,-0.38,0,0.23,0,0,0.05
agVol,-0.12,0,-0.04,0,0.3,0,0,-0.11
obesity,-0.44,0,-0.44,0,0.51,0,0,0.06
foodsafe,-0.12,0,0.1,0,-0.01,0,0,-0.16
drinking,0.4,0,0.46,0,-0.44,0,0,-0.09
Micro,0.26,0,0.22,0,-0.78,0,0,0.18
Protein,-0.21,0,-0.48,0,0.5,0,0,0.34
Diversity,-0.4,0,-0.34,0,0.6,0,0,0.19
urbancap,-0.61,0,-0.32,0,0.22,0,0,-0.05
safetynet,0.47,0,0.45,0,-0.28,0,0,-0.05
policyfood,0.0,0,0.0,0,0.0,0,0,0.0
nutritional,-0.11,0,-0.2,0,0.14,0,0,0.27
gender,0.41,0,0.51,0,-0.48,0,0,-0.03
political,0.46,0,0.47,0,-0.65,0,0,-0.18
corruption,-0.33,0,-0.26,0,0.52,0,0,0.05
conflict,0.26,0,0.22,0,-0.01,0,0,-0.43
perCapita,0.46,0,0.56,0,0.07,0,0,-0.0
edu,-0.63,0,0.0,0,0.84,0,0,-0.22
tariff,0.33,0,0.28,0,-0.13,0,0,0.19
agGDP,-0.42,0,-0.34,0,0.27,0,0,0.03
finance,0.0,0,0.0,0,0.0,0,0,0.0
priceVol,0.42,0,0.3,0,-0.62,0,0,0.28
foodloss,0.18,0,0.05,0,-0.29,0,0,-0.39
kofgi,-0.61,0,0.1,0,-0.16,0,0,-0.24
agadaptpolicy,0.0,0,0.0,0,0.0,0,0,0.0
climatesma,0.0,0,0.0,0,0.0,0,0,0.0
disman,0.0,0,0.0,0,0.0,0,0,0.0
Nindex,-0.42,0,-0.41,0,0.34,0,0,-0.15
RND,0.53,0,0.31,0,-0.68,0,0,-0.22
mobile,0.75,0,-0.01,0,-0.22,0,0,0.62
transport,-0.3,0,-0.43,0,0.79,0,0,-0.06
storage,0.4,0,0.34,0,-0.6,0,0,-0.19
