index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,-0.32,0,-0.19,0.48,-0.24,0,0,-0.43
natural,0.11,0,-0.12,-0.3,0.4,0,0,-0.11
human,0.43,0,0.39,-0.44,0.15,0,0,0.12
social,-0.26,0,-0.18,0.29,-0.14,0,0,-0.51
financial,0.23,0,-0.02,0.02,0.68,0,0,-0.34
manufactured,-0.45,0,-0.23,0.5,-0.52,0,0,-0.1
BDH.new,0.09,0,-0.16,-0.18,0.53,0,0,-0.25
ECS,0.15,0,-0.07,-0.32,0.43,0,0,-0.14
Sealevel,0.0,0,0.0,0.0,0.0,0,0,0.0
Forest,0.0,0,0.0,0.0,0.0,0,0,0.0
Land,0.0,0,0.0,0.0,0.0,0,0,0.0
energy,-0.23,0,-0.47,-0.29,0.19,0,0,0.11
Water,0.41,0,0.22,-0.4,0.48,0,0,-0.22
GHP.new,0.0,0,0.0,0.0,0.0,0,0,0.0
WaterQuant,0.0,0,0.0,0.0,0.0,0,0,0.0
WaterQual,0.0,0,0.0,0.0,0.0,0,0,0.0
Demographics,0.03,0,0.26,0.11,-0.4,0,0,0.22
literacy,0.6,0,0.57,-0.19,0.36,0,0,0.13
HDI,0.41,0,0.23,-0.39,0.46,0,0,-0.22
labrate,-0.09,0,-0.16,-0.27,-0.15,0,0,0.46
agprod,-0.18,0,0.11,0.28,-0.6,0,0,0.12
agVol,0.14,0,0.15,-0.45,-0.15,0,0,0.26
obesity,0.19,0,-0.07,-0.36,0.51,0,0,-0.07
foodsafe,-0.43,0,-0.45,-0.13,-0.29,0,0,-0.22
drinking,-0.28,0,-0.02,0.45,-0.52,0,0,0.02
Micro,-0.17,0,0.12,0.12,-0.66,0,0,0.18
Protein,-0.25,0,-0.02,0.46,-0.44,0,0,-0.16
Diversity,-0.2,0,-0.18,0.4,0.06,0,0,-0.45
urbancap,0.28,0,0.12,-0.25,0.4,0,0,-0.17
safetynet,0.0,0,0.0,0.0,0.0,0,0,0.0
policyfood,-0.34,0,-0.21,0.45,-0.24,0,0,-0.51
nutritional,0.43,0,0.41,-0.29,0.22,0,0,0.04
gender,0.06,0,0.32,0.37,-0.31,0,0,-0.13
political,-0.28,0,-0.13,-0.07,-0.58,0,0,0.2
corruption,-0.1,0,-0.31,-0.25,0.19,0,0,-0.0
conflict,0.0,0,0.0,0.0,0.0,0,0,0.0
perCapita,-0.18,0,-0.08,0.19,-0.18,0,0,-0.04
edu,0.12,0,-0.13,-0.24,0.38,0,0,0.03
tariff,-0.42,0,-0.38,0.32,-0.19,0,0,0.03
agGDP,0.16,0,-0.0,-0.27,0.28,0,0,-0.11
finance,0.0,0,0.0,0.0,0.0,0,0,0.0
priceVol,0.34,0,0.19,0.16,0.69,0,0,-0.46
foodloss,-0.51,0,-0.51,0.32,-0.28,0,0,0.06
kofgi,-0.08,0,0.12,-0.03,-0.54,0,0,0.21
agadaptpolicy,-0.51,0,-0.33,0.32,-0.6,0,0,0.11
climatesma,0.0,0,0.0,0.0,0.0,0,0,0.0
disman,-0.37,0,-0.14,0.63,-0.43,0,0,-0.22
Nindex,-0.04,0,-0.24,-0.23,0.3,0,0,-0.17
RND,0.07,0,0.06,-0.04,0.07,0,0,0.54
mobile,-0.29,0,-0.05,0.57,-0.43,0,0,0.04
transport,0.16,0,0.12,0.12,0.19,0,0,0.18
storage,-0.32,0,-0.12,0.5,-0.38,0,0,-0.35
