index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.51,0,-0.1,0,0,0,0,0.19
natural,0.05,0,-0.02,0,0,0,0,-0.07
human,0.06,0,0.26,0,0,0,0,-0.04
social,-0.13,0,0.3,0,0,0,0,0.46
financial,0.69,0,-0.51,0,0,0,0,0.04
manufactured,0.37,0,-0.04,0,0,0,0,-0.13
BDH.new,0.16,0,0.08,0,0,0,0,0.16
ECS,-0.25,0,0.04,0,0,0,0,0.1
Sealevel,0.0,0,0.0,0,0,0,0,0.0
Forest,0.0,0,0.0,0,0,0,0,0.0
Land,0.0,0,0.0,0,0,0,0,0.0
energy,0.49,0,-0.11,0,0,0,0,-0.43
Water,0.4,0,-0.29,0,0,0,0,-0.32
GHP.new,-0.33,0,0.08,0,0,0,0,0.44
WaterQuant,0.0,0,0.0,0,0,0,0,0.0
WaterQual,0.0,0,0.0,0,0,0,0,0.0
Demographics,0.52,0,-0.02,0,0,0,0,-0.35
literacy,-0.15,0,0.07,0,0,0,0,-0.15
HDI,-0.4,0,0.29,0,0,0,0,0.32
labrate,-0.43,0,0.16,0,0,0,0,0.64
agprod,0.03,0,0.05,0,0,0,0,0.16
agVol,0.35,0,-0.13,0,0,0,0,-0.43
obesity,-0.29,0,0.13,0,0,0,0,0.29
foodsafe,0.66,0,-0.15,0,0,0,0,-0.32
drinking,0.36,0,-0.09,0,0,0,0,-0.19
Micro,0.0,0,0.0,0,0,0,0,0.0
Protein,0.26,0,-0.09,0,0,0,0,-0.41
Diversity,-0.25,0,0.05,0,0,0,0,-0.25
urbancap,-0.55,0,0.24,0,0,0,0,0.52
safetynet,0.0,0,0.0,0,0,0,0,0.0
policyfood,0.12,0,-0.3,0,0,0,0,0.12
nutritional,0.0,0,0.0,0,0,0,0,0.0
gender,0.24,0,-0.05,0,0,0,0,-0.03
political,-0.12,0,0.37,0,0,0,0,0.62
corruption,0.0,0,0.0,0,0,0,0,0.0
conflict,-0.1,0,0.57,0,0,0,0,0.35
perCapita,0.98,0,-0.41,0,0,0,0,-0.2
edu,0.36,0,-0.5,0,0,0,0,-0.22
tariff,-0.32,0,0.1,0,0,0,0,0.4
agGDP,-0.43,0,0.31,0,0,0,0,0.52
finance,0.5,0,-0.09,0,0,0,0,-0.25
priceVol,0.31,0,-0.66,0,0,0,0,0.31
foodloss,0.15,0,0.11,0,0,0,0,0.29
kofgi,0.28,0,-0.09,0,0,0,0,0.28
agadaptpolicy,-0.32,0,0.1,0,0,0,0,0.4
climatesma,0.0,0,0.0,0,0,0,0,0.0
disman,0.0,0,0.0,0,0,0,0,0.0
Nindex,-0.11,0,-0.65,0,0,0,0,0.82
RND,-0.94,0,0.13,0,0,0,0,0.14
mobile,0.13,0,0.01,0,0,0,0,-0.18
transport,1.0,0,-0.32,0,0,0,0,-0.12
storage,0.5,0,-0.09,0,0,0,0,-0.25
