index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,0.5,0.71,0,-0.47,0,0,0
natural,0,0.4,0.37,0,-0.51,0,0,0
human,0,-0.07,-0.39,0,0.23,0,0,0
social,0,0.11,0.54,0,-0.1,0,0,0
financial,0,0.22,0.6,0,-0.67,0,0,0
manufactured,0,0.61,0.73,0,-0.34,0,0,0
BDH.new,0,0.39,0.4,0,-0.5,0,0,0
ECS,0,-0.23,-0.42,0,0.29,0,0,0
Sealevel,0,0.0,0.0,0,0.0,0,0,0
Forest,0,0.07,0.5,0,0.14,0,0,0
Land,0,0.0,0.0,0,0.0,0,0,0
energy,0,0.05,0.14,0,-0.35,0,0,0
Water,0,0.4,0.4,0,-0.5,0,0,0
GHP.new,0,-0.22,-0.51,0,0.38,0,0,0
WaterQuant,0,0.0,0.0,0,0.0,0,0,0
WaterQual,0,0.0,0.0,0,0.0,0,0,0
Demographics,0,0.14,0.67,0,-0.53,0,0,0
literacy,0,0.14,-0.24,0,0.2,0,0,0
HDI,0,-0.43,-0.38,0,0.46,0,0,0
labrate,0,-0.02,-0.28,0,0.22,0,0,0
agprod,0,-0.03,-0.19,0,-0.25,0,0,0
agVol,0,-0.18,0.18,0,-0.34,0,0,0
obesity,0,-0.28,-0.66,0,0.39,0,0,0
foodsafe,0,0.33,0.28,0,-0.28,0,0,0
drinking,0,0.17,0.66,0,-0.56,0,0,0
Micro,0,0.0,0.0,0,0.0,0,0,0
Protein,0,-0.43,-0.65,0,0.45,0,0,0
Diversity,0,-0.31,-0.79,0,0.58,0,0,0
urbancap,0,-0.29,-0.89,0,0.52,0,0,0
safetynet,0,0.0,0.0,0,0.0,0,0,0
policyfood,0,0.0,0.0,0,0.0,0,0,0
nutritional,0,0.25,0.81,0,-0.31,0,0,0
gender,0,0.17,0.59,0,-0.57,0,0,0
political,0,-0.37,-0.62,0,0.57,0,0,0
corruption,0,0.0,0.0,0,0.0,0,0,0
conflict,0,0.0,0.0,0,0.0,0,0,0
perCapita,0,-0.14,-0.33,0,0.22,0,0,0
edu,0,0.13,0.54,0,-0.03,0,0,0
tariff,0,0.24,0.7,0,-0.66,0,0,0
agGDP,0,-0.35,-0.06,0,0.53,0,0,0
finance,0,0.17,0.47,0,-0.61,0,0,0
priceVol,0,0.23,0.33,0,-0.73,0,0,0
foodloss,0,-0.11,0.03,0,0.1,0,0,0
kofgi,0,0.28,0.66,0,-0.65,0,0,0
agadaptpolicy,0,0.27,0.08,0,0.45,0,0,0
climatesma,0,0.0,0.0,0,0.0,0,0,0
disman,0,0.24,0.73,0,-0.56,0,0,0
Nindex,0,0.17,0.2,0,-0.98,0,0,0
RND,0,0.07,-0.41,0,0.41,0,0,0
mobile,0,0.04,0.53,0,-0.53,0,0,0
transport,0,-0.4,-0.4,0,0.5,0,0,0
storage,0,0.4,0.4,0,-0.5,0,0,0
