index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,-0.48,0,0.53,-0.38,-0.22,0,0,0.63
natural,0.35,0,0.4,0.13,0.08,0,0,-0.15
human,-0.43,0,0.33,-0.24,-0.25,0,0,0.3
social,-0.55,0,-0.0,-0.2,-0.39,0,0,0.37
financial,-0.27,0,0.38,-0.45,0.12,0,0,0.44
manufactured,0.28,0,0.38,0.14,0.06,0,0,0.14
BDH.new,0.22,0,0.51,0.15,0.12,0,0,0.19
ECS,-0.19,0,0.48,-0.39,-0.44,0,0,0.31
Sealevel,0.0,0,0.0,0.0,0.0,0,0,0.0
Forest,-0.29,0,-0.43,0.66,-0.11,0,0,0.04
Land,0.0,0,0.0,0.0,0.0,0,0,0.0
energy,0.32,0,0.25,0.2,0.18,0,0,-0.23
Water,-0.09,0,0.4,-0.4,-0.43,0,0,0.25
GHP.new,0.27,0,-0.24,0.12,0.18,0,0,-0.13
WaterQuant,0.0,0,0.0,0.0,0.0,0,0,0.0
WaterQual,0.0,0,0.0,0.0,0.0,0,0,0.0
Demographics,0.05,0,-0.34,-0.11,0.09,0,0,-0.1
literacy,-0.27,0,0.15,-0.18,-0.14,0,0,-0.05
HDI,-0.06,0,0.43,-0.4,-0.43,0,0,0.24
labrate,-0.63,0,-0.13,-0.07,-0.16,0,0,0.52
agprod,-0.23,0,0.3,-0.36,-0.51,0,0,0.38
agVol,-0.46,0,-0.26,0.35,0.29,0,0,0.41
obesity,-0.34,0,-0.07,-0.31,-0.32,0,0,0.36
foodsafe,0.16,0,0.25,-0.0,0.19,0,0,-0.35
drinking,0.37,0,-0.04,0.3,0.45,0,0,-0.42
Micro,0.19,0,0.54,0.12,0.09,0,0,0.23
Protein,0.37,0,0.03,0.36,0.36,0,0,-0.61
Diversity,0.26,0,-0.12,0.43,0.01,0,0,-0.32
urbancap,-0.29,0,0.05,-0.35,-0.32,0,0,0.37
safetynet,0.0,0,0.0,0.0,0.0,0,0,0.0
policyfood,-0.48,0,0.25,-0.32,-0.37,0,0,0.4
nutritional,0.0,0,0.0,0.0,0.0,0,0,0.0
gender,0.33,0,-0.06,0.22,0.49,0,0,-0.39
political,-0.35,0,-0.29,-0.23,-0.23,0,0,0.29
corruption,0.0,0,0.0,0.0,0.0,0,0,0.0
conflict,-0.66,0,-0.36,0.13,-0.41,0,0,0.23
perCapita,-0.09,0,0.03,-0.32,-0.42,0,0,0.21
edu,-0.67,0,-0.32,0.03,-0.12,0,0,0.51
tariff,-0.39,0,0.04,0.19,-0.62,0,0,0.35
agGDP,-0.3,0,-0.14,-0.13,-0.18,0,0,0.63
finance,0.0,0,0.0,0.0,0.0,0,0,0.0
priceVol,0.3,0,0.68,-0.48,0.32,0,0,-0.0
foodloss,0.01,0,0.25,-0.25,-0.47,0,0,-0.08
kofgi,0.13,0,-0.51,-0.13,0.06,0,0,0.45
agadaptpolicy,0.19,0,0.54,0.12,0.09,0,0,0.23
climatesma,0.0,0,0.0,0.0,0.0,0,0,0.0
disman,0.0,0,0.0,0.0,0.0,0,0,0.0
Nindex,0.37,0,-0.07,0.25,0.29,0,0,-0.69
RND,-0.38,0,-0.2,-0.15,-0.27,0,0,0.35
mobile,0.36,0,-0.15,0.13,-0.06,0,0,-0.2
transport,0.0,0,0.0,0.0,0.0,0,0,0.0
storage,0.0,0,0.0,0.0,0.0,0,0,0.0
