index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,-0.33,-0.2,0.45,0,-0.35,0.33,0.36,0
natural,0.43,0.01,-0.53,0,0.83,-0.05,-0.05,0
human,-0.25,-0.02,0.48,0,-0.38,0.41,0.03,0
social,-0.05,-0.54,-0.14,0,-0.11,0.02,0.51,0
financial,0.35,0.36,-0.04,0,-0.11,-0.43,-0.43,0
manufactured,-0.38,-0.23,0.41,0,-0.29,0.38,0.4,0
BDH.new,-0.64,-0.31,0.58,0,-0.24,0.37,0.37,0
ECS,0.5,0.22,-0.58,0,0.63,-0.3,-0.3,0
Sealevel,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Forest,-0.12,-0.19,-0.38,0,0.87,-0.12,-0.12,0
Land,0.0,0.0,0.0,0,0.0,0.0,0.0,0
energy,0.45,-0.03,-0.61,0,0.76,-0.09,-0.09,0
Water,-0.32,-0.48,0.37,0,-0.19,0.4,0.4,0
GHP.new,-0.32,-0.04,0.57,0,-0.5,0.31,0.31,0
WaterQuant,0.0,0.0,0.0,0,0.0,0.0,0.0,0
WaterQual,0.0,0.0,0.0,0,0.0,0.0,0.0,0
Demographics,-0.45,-0.27,0.55,0,-0.64,0.37,0.46,0
literacy,0.0,0.0,0.0,0,0.0,0.0,0.0,0
HDI,0.17,0.46,-0.21,0,-0.04,-0.31,-0.31,0
labrate,-0.44,-0.25,0.56,0,-0.55,0.21,0.33,0
agprod,0.0,-0.4,-0.25,0,0.51,0.0,0.53,0
agVol,0.23,-0.16,-0.35,0,0.26,0.54,0.36,0
obesity,0.42,0.5,-0.11,0,0.45,-0.49,-0.49,0
foodsafe,0.17,0.26,-0.25,0,-0.14,0.17,-0.92,0
drinking,-0.34,-0.32,0.36,0,-0.45,0.51,0.51,0
Micro,0.12,0.19,0.38,0,-0.87,0.13,0.12,0
Protein,-0.27,0.17,0.67,0,-0.08,-0.23,-0.23,0
Diversity,0.33,0.35,-0.3,0,0.37,-0.47,-0.47,0
urbancap,0.2,-0.21,-0.18,0,0.22,-0.42,-0.28,0
safetynet,0.0,0.0,0.0,0,0.0,0.0,0.0,0
policyfood,0.0,0.0,0.0,0,0.0,0.0,0.0,0
nutritional,0.0,0.0,0.0,0,0.0,0.0,0.0,0
gender,-0.32,-0.33,0.41,0,-0.56,0.5,0.6,0
political,-0.0,-0.4,-0.25,0,0.0,0.0,0.53,0
corruption,0.0,0.0,0.0,0,0.0,0.0,0.0,0
conflict,0.0,0.0,0.0,0,0.0,0.0,0.0,0
perCapita,-0.08,-0.17,0.4,0,0.03,-0.27,0.96,0
edu,-0.47,-0.75,0.41,0,0.11,-0.09,-0.09,0
tariff,0.0,0.0,0.0,0,0.0,0.0,0.0,0
agGDP,0.5,0.48,-0.19,0,0.37,-0.62,-0.62,0
finance,0.0,0.0,0.0,0,0.0,0.0,0.0,0
priceVol,0.21,0.31,0.26,0,-0.73,0.21,-0.02,0
foodloss,0.35,0.45,-0.47,0,0.2,-0.36,-0.42,0
kofgi,-0.8,-0.56,0.33,0,-0.27,0.32,0.32,0
agadaptpolicy,-0.32,-0.48,0.37,0,-0.19,0.4,0.4,0
climatesma,0.0,0.0,0.0,0,0.0,0.0,0.0,0
disman,-0.4,-0.06,0.46,0,-0.32,0.32,0.32,0
Nindex,-0.06,-0.03,0.05,0,0.69,0.02,0.02,0
RND,0.28,0.28,-0.54,0,0.36,-0.32,0.23,0
mobile,-0.29,-0.38,0.2,0,-0.34,0.53,0.49,0
transport,0.4,0.06,-0.46,0,0.32,-0.32,-0.32,0
storage,0.0,0.0,0.0,0,0.0,0.0,0.0,0
