index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.15,0.38,-0.24,0,-0.22,0,0,-0.52
natural,-0.22,-0.41,-0.71,0,0.36,0,0,-0.01
human,-0.16,0.01,-0.03,0,-0.27,0,0,-0.27
social,0.11,0.39,0.58,0,-0.34,0,0,-0.35
financial,-0.11,-0.16,-0.43,0,0.28,0,0,0.03
manufactured,0.18,0.1,-0.72,0,0.12,0,0,-0.12
BDH.new,-0.18,-0.13,0.2,0,-0.16,0,0,-0.17
ECS,-0.17,0.01,0.0,0,-0.34,0,0,-0.28
Sealevel,0.0,0.0,0.0,0,0.0,0,0,0.0
Forest,-0.08,-0.32,-0.63,0,0.51,0,0,0.19
Land,0.0,0.0,0.0,0,0.0,0,0,0.0
energy,-0.01,0.1,0.38,0,-0.5,0,0,-0.45
Water,0.05,0.32,0.31,0,-0.47,0,0,-0.26
GHP.new,0.09,0.18,0.7,0,-0.16,0,0,0.11
WaterQuant,0.0,0.0,0.0,0,0.0,0,0,0.0
WaterQual,0.0,0.0,0.0,0,0.0,0,0,0.0
Demographics,-0.17,-0.33,-0.55,0,0.63,0,0,0.33
literacy,-0.18,-0.12,-0.06,0,-0.16,0,0,-0.17
HDI,0.06,0.33,0.28,0,-0.47,0,0,-0.28
labrate,0.37,0.18,-0.35,0,-0.29,0,0,0.17
agprod,-0.18,-0.12,-0.64,0,0.48,0,0,-0.01
agVol,-0.17,0.1,0.15,0,-0.41,0,0,-0.4
obesity,-0.19,-0.02,0.62,0,-0.25,0,0,-0.02
foodsafe,0.19,0.05,-0.04,0,0.36,0,0,0.3
drinking,-0.04,-0.24,-0.62,0,0.45,0,0,0.23
Micro,0.18,0.13,-0.2,0,0.16,0,0,0.17
Protein,-0.28,-0.21,-0.37,0,-0.05,0,0,-0.31
Diversity,0.0,0.0,0.0,0,0.0,0,0,0.0
urbancap,-0.04,0.22,0.58,0,-0.06,0,0,0.02
safetynet,0.0,0.0,0.0,0,0.0,0,0,0.0
policyfood,0.0,0.0,0.0,0,0.0,0,0,0.0
nutritional,0.31,0.44,0.59,0,-0.16,0,0,-0.5
gender,0.08,-0.1,-0.45,0,0.38,0,0,0.28
political,-0.07,0.25,0.38,0,-0.45,0,0,-0.39
corruption,0.0,0.0,0.0,0,0.0,0,0,0.0
conflict,0.05,0.36,0.49,0,-0.46,0,0,-0.3
perCapita,-0.39,-0.32,-0.39,0,0.88,0,0,-0.46
edu,-0.11,0.13,-0.34,0,0.26,0,0,0.21
tariff,-0.12,-0.29,-0.13,0,0.18,0,0,0.31
agGDP,0.26,0.47,0.58,0,-0.29,0,0,0.02
finance,0.0,0.0,0.0,0,0.0,0,0,0.0
priceVol,-0.04,-0.43,-0.28,0,0.22,0,0,0.03
foodloss,0.06,0.3,0.35,0,-0.5,0,0,-0.3
kofgi,-0.43,-0.7,0.09,0,0.29,0,0,0.23
agadaptpolicy,0.0,0.0,0.0,0,0.0,0,0,0.0
climatesma,0.0,0.0,0.0,0,0.0,0,0,0.0
disman,0.0,0.0,0.0,0,0.0,0,0,0.0
Nindex,-0.15,-0.03,0.84,0,-0.26,0,0,0.09
RND,-0.05,-0.02,-0.22,0,-0.28,0,0,-0.53
mobile,0.04,-0.16,-0.64,0,0.21,0,0,0.22
transport,-0.14,0.08,0.46,0,-0.49,0,0,-0.43
storage,0.28,0.19,-0.8,0,0.24,0,0,-0.07
