index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.18,0,-0.63,0,0,0,0,-0.44
natural,0.26,0,-0.94,0,0,0,0,-0.35
human,0.29,0,0.02,0,0,0,0,-0.47
social,-0.75,0,-0.19,0,0,0,0,0.18
financial,0.23,0,-0.48,0,0,0,0,-0.65
manufactured,0.26,0,-0.52,0,0,0,0,-0.22
BDH.new,0.23,0,-0.93,0,0,0,0,-0.33
ECS,0.44,0,-0.73,0,0,0,0,-0.32
Sealevel,0.0,0,0.0,0,0,0,0,0.0
Forest,0.0,0,0.0,0,0,0,0,0.0
Land,0.0,0,0.0,0,0,0,0,0.0
energy,0.26,0,-0.39,0,0,0,0,-0.25
Water,0.29,0,-0.24,0,0,0,0,-0.08
GHP.new,-0.04,0,0.55,0,0,0,0,-0.22
WaterQuant,0.0,0,0.0,0,0,0,0,0.0
WaterQual,0.0,0,0.0,0,0,0,0,0.0
Demographics,0.0,0,0.0,0,0,0,0,0.0
literacy,-0.23,0,-0.26,0,0,0,0,0.16
HDI,-0.28,0,0.22,0,0,0,0,0.07
labrate,-0.37,0,0.9,0,0,0,0,0.22
agprod,0.49,0,-0.61,0,0,0,0,-0.34
agVol,0.39,0,-0.05,0,0,0,0,-0.41
obesity,-0.36,0,0.63,0,0,0,0,0.21
foodsafe,-0.27,0,-0.52,0,0,0,0,0.43
drinking,0.32,0,-0.24,0,0,0,0,-0.33
Micro,-0.23,0,0.93,0,0,0,0,0.33
Protein,0.39,0,-0.72,0,0,0,0,-0.04
Diversity,-0.15,0,0.31,0,0,0,0,0.19
urbancap,-0.43,0,0.37,0,0,0,0,0.41
safetynet,0.0,0,0.0,0,0,0,0,0.0
policyfood,0.0,0,0.0,0,0,0,0,0.0
nutritional,0.0,0,0.0,0,0,0,0,0.0
gender,0.4,0,-0.63,0,0,0,0,-0.45
political,0.19,0,-0.31,0,0,0,0,-0.3
corruption,-0.35,0,-0.33,0,0,0,0,-0.14
conflict,-0.76,0,-0.06,0,0,0,0,0.35
perCapita,0.67,0,0.29,0,0,0,0,-0.23
edu,0.06,0,-0.55,0,0,0,0,-0.52
tariff,-0.15,0,0.31,0,0,0,0,0.19
agGDP,-0.33,0,0.09,0,0,0,0,0.01
finance,0.0,0,0.0,0,0,0,0,0.0
priceVol,0.6,0,-0.31,0,0,0,0,-0.55
foodloss,-0.21,0,0.78,0,0,0,0,0.56
kofgi,0.38,0,-0.67,0,0,0,0,-0.14
agadaptpolicy,-0.38,0,0.19,0,0,0,0,0.32
climatesma,0.0,0,0.0,0,0,0,0,0.0
disman,0.2,0,-0.3,0,0,0,0,-0.2
Nindex,0.39,0,-0.08,0,0,0,0,-0.2
RND,-0.32,0,-0.02,0,0,0,0,0.0
mobile,0.42,0,-0.4,0,0,0,0,-0.26
transport,0.21,0,-0.58,0,0,0,0,-0.27
storage,0.46,0,-0.55,0,0,0,0,-0.38
