index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,0,-0.55,0,-0.39,0,0,0.04
natural,0,0,0.13,0,0.28,0,0,0.31
human,0,0,0.33,0,0.18,0,0,0.23
social,0,0,-0.33,0,-0.21,0,0,-0.15
financial,0,0,-0.34,0,-0.22,0,0,-0.37
manufactured,0,0,-0.53,0,-0.4,0,0,0.36
BDH.new,0,0,0.78,0,0.68,0,0,-0.17
ECS,0,0,0.28,0,0.52,0,0,0.31
Sealevel,0,0,0.0,0,0.0,0,0,0.0
Forest,0,0,0.0,0,0.0,0,0,0.0
Land,0,0,0.0,0,0.0,0,0,0.0
energy,0,0,0.07,0,-0.42,0,0,-0.29
Water,0,0,-0.12,0,-0.47,0,0,-0.53
GHP.new,0,0,-0.81,0,-0.88,0,0,-0.0
WaterQuant,0,0,0.0,0,0.0,0,0,0.0
WaterQual,0,0,0.0,0,0.0,0,0,0.0
Demographics,0,0,-0.4,0,-0.54,0,0,-0.27
literacy,0,0,0.26,0,-0.18,0,0,-0.21
HDI,0,0,0.07,0,0.43,0,0,0.54
labrate,0,0,0.7,0,0.34,0,0,-0.18
agprod,0,0,0.51,0,0.49,0,0,0.25
agVol,0,0,-0.02,0,-0.38,0,0,-0.48
obesity,0,0,0.57,0,0.53,0,0,0.09
foodsafe,0,0,-0.42,0,-0.09,0,0,0.29
drinking,0,0,-0.41,0,-0.49,0,0,-0.24
Micro,0,0,0.92,0,0.81,0,0,0.06
Protein,0,0,0.29,0,0.35,0,0,0.23
Diversity,0,0,0.46,0,0.68,0,0,0.34
urbancap,0,0,0.57,0,0.12,0,0,-0.44
safetynet,0,0,0.07,0,0.18,0,0,0.21
policyfood,0,0,-0.27,0,-0.16,0,0,-0.15
nutritional,0,0,-0.47,0,-0.47,0,0,0.0
gender,0,0,-0.2,0,-0.3,0,0,-0.28
political,0,0,-0.26,0,-0.42,0,0,-0.36
corruption,0,0,-0.28,0,0.22,0,0,0.5
conflict,0,0,0.18,0,0.18,0,0,-0.6
perCapita,0,0,0.21,0,0.18,0,0,0.1
edu,0,0,-0.35,0,-0.51,0,0,-0.71
tariff,0,0,0.41,0,0.17,0,0,-0.11
agGDP,0,0,0.24,0,0.12,0,0,-0.24
finance,0,0,0.0,0,0.0,0,0,0.0
priceVol,0,0,-0.06,0,0.4,0,0,0.56
foodloss,0,0,-0.06,0,-0.42,0,0,-0.6
kofgi,0,0,0.63,0,0.34,0,0,-0.26
agadaptpolicy,0,0,0.07,0,0.18,0,0,0.21
climatesma,0,0,0.0,0,0.0,0,0,0.0
disman,0,0,0.0,0,0.0,0,0,0.0
Nindex,0,0,0.17,0,0.18,0,0,0.37
RND,0,0,-0.13,0,0.37,0,0,0.44
mobile,0,0,-0.45,0,-0.45,0,0,-0.06
transport,0,0,0.56,0,0.47,0,0,-0.32
storage,0,0,-0.56,0,-0.47,0,0,0.32
