index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.36,-0.19,-0.74,-0.45,0.47,0,0,0.25
natural,0.29,-0.27,-0.79,-0.11,0.48,0,0,0.46
human,-0.3,-0.15,0.6,0.08,-0.43,0,0,-0.45
social,0.39,-0.29,-0.48,-0.08,0.6,0,0,0.34
financial,0.13,0.15,-0.68,-0.5,-0.09,0,0,0.21
manufactured,-0.24,0.32,0.3,-0.34,-0.22,0,0,-0.53
BDH.new,-0.13,-0.28,0.73,0.61,-0.3,0,0,-0.19
ECS,0.29,-0.25,-0.78,-0.11,0.5,0,0,0.46
Sealevel,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Forest,-0.0,0.0,-0.0,0.0,0.0,0,0,0.0
Land,0.0,0.0,0.0,0.0,0.0,0,0,0.0
energy,0.33,-0.38,-0.63,0.06,0.43,0,0,0.47
Water,-0.4,0.39,0.53,-0.21,-0.46,0,0,-0.6
GHP.new,-0.36,0.32,0.71,-0.04,-0.52,0,0,-0.54
WaterQuant,0.0,0.0,0.0,0.0,0.0,0,0,0.0
WaterQual,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Demographics,0.45,-0.3,-0.41,0.04,0.68,0,0,0.38
literacy,-0.38,-0.21,0.4,0.21,-0.5,0,0,-0.24
HDI,-0.39,0.39,0.5,-0.23,-0.44,0,0,-0.59
labrate,-0.01,0.35,-0.49,-0.44,-0.61,0,0,0.13
agprod,0.36,-0.45,-0.32,0.2,0.61,0,0,0.35
agVol,0.5,-0.28,0.06,0.23,0.53,0,0,0.27
obesity,-0.34,0.21,0.78,0.21,-0.53,0,0,-0.45
foodsafe,-0.62,-0.33,-0.16,0.08,-0.44,0,0,-0.23
drinking,0.47,-0.27,-0.64,-0.09,0.6,0,0,0.47
Micro,0.12,0.28,-0.73,-0.61,0.3,0,0,0.19
Protein,0.31,-0.17,0.29,-0.15,0.18,0,0,-0.14
Diversity,0.5,-0.22,-0.36,-0.19,0.43,0,0,0.19
urbancap,-0.5,0.28,0.64,-0.08,-0.36,0,0,-0.55
safetynet,0.4,-0.39,-0.53,0.21,0.46,0,0,0.6
policyfood,0.4,-0.39,-0.53,0.21,0.46,0,0,0.6
nutritional,0.44,-0.03,-0.13,-0.45,0.28,0,0,-0.19
gender,0.37,-0.36,-0.73,-0.13,0.53,0,0,0.49
political,0.19,-0.34,-0.62,-0.29,0.45,0,0,0.29
corruption,0.12,0.28,-0.73,-0.61,0.3,0,0,0.19
conflict,-0.12,-0.28,0.22,0.19,0.86,0,0,-0.19
perCapita,-0.37,-0.41,-0.07,0.42,0.61,0,0,-0.07
edu,-0.14,-0.53,0.19,0.01,0.18,0,0,-0.14
tariff,0.25,-0.11,-0.85,-0.25,0.46,0,0,0.41
agGDP,-0.35,0.37,0.6,-0.19,-0.36,0,0,-0.53
finance,0.0,0.0,0.0,0.0,0.0,0,0,0.0
priceVol,0.33,0.14,-0.93,-0.42,-0.03,0,0,0.48
foodloss,-0.37,0.41,0.51,-0.23,-0.44,0,0,-0.58
kofgi,0.11,0.14,0.71,0.38,0.02,0,0,-0.05
agadaptpolicy,-0.4,0.39,0.53,-0.21,-0.46,0,0,-0.6
climatesma,0.0,0.0,0.0,0.0,0.0,0,0,0.0
disman,0.0,0.0,0.0,0.0,0.0,0,0,0.0
Nindex,-0.07,-0.34,0.14,-0.29,0.19,0,0,-0.1
RND,0.29,-0.26,0.33,0.63,0.2,0,0,0.32
mobile,0.29,-0.08,-0.56,-0.44,0.65,0,0,0.11
transport,0.4,-0.33,-0.69,-0.01,0.44,0,0,0.49
storage,0.0,0.0,0.0,0.0,0.0,0,0,0.0
