index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,-0.08,0.02,0.37,0,0.0,0,-0.48
natural,0,0.12,-0.29,-0.05,0,0.18,0,0.47
human,0,-0.21,0.12,-0.27,0,-0.97,0,0.29
social,0,-0.05,0.19,0.02,0,0.11,0,-0.66
financial,0,0.14,-0.16,-0.02,0,0.31,0,-0.34
manufactured,0,-0.01,-0.16,0.7,0,0.32,0,-0.32
BDH.new,0,0.08,-0.11,0.71,0,0.17,0,-0.08
ECS,0,-0.06,-0.33,0.02,0,-0.03,0,0.53
Sealevel,0,0.0,0.0,0.0,0,0.0,0,0.0
Forest,0,-0.16,-0.03,-0.36,0,-0.07,0,0.32
Land,0,0.0,0.0,0.0,0,0.0,0,0.0
energy,0,0.34,-0.0,-0.2,0,-0.04,0,-0.33
Water,0,0.11,-0.37,-0.32,0,-0.06,0,0.45
GHP.new,0,-0.02,-0.15,0.19,0,0.31,0,0.32
WaterQuant,0,0.0,0.0,0.0,0,0.0,0,0.0
WaterQual,0,0.0,0.0,0.0,0,0.0,0,0.0
Demographics,0,-0.08,-0.21,0.86,0,0.27,0,0.06
literacy,0,-0.23,0.08,-0.18,0,-1.0,0,0.27
HDI,0,0.14,-0.39,-0.33,0,-0.06,0,0.4
labrate,0,0.49,0.12,-0.39,0,0.29,0,0.14
agprod,0,0.02,0.31,0.0,0,-0.13,0,-0.51
agVol,0,-0.07,0.05,0.5,0,0.21,0,-0.02
obesity,0,-0.02,0.12,-0.11,0,-0.21,0,-0.54
foodsafe,0,-0.16,-0.06,-0.64,0,-0.24,0,0.03
drinking,0,-0.02,0.17,-0.13,0,-0.1,0,-0.64
Micro,0,0.04,0.18,-0.5,0,0.19,0,-0.88
Protein,0,-0.34,0.5,-0.45,0,-0.38,0,-0.09
Diversity,0,-0.36,0.51,-0.5,0,-0.38,0,-0.0
urbancap,0,-0.24,-0.26,0.14,0,0.1,0,0.24
safetynet,0,0.0,0.0,0.0,0,0.0,0,0.0
policyfood,0,-0.1,0.25,-0.23,0,-0.04,0,-0.65
nutritional,0,-0.07,-0.14,0.76,0,0.36,0,-0.27
gender,0,-0.02,-0.07,0.52,0,-0.09,0,-0.23
political,0,0.39,0.3,-0.13,0,0.2,0,-0.37
corruption,0,0.0,0.0,0.0,0,0.0,0,0.0
conflict,0,0.0,0.0,0.0,0,0.0,0,0.0
perCapita,0,-0.59,0.02,0.62,0,-0.2,0,0.06
edu,0,-0.62,0.02,-0.12,0,0.28,0,-0.38
tariff,0,0.1,0.33,0.16,0,-0.07,0,-0.2
agGDP,0,0.04,-0.45,-0.04,0,0.23,0,-0.05
finance,0,0.0,0.0,0.0,0,0.0,0,0.0
priceVol,0,0.5,-0.04,-0.03,0,0.28,0,-0.26
foodloss,0,0.19,-0.5,-0.12,0,-0.33,0,0.51
kofgi,0,0.12,-0.32,0.6,0,0.1,0,0.42
agadaptpolicy,0,0.0,0.0,0.0,0,0.0,0,0.0
climatesma,0,0.0,0.0,0.0,0,0.0,0,0.0
disman,0,0.17,-0.27,0.51,0,0.19,0,-0.35
Nindex,0,0.18,-0.24,-0.0,0,0.19,0,0.35
RND,0,-0.05,0.38,-0.51,0,-0.49,0,0.04
mobile,0,-0.08,0.05,0.46,0,0.29,0,-0.43
transport,0,0.0,0.0,0.0,0,0.0,0,0.0
storage,0,-0.07,-0.14,0.76,0,0.36,0,-0.27
