index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.41,0.19,-0.65,-0.12,-0.14,0.37,0,0.01
natural,0.23,0.27,-0.31,0.72,-0.08,0.29,0,0.57
human,0.75,0.18,0.25,-0.33,0.38,-0.55,0,0.09
social,0.09,0.01,-0.84,0.06,-0.4,0.72,0,-0.12
financial,-0.47,-0.24,0.01,-0.25,0.18,0.44,0,-0.83
manufactured,0.12,0.23,-0.76,0.09,-0.36,0.47,0,0.29
BDH.new,-0.31,0.48,0.58,0.78,0.36,-0.28,0,0.51
ECS,0.19,0.08,0.66,0.33,0.49,-0.49,0,-0.01
Sealevel,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Forest,0.08,-0.07,-0.8,-0.17,-0.55,0.57,0,0.09
Land,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
energy,-0.1,0.09,-0.71,-0.12,-0.42,0.55,0,0.21
Water,0.11,-0.13,0.6,0.11,0.38,-0.49,0,-0.21
GHP.new,-0.04,0.14,0.65,0.4,0.55,-0.42,0,0.06
WaterQuant,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
WaterQual,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
Demographics,0.12,-0.21,-0.77,-0.4,-0.57,0.49,0,-0.1
literacy,0.72,0.26,0.2,-0.35,0.43,-0.45,0,0.07
HDI,0.14,-0.16,0.56,0.08,0.35,-0.49,0,-0.24
labrate,0.14,-0.27,0.57,-0.17,0.32,-0.66,0,-0.11
agprod,-0.14,0.49,-0.42,0.59,-0.05,0.55,0,0.2
agVol,-0.15,-0.48,-0.07,-0.45,-0.5,-0.03,0,-0.23
obesity,-0.27,0.42,0.62,0.63,0.57,-0.29,0,0.34
foodsafe,0.28,-0.36,-0.06,0.06,-0.64,-0.4,0,0.58
drinking,0.07,-0.08,-0.77,-0.28,-0.52,0.52,0,0.07
Micro,0.18,-0.21,-0.33,-0.88,0.04,0.22,0,-0.61
Protein,0.0,0.0,0.74,0.0,0.24,-0.67,0,-0.38
Diversity,-0.0,0.0,-0.74,0.0,-0.24,0.67,0,0.38
urbancap,0.22,-0.02,0.54,0.19,0.52,-0.4,0,-0.11
safetynet,0.35,0.21,-0.37,-0.18,-0.16,-0.22,0,0.61
policyfood,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
nutritional,0.27,-0.63,-0.76,-0.53,-0.7,0.34,0,-0.29
gender,0.17,-0.16,-0.68,-0.3,-0.56,0.47,0,-0.02
political,-0.13,0.05,-0.51,-0.25,-0.44,0.32,0,0.23
corruption,-0.18,0.21,-0.54,0.35,-0.16,0.78,0,-0.24
conflict,-0.18,0.21,-0.54,0.35,-0.16,0.78,0,-0.24
perCapita,-0.04,0.17,-0.61,0.3,-0.37,0.7,0,-0.15
edu,0.5,-0.6,-0.4,-0.37,-0.0,0.23,0,-0.23
tariff,-0.2,0.35,0.33,0.9,-0.0,-0.22,0,0.63
agGDP,-0.26,0.23,0.64,0.32,0.7,-0.25,0,-0.09
finance,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
priceVol,-0.7,0.02,0.11,-0.22,0.13,0.37,0,-0.73
foodloss,0.26,-0.57,-0.32,-0.63,-0.62,-0.03,0,-0.3
kofgi,-0.12,-0.02,-0.58,-0.23,-0.44,0.48,0,0.12
agadaptpolicy,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
climatesma,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
disman,0.15,0.31,-0.68,0.12,-0.24,0.39,0,0.31
Nindex,-0.1,0.45,0.47,0.8,0.08,-0.27,0,0.58
RND,0.19,-0.52,-0.13,0.38,-0.61,-0.2,0,0.54
mobile,-0.06,-0.13,-0.73,-0.36,-0.44,0.64,0,-0.29
transport,-0.27,0.63,0.76,0.53,0.7,-0.34,0,0.29
storage,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0
