index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,-0.38,0,-0.52,0,0.23,0,-0.24,-0.41
natural,0.71,0,0.8,0,-0.51,0,0.21,0.41
human,-0.14,0,-0.13,0,-0.17,0,-0.24,-0.28
social,-0.15,0,-0.43,0,0.52,0,-0.34,-0.18
financial,-0.11,0,0.04,0,0.21,0,-0.14,0.07
manufactured,-0.44,0,-0.62,0,0.21,0,-0.14,-0.46
BDH.new,0.88,0,0.9,0,-0.18,0,-0.04,0.35
ECS,0.72,0,0.78,0,-0.22,0,0.15,0.47
Sealevel,0.0,0,0.0,0,0.0,0,0.0,0.0
Forest,0.48,0,0.52,0,-0.18,0,0.14,0.48
Land,0.0,0,0.0,0,0.0,0,0.0,0.0
energy,0.38,0,0.4,0,-0.1,0,-0.51,-0.1
Water,0.32,0,0.34,0,-0.4,0,0.31,0.32
GHP.new,-0.73,0,-0.86,0,0.07,0,0.34,-0.49
WaterQuant,0.0,0,0.0,0,0.0,0,0.0,0.0
WaterQual,0.0,0,0.0,0,0.0,0,0.0,0.0
Demographics,-0.49,0,-0.51,0,0.13,0,-0.2,-0.4
literacy,-0.13,0,-0.16,0,-0.12,0,-0.18,-0.12
HDI,0.26,0,0.27,0,-0.4,0,0.31,0.28
labrate,-0.17,0,-0.25,0,0.1,0,0.01,0.13
agprod,-0.53,0,-0.62,0,0.15,0,-0.11,-0.53
agVol,-0.0,0,0.05,0,-0.15,0,-0.19,-0.31
obesity,-0.45,0,-0.45,0,0.36,0,-0.29,-0.29
foodsafe,0.17,0,0.33,0,0.07,0,-0.58,0.19
drinking,-0.61,0,-0.62,0,0.24,0,-0.23,-0.4
Micro,-1.0,0,-0.77,0,0.12,0,-0.05,0.12
Protein,-0.25,0,-0.17,0,-0.25,0,-0.2,-0.25
Diversity,-0.19,0,-0.33,0,-0.19,0,0.59,-0.19
urbancap,-0.31,0,-0.48,0,0.31,0,-0.02,-0.57
safetynet,0.0,0,0.0,0,0.0,0,0.0,0.0
policyfood,0.13,0,-0.25,0,0.12,0,-0.05,0.12
nutritional,-0.32,0,-0.34,0,0.4,0,-0.31,-0.32
gender,-0.51,0,-0.54,0,0.18,0,-0.16,-0.41
political,0.29,0,0.52,0,0.29,0,-0.25,0.29
corruption,0.0,0,0.0,0,0.0,0,0.0,0.0
conflict,0.0,0,0.0,0,0.0,0,0.0,0.0
perCapita,0.57,0,0.59,0,-0.17,0,-0.29,0.42
edu,0.39,0,-0.02,0,0.28,0,0.08,-0.51
tariff,-0.72,0,-0.84,0,0.19,0,-0.1,-0.45
agGDP,-0.65,0,-0.66,0,-0.22,0,0.33,-0.13
finance,0.0,0,0.0,0,0.0,0,0.0,0.0
priceVol,-0.24,0,0.09,0,0.1,0,-0.14,0.27
foodloss,0.29,0,0.43,0,0.11,0,0.04,0.62
kofgi,-0.71,0,-0.67,0,0.24,0,0.03,-0.21
agadaptpolicy,-0.12,0,-0.34,0,-0.12,0,-0.18,-0.12
climatesma,0.0,0,0.0,0,0.0,0,0.0,0.0
disman,-0.5,0,-0.65,0,0.25,0,0.2,-0.5
Nindex,-0.89,0,-0.89,0,0.16,0,0.02,-0.33
RND,0.49,0,0.31,0,-0.49,0,0.57,-0.02
mobile,0.18,0,-0.22,0,0.18,0,0.26,-0.81
transport,-0.32,0,-0.5,0,0.11,0,-0.36,-0.32
storage,-0.4,0,-0.47,0,0.32,0,-0.42,-0.4
