index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,0,0.42,0.28,0,0,0,-0.47
natural,0,0,-0.15,-0.27,0,0,0,0.73
human,0,0,0.31,-0.24,0,0,0,-0.02
social,0,0,0.0,0.55,0,0,0,-0.17
financial,0,0,0.11,-0.32,0,0,0,0.47
manufactured,0,0,0.36,0.28,0,0,0,-0.75
BDH.new,0,0,0.16,0.11,0,0,0,-0.71
ECS,0,0,-0.18,-0.28,0,0,0,0.75
Sealevel,0,0,0.0,0.0,0,0,0,0.0
Forest,0,0,0.0,0.0,0,0,0,0.0
Land,0,0,0.0,0.0,0,0,0,0.0
energy,0,0,-0.17,0.29,0,0,0,-0.48
Water,0,0,-0.09,0.4,0,0,0,-0.48
GHP.new,0,0,0.59,0.24,0,0,0,-0.38
WaterQuant,0,0,0.0,0.0,0,0,0,0.0
WaterQual,0,0,0.0,0.0,0,0,0,0.0
Demographics,0,0,0.09,0.1,0,0,0,-0.6
literacy,0,0,-0.18,-0.12,0,0,0,-0.19
HDI,0,0,0.1,-0.4,0,0,0,0.47
labrate,0,0,-0.12,0.04,0,0,0,0.56
agprod,0,0,0.32,0.13,0,0,0,-0.41
agVol,0,0,0.3,0.05,0,0,0,-0.38
obesity,0,0,-0.11,-0.23,0,0,0,0.67
foodsafe,0,0,-0.33,-0.27,0,0,0,0.63
drinking,0,0,0.13,0.17,0,0,0,-0.66
Micro,0,0,0.18,0.13,0,0,0,-0.7
Protein,0,0,0.33,0.18,0,0,0,-0.75
Diversity,0,0,0.07,-0.08,0,0,0,0.52
urbancap,0,0,-0.46,0.1,0,0,0,0.05
safetynet,0,0,0.27,0.19,0,0,0,-0.39
policyfood,0,0,-0.02,0.25,0,0,0,0.38
nutritional,0,0,-0.28,0.54,0,0,0,-0.03
gender,0,0,0.11,0.12,0,0,0,-0.65
political,0,0,0.25,0.18,0,0,0,-0.95
corruption,0,0,0.27,0.19,0,0,0,-0.39
conflict,0,0,0.0,0.0,0,0,0,0.0
perCapita,0,0,-0.16,-0.35,0,0,0,0.29
edu,0,0,0.08,-0.47,0,0,0,0.52
tariff,0,0,0.18,0.13,0,0,0,0.19
agGDP,0,0,0.26,0.18,0,0,0,-0.56
finance,0,0,0.0,0.0,0,0,0,0.0
priceVol,0,0,0.09,-0.17,0,0,0,0.37
foodloss,0,0,0.0,0.0,0,0,0,0.0
kofgi,0,0,-0.07,-0.18,0,0,0,0.6
agadaptpolicy,0,0,0.45,0.32,0,0,0,-0.6
climatesma,0,0,0.0,0.0,0,0,0,0.0
disman,0,0,0.0,0.0,0,0,0,0.0
Nindex,0,0,0.2,0.14,0,0,0,-0.68
RND,0,0,0.09,-0.4,0,0,0,0.48
mobile,0,0,0.15,0.26,0,0,0,-0.7
transport,0,0,-0.18,-0.13,0,0,0,-0.19
storage,0,0,0.36,0.25,0,0,0,-0.75
