index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0.31,-0.16,0.28,0,0.14,0,0.21,0
natural,0.34,0.11,0.2,0,0.14,0,0.24,0
human,0.63,0.2,0.13,0,0.03,0,0.28,0
social,0.33,0.1,-0.27,0,0.16,0,0.36,0
financial,-0.52,0.04,0.46,0,-0.36,0,-0.57,0
manufactured,-0.01,-0.31,0.24,0,0.13,0,0.05,0
BDH.new,0.33,0.12,0.2,0,0.1,0,0.2,0
ECS,-0.05,0.4,-0.27,0,-0.18,0,-0.13,0
Sealevel,0.0,0.0,0.0,0,0.0,0,0.0,0
Forest,0.0,0.0,-0.0,0,-0.0,0,-0.0,0
Land,0.0,0.0,0.0,0,0.0,0,0.0,0
energy,-0.44,0.04,-0.04,0,-0.09,0,-0.19,0
Water,-0.3,0.32,-0.14,0,-0.47,0,-0.4,0
GHP.new,0.36,-0.62,0.06,0,0.4,0,0.35,0
WaterQuant,0.0,0.0,0.0,0,0.0,0,0.0,0
WaterQual,0.0,0.0,0.0,0,0.0,0,0.0,0
Demographics,0.21,-0.3,0.21,0,0.21,0,0.16,0
literacy,0.48,0.34,0.42,0,0.09,0,0.21,0
HDI,-0.27,0.33,-0.14,0,-0.48,0,-0.39,0
labrate,0.51,0.01,0.18,0,0.1,0,0.36,0
agprod,-0.03,0.41,-0.26,0,-0.24,0,-0.15,0
agVol,0.42,-0.17,-0.42,0,0.01,0,0.24,0
obesity,-0.19,-0.29,0.33,0,0.03,0,-0.15,0
foodsafe,0.28,-0.29,-0.17,0,0.16,0,0.25,0
drinking,0.24,-0.26,0.21,0,0.2,0,0.18,0
Micro,0.22,0.12,-0.06,0,0.1,0,0.12,0
Protein,-0.56,0.36,0.33,0,-0.33,0,-0.45,0
Diversity,0.14,-0.19,-0.13,0,-0.33,0,-0.19,0
urbancap,-0.3,0.22,-0.08,0,-0.19,0,-0.38,0
safetynet,0.22,0.12,0.16,0,-0.13,0,0.13,0
policyfood,0.23,0.25,-0.5,0,0.05,0,0.25,0
nutritional,0.21,-0.25,0.15,0,0.3,0,0.29,0
gender,0.26,-0.23,0.19,0,0.19,0,0.16,0
political,-0.22,-0.13,0.06,0,-0.1,0,-0.13,0
corruption,0.0,0.0,0.0,0,0.0,0,0.0,0
conflict,0.0,0.0,0.0,0,0.0,0,0.0,0
perCapita,-0.24,-0.2,-0.32,0,0.16,0,-0.06,0
edu,0.42,-0.28,-0.0,0,0.63,0,0.49,0
tariff,0.18,0.29,-0.35,0,0.03,0,0.09,0
agGDP,0.09,0.2,-0.48,0,0.36,0,0.33,0
finance,0.0,0.0,0.0,0,0.0,0,0.0,0
priceVol,-0.68,0.11,0.57,0,-0.63,0,-0.75,0
foodloss,-0.27,0.32,-0.12,0,-0.48,0,-0.42,0
kofgi,0.26,0.63,-0.17,0,0.06,0,0.24,0
agadaptpolicy,-0.23,-0.25,0.26,0,-0.13,0,-0.25,0
climatesma,0.0,0.0,0.0,0,0.0,0,0.0,0
disman,0.16,-0.4,0.22,0,0.34,0,0.32,0
Nindex,-0.37,0.88,0.1,0,-0.25,0,-0.21,0
RND,-0.19,0.13,-0.34,0,0.04,0,-0.15,0
mobile,0.39,-0.17,0.07,0,0.24,0,0.27,0
transport,0.0,0.0,0.0,0,0.0,0,0.0,0
storage,0.0,0.0,0.0,0,0.0,0,0.0,0
