index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,0.35,0.2,0,0.05,0,0.14,-0.25
natural,0,-0.33,-0.06,0,-0.13,0,-0.22,0.06
human,0,-0.24,0.53,0,0.53,0,0.52,-0.24
social,0,0.44,-0.03,0,-0.1,0,0.03,-0.35
financial,0,0.1,0.42,0,-0.05,0,-0.01,0.24
manufactured,0,0.46,0.1,0,0.04,0,0.13,-0.33
BDH.new,0,-0.0,0.51,0,0.59,0,0.57,-0.11
ECS,0,-0.0,-0.34,0,-0.47,0,-0.44,0.35
Sealevel,0,0.0,0.0,0,0.0,0,0.0,0.0
Forest,0,-0.27,-0.01,0,-0.17,0,-0.22,0.25
Land,0,0.0,0.0,0,0.0,0,0.0,0.0
energy,0,-0.31,0.3,0,0.43,0,0.38,-0.58
Water,0,0.24,-0.32,0,-0.33,0,-0.4,0.32
GHP.new,0,0.02,-0.23,0,-0.29,0,-0.37,0.28
WaterQuant,0,0.0,0.0,0,0.0,0,0.0,0.0
WaterQual,0,0.0,0.0,0,0.0,0,0.0,0.0
Demographics,0,0.15,0.31,0,0.21,0,0.37,-0.03
literacy,0,0.0,0.0,0,0.0,0,0.0,0.0
HDI,0,0.3,-0.28,0,-0.35,0,-0.38,0.38
labrate,0,0.19,0.24,0,0.0,0,0.26,0.03
agprod,0,-0.03,0.5,0,0.37,0,0.42,-0.16
agVol,0,-0.53,0.46,0,0.76,0,0.55,-0.16
obesity,0,0.62,-0.23,0,-0.62,0,-0.31,0.31
foodsafe,0,-0.12,0.51,0,0.43,0,0.36,-0.14
drinking,0,-0.1,0.44,0,0.56,0,0.53,-0.34
Micro,0,0.15,0.16,0,-0.29,0,0.13,0.13
Protein,0,-0.57,0.4,0,0.53,0,0.38,-0.47
Diversity,0,0.23,0.24,0,-0.0,0,0.19,0.19
urbancap,0,-0.54,0.03,0,-0.31,0,-0.33,0.33
safetynet,0,0.0,0.0,0,0.0,0,0.0,0.0
policyfood,0,0.0,0.0,0,0.0,0,0.0,0.0
nutritional,0,0.6,-0.31,0,-0.43,0,-0.25,-0.25
gender,0,0.08,0.44,0,0.35,0,0.4,-0.17
political,0,-0.75,-0.0,0,-0.16,0,0.0,0.0
corruption,0,0.0,0.0,0,0.0,0,0.0,0.0
conflict,0,0.38,0.22,0,0.3,0,0.32,-0.4
perCapita,0,-0.04,0.86,0,0.33,0,-0.12,-0.07
edu,0,0.04,-0.13,0,0.02,0,-0.02,-0.02
tariff,0,0.0,0.0,0,0.0,0,0.0,0.0
agGDP,0,-0.17,-0.17,0,-0.31,0,-0.42,0.03
finance,0,0.0,0.0,0,0.0,0,0.0,0.0
priceVol,0,0.15,0.45,0,-0.16,0,-0.03,0.35
foodloss,0,-0.17,0.21,0,0.14,0,0.44,0.05
kofgi,0,-0.02,0.47,0,0.37,0,0.48,-0.15
agadaptpolicy,0,0.0,0.0,0,0.0,0,0.0,0.0
climatesma,0,0.0,0.0,0,0.0,0,0.0,0.0
disman,0,0.38,0.22,0,0.3,0,0.32,-0.4
Nindex,0,0.12,0.17,0,-0.31,0,0.1,0.1
RND,0,0.23,-0.57,0,-0.85,0,-0.7,0.19
mobile,0,-0.03,0.56,0,0.48,0,0.42,-0.23
transport,0,0.3,0.13,0,0.12,0,0.25,0.25
storage,0,0.0,0.0,0,0.0,0,0.0,0.0
