index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,-0.21,0,0.19,0,0,0,0,0.29
natural,-0.29,0,0.19,0,0,0,0,0.22
human,0.14,0,-0.33,0,0,0,0,-0.4
social,0.09,0,0.16,0,0,0,0,0.14
financial,0.32,0,-0.56,0,0,0,0,0.47
manufactured,-0.36,0,0.35,0,0,0,0,0.27
BDH.new,0.0,0,0.0,0,0,0,0,0.0
ECS,-0.2,0,0.14,0,0,0,0,0.12
Sealevel,0.0,0,0.0,0,0,0,0,0.0
Forest,-0.22,0,-0.03,0,0,0,0,0.07
Land,0.0,0,0.0,0,0,0,0,0.0
energy,-0.07,0,0.21,0,0,0,0,0.19
Water,-0.32,0,0.33,0,0,0,0,0.32
GHP.new,0.09,0,0.14,0,0,0,0,0.07
WaterQuant,0.0,0,0.0,0,0,0,0,0.0
WaterQual,0.0,0,0.0,0,0,0,0,0.0
Demographics,-0.4,0,0.28,0,0,0,0,0.25
literacy,-0.13,0,-0.19,0,0,0,0,-0.21
HDI,0.33,0,-0.34,0,0,0,0,-0.31
labrate,0.21,0,-0.73,0,0,0,0,-0.05
agprod,0.27,0,-0.06,0,0,0,0,0.24
agVol,-0.17,0,-0.12,0,0,0,0,0.14
obesity,-0.07,0,-0.24,0,0,0,0,0.01
foodsafe,-0.12,0,0.38,0,0,0,0,-0.22
drinking,-0.15,0,0.41,0,0,0,0,0.03
Micro,0.13,0,0.19,0,0,0,0,-0.24
Protein,0.18,0,0.05,0,0,0,0,-0.02
Diversity,0.08,0,-0.2,0,0,0,0,-0.21
urbancap,0.09,0,0.14,0,0,0,0,-0.32
safetynet,0.0,0,0.0,0,0,0,0,0.0
policyfood,0.25,0,0.09,0,0,0,0,0.13
nutritional,0.0,0,0.0,0,0,0,0,0.0
gender,-0.18,0,0.43,0,0,0,0,0.1
political,0.21,0,-0.47,0,0,0,0,0.25
corruption,0.0,0,0.0,0,0,0,0,0.0
conflict,-0.4,0,0.28,0,0,0,0,0.25
perCapita,0.48,0,-0.39,0,0,0,0,-0.03
edu,0.86,0,-0.37,0,0,0,0,0.23
tariff,0.13,0,0.19,0,0,0,0,-0.24
agGDP,0.22,0,-0.3,0,0,0,0,-0.25
finance,0.0,0,0.0,0,0,0,0,0.0
priceVol,-0.19,0,-0.26,0,0,0,0,0.67
foodloss,-0.32,0,0.12,0,0,0,0,0.54
kofgi,-0.4,0,0.53,0,0,0,0,0.06
agadaptpolicy,-0.4,0,0.28,0,0,0,0,0.25
climatesma,0.0,0,0.0,0,0,0,0,0.0
disman,-0.13,0,0.93,0,0,0,0,-0.21
Nindex,0.0,0,0.0,0,0,0,0,0.0
RND,0.0,0,0.0,0,0,0,0,0.0
mobile,0.24,0,0.13,0,0,0,0,-0.28
transport,0.0,0,0.0,0,0,0,0,0.0
storage,-0.32,0,0.33,0,0,0,0,0.32
