index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,0.53,0.35,0,0.3,0,0,0.34
natural,0,0.1,-0.49,0,0.03,0,0,-0.34
human,0,-0.05,-0.07,0,0.17,0,0,0.52
social,0,0.41,0.33,0,0.22,0,0,-0.4
financial,0,0.23,0.64,0,0.44,0,0,-0.06
manufactured,0,0.7,0.09,0,0.05,0,0,0.54
BDH.new,0,-0.25,0.15,0,0.52,0,0,-0.2
ECS,0,-0.02,-0.68,0,-0.25,0,0,0.15
Sealevel,0,0.0,0.0,0,0.0,0,0,0.0
Forest,0,0.18,-0.27,0,-0.32,0,0,0.15
Land,0,0.0,0.0,0,-0.0,0,0,-0.0
energy,0,0.11,-0.38,0,0.15,0,0,-0.2
Water,0,0.32,-0.21,0,-0.33,0,0,0.28
GHP.new,0,-0.04,0.33,0,0.26,0,0,-0.4
WaterQuant,0,0.0,0.0,0,0.0,0,0,0.0
WaterQual,0,0.0,0.0,0,0.0,0,0,0.0
Demographics,0,-0.12,0.34,0,0.39,0,0,-0.28
literacy,0,-0.19,-0.36,0,-0.06,0,0,0.66
HDI,0,0.35,-0.19,0,-0.33,0,0,0.3
labrate,0,-0.24,-0.13,0,-0.34,0,0,-0.82
agprod,0,-0.02,0.46,0,0.35,0,0,-0.11
agVol,0,-0.12,0.26,0,0.33,0,0,-0.32
obesity,0,0.01,-0.39,0,-0.42,0,0,0.14
foodsafe,0,0.36,0.34,0,0.08,0,0,-0.28
drinking,0,-0.01,0.41,0,0.44,0,0,-0.12
Micro,0,0.12,0.24,0,0.15,0,0,0.14
Protein,0,-0.25,0.38,0,0.45,0,0,-0.21
Diversity,0,0.12,0.24,0,0.15,0,0,0.14
urbancap,0,0.29,-0.09,0,-0.25,0,0,0.46
safetynet,0,0.32,0.33,0,0.24,0,0,-0.37
policyfood,0,0.0,0.0,0,0.0,0,0,0.0
nutritional,0,0.0,0.0,0,0.0,0,0,0.0
gender,0,0.05,0.38,0,0.36,0,0,-0.04
political,0,-0.12,-0.24,0,-0.15,0,0,-0.14
corruption,0,0.0,0.0,0,0.0,0,0,0.0
conflict,0,0.0,0.0,0,0.0,0,0,0.0
perCapita,0,-0.09,0.19,0,-0.11,0,0,-0.13
edu,0,0.37,-0.33,0,-0.61,0,0,-0.07
tariff,0,0.06,-0.32,0,-0.42,0,0,0.1
agGDP,0,-0.09,-0.41,0,-0.36,0,0,-0.33
finance,0,-0.19,0.29,0,0.63,0,0,-0.13
priceVol,0,0.09,0.65,0,0.44,0,0,0.16
foodloss,0,-0.23,0.09,0,0.33,0,0,-0.41
kofgi,0,-0.15,-0.26,0,-0.23,0,0,0.27
agadaptpolicy,0,0.32,-0.21,0,-0.33,0,0,0.28
climatesma,0,0.0,0.0,0,0.0,0,0,0.0
disman,0,0.13,0.36,0,0.39,0,0,-0.34
Nindex,0,0.17,0.64,0,0.2,0,0,0.18
RND,0,0.13,-0.44,0,-0.14,0,0,-0.14
mobile,0,-0.04,0.31,0,0.22,0,0,-0.26
transport,0,0.0,0.0,0,0.0,0,0,0.0
storage,0,0.25,0.19,0,0.3,0,0,0.27
