index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,0,0.32,0,0,0,0,-0.01
natural,0,0,-0.1,0,0,0,0,0.4
human,0,0,-0.18,0,0,0,0,0.73
social,0,0,-0.2,0,0,0,0,0.35
financial,0,0,0.43,0,0,0,0,-0.28
manufactured,0,0,0.28,0,0,0,0,-0.15
BDH.new,0,0,-0.15,0,0,0,0,-0.18
ECS,0,0,-0.48,0,0,0,0,0.45
Sealevel,0,0,0.0,0,0,0,0,0.0
Forest,0,0,0.15,0,0,0,0,0.18
Land,0,0,0.0,0,0,0,0,0.0
energy,0,0,0.35,0,0,0,0,-0.04
Water,0,0,-0.49,0,0,0,0,0.45
GHP.new,0,0,-0.24,0,0,0,0,-0.23
WaterQuant,0,0,0.0,0,0,0,0,0.0
WaterQual,0,0,0.0,0,0,0,0,0.0
Demographics,0,0,0.48,0,0,0,0,-0.31
literacy,0,0,-0.21,0,0,0,0,0.79
HDI,0,0,-0.48,0,0,0,0,0.45
labrate,0,0,-0.79,0,0,0,0,0.24
agprod,0,0,-0.3,0,0,0,0,0.35
agVol,0,0,0.48,0,0,0,0,-0.19
obesity,0,0,-0.41,0,0,0,0,0.3
foodsafe,0,0,0.17,0,0,0,0,-0.21
drinking,0,0,0.5,0,0,0,0,-0.33
Micro,0,0,0.15,0,0,0,0,0.18
Protein,0,0,0.44,0,0,0,0,-0.35
Diversity,0,0,0.6,0,0,0,0,-0.24
urbancap,0,0,-0.64,0,0,0,0,0.44
safetynet,0,0,0.0,0,0,0,0,0.0
policyfood,0,0,0.15,0,0,0,0,0.18
nutritional,0,0,-0.62,0,0,0,0,0.27
gender,0,0,0.41,0,0,0,0,-0.19
political,0,0,-0.05,0,0,0,0,0.3
corruption,0,0,0.23,0,0,0,0,-0.13
conflict,0,0,0.0,0,0,0,0,0.0
perCapita,0,0,0.85,0,0,0,0,-0.47
edu,0,0,0.19,0,0,0,0,-0.25
tariff,0,0,-0.39,0,0,0,0,0.56
agGDP,0,0,-0.36,0,0,0,0,0.2
finance,0,0,0.62,0,0,0,0,-0.27
priceVol,0,0,0.23,0,0,0,0,0.11
foodloss,0,0,0.26,0,0,0,0,-0.44
kofgi,0,0,-0.14,0,0,0,0,0.33
agadaptpolicy,0,0,0.23,0,0,0,0,-0.13
climatesma,0,0,0.0,0,0,0,0,0.0
disman,0,0,0.0,0,0,0,0,0.0
Nindex,0,0,0.26,0,0,0,0,-0.04
RND,0,0,0.04,0,0,0,0,-0.04
mobile,0,0,0.45,0,0,0,0,-0.24
transport,0,0,0.0,0,0,0,0,0.0
storage,0,0,0.0,0,0,0,0,0.0
