index,Drought,Earthquake,Flood,Landslide,Storm,Volcanic activity,Wildfire,Economic Crises
Score,0,-0.1,-0.14,-0.39,0.36,0,0,0
natural,0,-0.63,-0.74,-0.34,0.09,0,0,0
human,0,-0.59,-0.48,-0.85,0.11,0,0,0
social,0,-0.4,-0.3,-0.61,-0.15,0,0,0
financial,0,-0.68,-0.74,-0.43,0.21,0,0,0
manufactured,0,0.5,0.43,0.43,0.14,0,0,0
BDH.new,0,-0.2,-0.15,-0.08,-0.21,0,0,0
ECS,0,-0.5,-0.5,-0.43,-0.13,0,0,0
Sealevel,0,0.0,0.0,0.0,0.0,0,0,0
Forest,0,-0.2,-0.23,-0.08,0.32,0,0,0
Land,0,0.0,0.0,0.0,0.0,0,0,0
energy,0,-0.37,-0.55,-0.15,0.43,0,0,0
Water,0,0.0,0.0,0.0,0.0,0,0,0
GHP.new,0,-0.38,-0.32,-0.16,-0.41,0,0,0
WaterQuant,0,0.0,0.0,0.0,0.0,0,0,0
WaterQual,0,0.0,0.0,0.0,0.0,0,0,0
Demographics,0,0.68,0.64,0.52,0.19,0,0,0
literacy,0,-0.65,-0.54,-0.82,0.07,0,0,0
HDI,0,-0.42,-0.36,-0.4,-0.46,0,0,0
labrate,0,-0.12,-0.17,-0.1,0.34,0,0,0
agprod,0,0.0,0.0,0.0,0.0,0,0,0
agVol,0,-0.25,-0.15,-0.38,-0.39,0,0,0
obesity,0,0.56,0.6,0.47,-0.09,0,0,0
foodsafe,0,-0.65,-0.73,-0.2,0.04,0,0,0
drinking,0,0.46,0.43,0.34,0.22,0,0,0
Micro,0,0.14,0.05,0.23,0.15,0,0,0
Protein,0,0.56,0.55,0.57,-0.16,0,0,0
Diversity,0,0.47,0.43,0.3,0.33,0,0,0
urbancap,0,0.26,0.24,0.36,-0.21,0,0,0
safetynet,0,-0.99,-0.93,-0.8,-0.06,0,0,0
policyfood,0,0.14,0.22,-0.29,0.15,0,0,0
nutritional,0,-0.28,-0.18,-0.44,-0.3,0,0,0
gender,0,0.55,0.5,0.44,0.28,0,0,0
political,0,-0.56,-0.59,-0.46,-0.07,0,0,0
corruption,0,0.0,0.0,0.0,0.0,0,0,0
conflict,0,0.0,0.0,0.0,0.0,0,0,0
perCapita,0,0.28,0.26,0.22,0.0,0,0,0
edu,0,-0.19,-0.19,0.15,-0.54,0,0,0
tariff,0,0.0,0.0,0.0,0.0,0,0,0
agGDP,0,-0.11,-0.03,-0.08,-0.44,0,0,0
finance,0,0.0,0.0,0.0,0.0,0,0,0
priceVol,0,-0.71,-0.77,-0.53,0.33,0,0,0
foodloss,0,0.37,0.29,0.39,0.59,0,0,0
kofgi,0,0.06,0.11,-0.35,0.15,0,0,0
agadaptpolicy,0,0.0,0.0,0.0,0.0,0,0,0
climatesma,0,0.0,0.0,0.0,0.0,0,0,0
disman,0,0.56,0.55,0.57,-0.16,0,0,0
Nindex,0,0.27,0.34,0.02,0.29,0,0,0
RND,0,0.22,0.2,0.07,0.12,0,0,0
mobile,0,0.56,0.51,0.39,0.25,0,0,0
transport,0,0.28,0.33,0.11,0.3,0,0,0
storage,0,0.36,0.24,0.25,0.38,0,0,0
