Country,Year,Value,Indicator
American Samoa,2000,81.5,Access to drinking water and sanitation
Cook Islands,2000,96.0,Access to drinking water and sanitation
Fiji,2000,94.0,Access to drinking water and sanitation
French Polynesia,2000,99.0,Access to drinking water and sanitation
Guam,2000,94.0,Access to drinking water and sanitation
Kiribati,2000,61.5,Access to drinking water and sanitation
Marshall Islands,2000,,Access to drinking water and sanitation
Micronesia (Federated States of),2000,55.0,Access to drinking water and sanitation
Nauru,2000,80.5,Access to drinking water and sanitation
New Caledonia,2000,97.5,Access to drinking water and sanitation
Niue,2000,99.5,Access to drinking water and sanitation
Northern Mariana Islands,2000,86.0,Access to drinking water and sanitation
Palau,2000,98.0,Access to drinking water and sanitation
Papua New Guinea,2000,70.5,Access to drinking water and sanitation
Samoa,2000,92.5,Access to drinking water and sanitation
Solomon Islands,2000,76.0,Access to drinking water and sanitation
Tokelau,2000,88.0,Access to drinking water and sanitation
Tonga,2000,98.0,Access to drinking water and sanitation
Tuvalu,2000,,Access to drinking water and sanitation
Vanuatu,2000,81.5,Access to drinking water and sanitation
Wallis and Futuna,2000,100.0,Access to drinking water and sanitation
American Samoa,2001,82.0,Access to drinking water and sanitation
Cook Islands,2001,96.5,Access to drinking water and sanitation
Fiji,2001,94.0,Access to drinking water and sanitation
French Polynesia,2001,99.0,Access to drinking water and sanitation
Guam,2001,94.0,Access to drinking water and sanitation
Kiribati,2001,62.5,Access to drinking water and sanitation
Marshall Islands,2001,91.5,Access to drinking water and sanitation
Micronesia (Federated States of),2001,57.5,Access to drinking water and sanitation
Nauru,2001,81.0,Access to drinking water and sanitation
New Caledonia,2001,97.5,Access to drinking water and sanitation
Niue,2001,99.5,Access to drinking water and sanitation
Northern Mariana Islands,2001,86.5,Access to drinking water and sanitation
Palau,2001,98.0,Access to drinking water and sanitation
Papua New Guinea,2001,70.5,Access to drinking water and sanitation
Samoa,2001,92.5,Access to drinking water and sanitation
Solomon Islands,2001,76.0,Access to drinking water and sanitation
Tokelau,2001,88.0,Access to drinking water and sanitation
Tonga,2001,98.0,Access to drinking water and sanitation
Tuvalu,2001,91.0,Access to drinking water and sanitation
Vanuatu,2001,81.5,Access to drinking water and sanitation
Wallis and Futuna,2001,100.0,Access to drinking water and sanitation
American Samoa,2002,82.0,Access to drinking water and sanitation
Cook Islands,2002,96.5,Access to drinking water and sanitation
Fiji,2002,94.0,Access to drinking water and sanitation
French Polynesia,2002,99.0,Access to drinking water and sanitation
Guam,2002,94.0,Access to drinking water and sanitation
Kiribati,2002,63.0,Access to drinking water and sanitation
