Country,Year,Value,Indicator,Color,Baseline,UpDown
American Samoa,2000,81.5,Access to drinking water and sanitation,red,100.0,Up
Cook Islands,2000,96.0,Access to drinking water and sanitation,red,100.0,Up
Fiji,2000,94.0,Access to drinking water and sanitation,red,100.0,Up
French Polynesia,2000,99.0,Access to drinking water and sanitation,red,100.0,Up
Guam,2000,94.0,Access to drinking water and sanitation,red,100.0,Up
Kiribati,2000,61.5,Access to drinking water and sanitation,red,100.0,Up
Marshall Islands,2000,,Access to drinking water and sanitation,gray,100.0,Up
Micronesia (Federated States of),2000,55.0,Access to drinking water and sanitation,red,100.0,Up
Nauru,2000,80.5,Access to drinking water and sanitation,red,100.0,Up
New Caledonia,2000,97.5,Access to drinking water and sanitation,red,100.0,Up
Niue,2000,99.5,Access to drinking water and sanitation,red,100.0,Up
Northern Mariana Islands,2000,86.0,Access to drinking water and sanitation,red,100.0,Up
Palau,2000,98.0,Access to drinking water and sanitation,red,100.0,Up
Papua New Guinea,2000,70.5,Access to drinking water and sanitation,red,100.0,Up
Samoa,2000,92.5,Access to drinking water and sanitation,red,100.0,Up
Solomon Islands,2000,76.0,Access to drinking water and sanitation,red,100.0,Up
Tokelau,2000,88.0,Access to drinking water and sanitation,red,100.0,Up
Tonga,2000,98.0,Access to drinking water and sanitation,red,100.0,Up
Tuvalu,2000,,Access to drinking water and sanitation,gray,100.0,Up
Vanuatu,2000,81.5,Access to drinking water and sanitation,red,100.0,Up
Wallis and Futuna,2000,100.0,Access to drinking water and sanitation,green,100.0,Up
American Samoa,2001,82.0,Access to drinking water and sanitation,red,100.0,Up
Cook Islands,2001,96.5,Access to drinking water and sanitation,red,100.0,Up
Fiji,2001,94.0,Access to drinking water and sanitation,red,100.0,Up
French Polynesia,2001,99.0,Access to drinking water and sanitation,red,100.0,Up
Guam,2001,94.0,Access to drinking water and sanitation,red,100.0,Up
Kiribati,2001,62.5,Access to drinking water and sanitation,red,100.0,Up
Marshall Islands,2001,91.5,Access to drinking water and sanitation,red,100.0,Up
Micronesia (Federated States of),2001,57.5,Access to drinking water and sanitation,red,100.0,Up
Nauru,2001,81.0,Access to drinking water and sanitation,red,100.0,Up
New Caledonia,2001,97.5,Access to drinking water and sanitation,red,100.0,Up
Niue,2001,99.5,Access to drinking water and sanitation,red,100.0,Up
Northern Mariana Islands,2001,86.5,Access to drinking water and sanitation,red,100.0,Up
Palau,2001,98.0,Access to drinking water and sanitation,red,100.0,Up
Papua New Guinea,2001,70.5,Access to drinking water and sanitation,red,100.0,Up
Samoa,2001,92.5,Access to drinking water and sanitation,red,100.0,Up
Solomon Islands,2001,76.0,Access to drinking water and sanitation,red,100.0,Up
Tokelau,2001,88.0,Access to drinking water and sanitation,red,100.0,Up
Tonga,2001,98.0,Access to drinking water and sanitation,red,100.0,Up
Tuvalu,2001,91.0,Access to drinking water and sanitation,red,100.0,Up
