Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
American Samoa,81.5,82.0,82.0,82.0,82.0,82.0,82.0,82.0,82.0,81.5,81.0,80.0,79.5,79.0,79.0,78.5,78.0,77.0,77.0,77.0,77.0
Cook Islands,96.0,96.5,96.5,96.5,97.0,97.0,97.5,97.5,97.5,98.0,98.0,98.0,98.5,98.5,99.0,99.0,99.0,99.5,99.5,99.5,99.5
Fiji,94.0,94.0,94.0,94.5,94.5,94.5,95.0,95.5,95.0,95.5,96.0,96.0,96.5,97.0,97.0,97.5,98.0,98.5,98.5,98.5,98.5
French Polynesia,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5,98.5
Guam,94.0,94.0,94.0,94.0,94.0,94.5,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,100.0,100.0,100.0,100.0
Kiribati,61.5,62.5,63.0,64.0,65.0,65.5,66.5,67.5,68.0,68.5,69.0,69.0,69.5,70.0,70.0,70.0,70.0,70.5,70.5,71.0,71.5
Marshall Islands,,91.5,91.5,91.5,91.5,91.5,91.5,91.5,92.0,92.0,92.0,92.0,92.0,92.0,92.5,92.5,92.5,92.5,92.5,92.5,92.5
Micronesia (Federated States of),55.0,57.5,59.5,61.5,64.0,66.0,68.5,70.5,73.0,75.0,77.0,79.5,82.0,84.0,86.0,88.0,88.0,88.0,88.0,88.0,
Nauru,80.5,81.0,81.0,81.0,81.5,81.5,81.5,82.0,82.0,82.0,82.5,82.5,82.5,83.0,83.0,83.0,83.0,83.0,100.0,100.0,100.0
New Caledonia,97.5,97.5,97.5,97.5,98.0,98.0,98.0,98.0,98.5,98.5,98.5,98.5,98.5,99.0,99.0,99.0,99.0,99.5,99.5,99.5,99.5
Niue,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.5,99.0,98.5,98.5,98.0,98.0,98.0,97.5,97.5,97.0,96.5,96.5,96.5,96.5
Northern Mariana Islands,86.0,86.5,86.5,86.5,87.0,87.0,87.5,87.5,88.0,88.0,88.0,88.5,88.5,89.0,89.0,89.0,89.5,89.5,89.5,89.5,89.5
Palau,98.0,98.0,98.5,98.5,98.5,98.5,98.5,99.0,99.0,99.0,99.0,99.0,99.5,99.5,99.5,99.5,100.0,100.0,100.0,100.0,100.0
Papua New Guinea,70.5,70.5,70.5,70.5,70.5,70.5,69.5,69.5,69.5,69.0,69.0,69.0,68.5,68.5,68.5,68.5,68.0,67.5,68.0,67.5,67.5
Samoa,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,93.0,93.5,93.5,93.5,93.5,93.5,94.0,94.5,94.5,94.5,94.5,94.5
Solomon Islands,76.0,76.0,76.0,76.0,76.0,77.0,77.5,78.5,79.0,79.5,80.5,81.0,82.0,82.5,83.0,84.0,84.5,84.5,84.5,84.5,84.5
Tokelau,88.0,88.0,88.0,88.0,88.0,88.5,89.5,90.0,91.0,92.0,92.5,93.5,94.0,95.0,96.0,96.5,98.0,98.5,98.5,98.5,98.5
Tonga,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.5,98.5,99.0,98.5,98.5,98.5,98.0,98.0,98.0,97.5,97.5,97.5,97.5
Tuvalu,,91.0,91.0,91.0,91.0,91.0,91.0,91.5,92.0,92.0,92.0,92.5,92.5,92.5,92.5,92.5,92.5,92.5,92.5,100.0,100.0
Vanuatu,81.5,81.5,81.5,81.5,81.5,81.5,81.0,81.5,81.5,81.5,82.0,82.0,82.0,81.5,82.0,82.0,82.0,82.5,82.5,82.5,82.5
Wallis and Futuna,100.0,100.0,99.0,99.0,99.0,99.0,99.0,98.5,98.5,98.5,97.5,97.5,97.5,97.0,97.0,97.0,96.5,96.5,96.5,96.0,96.0
