Country,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 Fiji,71.77,73.09,74.4,75.72,77,79.63,80,80.79,82.05,83.31,88.9,86.16,87.13,89.25,90.15,91.07,91.75,93.79,95.17,96.56,96,99.37,99.72,100,,,,,,,,,,,,66.9,71.77,73.09,74.4,75.72,77,79.63,80,80.79,82.05,83.31,88.9,86.16,87.13,89.25,90.15,91.07,91.75,93.79,95.17,96.56,96,99.37,99.72,100
 French Polynesia,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
 Guam,99.88,99.91,99.94,99.97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.88,99.91,99.94,99.97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
 Kiribati,56.92,58.71,60.49,62.27,69.68,68.8,67.61,69.4,64.19,63.17,74.84,76.69,78.93,83.45,90.56,92.8,86.18,88.1,90.03,91.96,,,,,,,,,,,,,,,,,,,,55.12,56.92,58.71,60.49,62.27,69.68,68.8,67.61,69.4,64.19,63.17,74.84,76.69,78.93,83.45,90.56,92.8,86.18,88.1,90.03,91.96
 Marshall Islands,68.48,69.96,71.44,72.92,74.39,75.86,77.33,72.3,80.29,81.78,89.23,89.92,90.56,91.2,91.82,92.53,93.37,94.3,95.92,97.54,99.16,,,,,,,,,,,,,,,,,,68.52,68.48,69.96,71.44,72.92,74.39,75.86,77.33,72.3,80.29,81.78,89.23,89.92,90.56,91.2,91.82,92.53,93.37,94.3,95.92,97.54,99.16
 Micronesia (Federated States of),48.34,50.1,51.86,53.61,55.37,57.12,58.88,60.65,62.43,64.53,66.59,68.43,70.25,72.05,73.94,75.96,77.94,79.7,81.28,82.93,,,,,,,,,,,,,,,,,,,,46,48.34,50.1,51.86,53.61,55.37,57.12,58.88,60.65,62.43,64.53,66.59,68.43,70.25,72.05,73.94,75.96,77.94,79.7,81.28,82.93
 Nauru,99.04,99.08,99.12,99.16,99.2,99.24,99.27,99.3,99.32,99.44,99.42,99.39,99.35,99.32,99.28,99.24,99.8,99.19,99.17,99.17,99,99.22,99.27,99.34,99,99.71,99.87,99.93,100,100,99.04,99.08,99.12,99.16,99.2,99.24,99.27,99.3,99.32,99.44,99.42,99.39,99.35,99.32,99.28,99.24,99.8,99.19,99.17,99.17,99,99.22,99.27,99.34,99,99.71,99.87,99.93,100,100
 New Caledonia,99.88,99.91,99.94,99.97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.88,99.91,99.94,99.97,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
 Northern Mariana Islands,99.88,99.92,99.94,99.97,100,100,100,100,100,100,100,99.99,99.96,99.92,99.88,99.83,100,100,100,100,100,100,100,100,100,100,100,100,100,100,99.88,99.92,99.94,99.97,100,100,100,100,100,100,100,99.99,99.96,99.92,99.88,99.83,100,100,100,100,100,100,100,100,100,100,100,100,100,100
 Palau,96.76,96.9,97.04,97.17,97.3,97.44,97.56,97.69,97.8,98.17,98.23,98.28,98.33,98.37,98.92,98.46,98.51,98.57,98.63,98.71,98.81,97.63,99.05,99.81,99.37,100,100,100,100,100,96.76,96.9,97.04,97.17,97.3,97.44,97.56,97.69,97.8,98.17,98.23,98.28,98.33,98.37,98.92,98.46,98.51,98.57,98.63,98.71,98.81,97.63,99.05,99.81,99.37,100,100,100,100,100
