Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
American Samoa,,,,,,,,,,,,,,,,,,,,
Cook Islands,,,,,,,,,,,,,,,,,,,,
Fiji,73.3,74.3,75,75.7,76.3,75.3,75,73,71.6,70.3,70.3,70,70,70.7,71.7,71.3,73,75,,
French Polynesia,94.7,96.3,97.7,98,97.7,98.3,98.7,99.3,98.3,97.7,97.7,97.7,98,98,97,96,95.3,95.3,,
Kiribati,70.3,71,70.7,72.4,73,73,71,70.7,70.7,72,71.3,70.6,69.7,70.3,71.3,71.7,71,70.3,,
Marshall Islands,,,,,,,,,,,,,,,,,,,,
Micronesia (Federated States of),,,,,,,,,,,,,,,,,,,,
Nauru,,,,,,,,,,,,,,,,,,,,
New Caledonia,80,81.7,81.3,81.3,81,81.7,81.3,82.3,83.4,86,87.7,88.3,88.7,87.3,86.7,85.7,86,86.7,,
Niue,,,,,,,,,,,,,,,,,,,,
Palau,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,,,,,,,,,20.8,41.8,62,62.3,63,64.4,65.3,65,64.3,64,,
Samoa,76.3,77.3,76.7,77,76,76.7,77,78.3,81,82.7,85,85.7,86.3,86.7,87,88,87.7,88,,
Solomon Islands,51,51,52.3,52.7,53.3,53.7,54,54,54.7,55.7,56.7,56.3,56,55.3,55.3,54.3,53.3,52.3,,
Tokelau,,,,,,,,,,,,,,,,,,,,
Tonga,,,,,,,,,,,,,,,,,,,,
Tuvalu,,,,,,,,,,,,,,,,,,,,
Vanuatu,62.3,62.3,63,63.7,64.3,65.7,67,68,67.7,67.3,67,67,67,67,66,65,64,64,,
