Country,2006,2007,2008,2009,2010,2011,2012,2013,2014,2016,2018,2019,2020
Fiji,0.000032,0.000024,0.000386,0.008112,0.00784,0.000324,0.035599,,,0.075881,0.009003,0.000198,0.005618
Kiribati,,,,,,,,,0.001497,,,,0.000154
Marshall Islands,,,0.001007,,,,,,0.002494,0.008842,,,
Micronesia (Federated States of),,,,,,,,,,,0.00049,0.020025,
Palau,,,,,,,0.029145,,,,,,
Papua New Guinea,0.000156,0.010955,0.011788,0.000226,,,0.000051,0.000081,,,,,0.000068
Samoa,,,0.000167,0.04659,,,,,,,,,
Solomon Islands,,,,0.00373,0.006881,0.000124,0.000916,0.009829,,,,,
Tonga,0.000022,,,,0.012747,0.002687,,,0.042194,0.007254,0.017536,,
Vanuatu,,0.000048,0.000157,0.002649,0.004383,0.001856,0.00036,,0.000301,,0.070515,,
