Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
American Samoa,0.945,0.91,0.936666667,0.946666667,0.916,0.98,0.968,0.946,1.025,0.976666667,0.995,
Cook Islands,-0.39,-0.732,-0.756,-0.752,,,,,1.03,1.055,1.015,
Fiji,-0.613333333,-0.518333333,-0.53,-0.508333333,-0.068333333,0.03,0.135,0.29,0.468333333,0.476666667,0.336666667,0.32
Micronesia (Federated States of),0.236666667,0.233333333,0.333333333,0.323333333,0.281666667,0.345,0.358333333,0.326666667,0.325,0.366666667,0.378333333,0.81
Guam,0.856666667,0.72,0.743333333,0.736666667,0.76,0.934,0.932,0.742,0.8,0.82,0.935,
Kiribati,0.058333333,0.135,0.198333333,0.213333333,0.245,0.326666667,0.368333333,0.363333333,0.375,0.46,0.495,0.995
Marshall Islands,-0.041666667,-0.08,-0.228333333,-0.051666667,-0.126666667,-0.135,-0.136666667,-0.118333333,-0.16,-0.106666667,-0.12,0.675
Nauru,0.225,0.263333333,0.328333333,0.296666667,-0.281666667,-0.341666667,-0.135,-0.235,-0.038333333,-0.023333333,0.031666667,-0.175
Niue,-0.371666667,-0.7,-0.722,-0.716,,,,,1.255,1.33,1.255,
Papua New Guinea,-0.685,-0.646666667,-0.613333333,-0.6,-0.495,-0.551666667,-0.553333333,-0.598333333,-0.571666667,-0.623333333,-0.58,-0.63
Palau,0.403333333,0.426666667,0.423333333,0.128333333,0.075,0.075,0.241666667,0.19,0.273333333,0.291666667,0.221666667,0.45
Solomon Islands,-0.433333333,-0.421666667,-0.425,-0.415,-0.316666667,-0.258333333,-0.235,-0.206666667,-0.19,-0.146666667,-0.08,0.1175
Tonga,0.018333333,0.026666667,0.086666667,0.181666667,0.165,0.183333333,0.268333333,0.288333333,0.24,0.263333333,0.265,0.59
Tuvalu,0.22,0.268333333,0.196666667,0.231666667,0.38,0.386666667,0.446666667,0.371666667,0.423333333,0.361666667,0.396666667,0.94
Vanuatu,0.201666667,0.156666667,0.173333333,0.221666667,0.16,0.048333333,0.138333333,0.168333333,0.131666667,0.128333333,0.133333333,0.48
Samoa,0.296666667,0.33,0.315,0.353333333,0.553333333,0.6,0.626666667,0.713333333,0.691666667,0.678333333,0.706666667,0.605
