Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
 American Samoa,5.2,3,3.7,9.8,2.9,7,6.4,4.5,2,0.7,-0.9,-0.1,3.7,1.8,0.5,-0.1,4.9
 Cook Islands,2.5,3.4,2.5,4.9,4.5,1.5,2.5,2.1,2,0.9,1.1,-0.4,-0.3,0.1,0.4,1,1
 Fiji,2.3,2.5,4.8,7.8,3.6,5.6,8.7,3.4,2.9,0.5,1.4,3.8,3.3,4.1,1.8,-2.6,0.2
 French Polynesia,,,,3.4,-0.8,1.7,1.8,1.2,1.1,-0.2,0.6,0.2,0,-1.4,1.4,-0.9,0.5
 Guam,7.7,11.6,6.8,6.2,1.7,2.9,3.3,3.2,0,0.8,-0.9,6,2.5,2.6,1.8,1.7,3.8
 Kiribati,-0.3,-1.5,4,7.2,10.4,-3.8,1.8,-3,-1.5,2.1,0.6,1.9,0.4,0.6,-1.8,2.6,1.9
 Marshall Islands,3.5,5.3,2.6,14.7,0.5,1.8,5.4,4.3,1.9,1.1,-2.2,-1.5,0.3,0.7,0.2,-0.7,6.6
 Micronesia (Federated States of),3.9,4.9,3.5,10.9,3.9,2.6,7.6,2.5,1,0.7,-0.7,-0.9,0.5,2.5,1.5,-0.4,1.9
 Nauru,9.8,14.2,0.9,13.9,9.8,-4.6,-1.2,-0.8,0,6,10,8,5.1,6,2.8,1.2,1.1
 New Caledonia,2.6,1.4,1.8,3.7,0.2,2.7,2.6,1.6,0.7,0.6,0.7,0.6,1.2,1.8,-0.5,-0.8,1.7
 Niue,,2.3,6.7,9.1,11.7,5.3,3,2,-1.6,1.5,0.7,2.2,12.7,3.7,0.2,2.6,
 Northern Mariana Islands,0.6,0.6,0.3,-3.8,3.4,4,0.1,1.1,-0.2,0.4,0.1,0.3,-0.3,3,-0.1,0.3,
 Palau,3.9,4.4,3.3,9.9,1.5,1.4,4.7,3.6,3.4,4.3,0.8,1.3,1,2.2,0.2,0.2,2.7
 Papua New Guinea,1.8,2.4,0.9,10.8,6.9,6,7.2,4.5,4.4,5.2,6,6.7,5.4,4.6,3.7,4.9,4.5
 Samoa,1.9,3.7,5.6,11.6,6.3,0.8,5.2,2,0.6,-0.4,0.7,1.3,1.7,4.2,1,-1.6,3.1
 Solomon Islands,7.2,11.2,7.6,17.3,7.1,1,9.4,5.9,5.4,5.2,-0.6,0.5,-0.4,3.5,1.6,3,2.5
 Tokelau,,,,,,,,,,3.7,4.1,-1.4,3.7,7.3,6.5,3,2.5
 Tonga,8.7,6.2,5.8,10.5,1.4,3.7,6.3,1.2,2.1,1.2,-1.1,2.6,7.6,5.1,1.2,-0.3,5.6
 Tuvalu,3.2,4.2,2.3,10.4,-0.3,-1.9,-0.5,1.4,2,1.1,3.2,3.5,4.1,2.2,3.5,1.6,6.7
 Vanuatu,0.8,2.1,3.9,4.6,4.3,3,0.9,1.4,1.5,0.8,2.5,0.9,3.1,2.3,2.7,5.3,5
 Wallis and Futuna,2.8,2.8,1.8,3.8,-0.1,3.2,3.6,5,2.1,0.4,0.9,-2.2,-1.2,0.4,0.4,-0.1,1.2
