Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Fiji,5.9,6.2,6.5,6.7,7.1,7.8,8.1,8.5,8.7,8.8,8.5,8.6,8.5,8.4,8.2,8,7.7,7.6,7.5,7.5,7.5
Kiribati,20.4,19.8,19.2,18.8,18.4,18.1,17.7,17.4,17.1,16.7,16.3,16,15.8,15.6,15.6,15.6,15.6,15.6,15.5,15.3,14.9
Marshall Islands,38.2,37.4,36.5,36.3,36.4,35.7,36.3,37.1,37.6,37.8,37.6,36.8,36.2,35.8,35.2,35,34.8,34.3,33.5,32.8,32.2
Nauru,26.8,26.6,26.5,26.2,25.9,25.3,24.7,24,23.3,22.5,21.6,20.9,20.3,19.5,19,18.2,17.5,16.9,16.3,15.5,15
Papua New Guinea,41.9,42.1,42.4,42.9,43.4,44,44.4,45,45.6,46.1,46.6,46.9,47.2,47.2,47.3,47.5,47.6,47.9,48.1,48.3,48.4
Samoa,6.1,5.9,5.7,5.5,5.5,5.4,5.4,5.5,5.6,5.6,5.6,5.7,5.7,5.6,5.7,5.8,5.9,6.1,6.4,6.6,6.8
Solomon Islands,34,33.9,34,34.1,34.2,34.2,34.1,33.9,33.5,33.3,33,32.5,31.9,31.4,30.9,30.5,30.2,30,29.7,29.5,29.3
Tonga,12.9,12.4,11.9,11.4,10.8,10.2,9.6,9.1,8.7,8.3,7.8,7.3,6.7,6.1,5.5,4.9,4.3,3.8,3.3,3,2.6
Tuvalu,12.1,11.6,11.2,10.9,10.6,10.5,10.4,10.3,10.2,10.1,10.1,10,10,10,9.9,9.9,9.9,9.9,9.8,9.8,9.7
Vanuatu,25.1,25.1,25.3,25.6,26,26.3,26.5,26.7,26.8,26.9,27,27.2,27.3,27.5,27.7,27.9,28.2,28.4,28.5,28.6,28.7
