Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
 American Samoa,6.01,,,,,9.98,,,,,9.2,,,,,,,,,,
 Cook Islands,,14.84,,,,,9.43,,,,,15.61,,,,,2.76,,,4.64,
 Fiji,,,,8.22,6,16,,,8.94,8.72,8.91,18.4,9,,25.73,,22.35,7.8,,,
 French Polynesia,,,39.13,,,,,38.5,,,,,,,,,,49.1,,,
 Guam,15.32,13.21,29.14,,7.7,7.7,7.5,9.9,,9.8,9.3,15.7,12.2,11.5,7.6,6.9,5.4,,,,
 Kiribati,,,,,,41.61,,,,,61.83,,,,,22.2,,,,24.62,11.3
 Marshall Islands,,,,,,25.37,,,,,,39.4,,,,,,,,30.41,
 Micronesia (Federated States of),,,,,,,,,,,,,,26.6,29.87,,,,,,
 Nauru,,,46.1,,,,,,,,,25.51,,37.5,,,,,,,
 New Caledonia,,,,,16.31,,,,,16.34,,,,,39.97,,,36,,35.4,48.24
 Niue,,10.26,,,,,,,,,,8.1,,,,,,,,,
 Northern Mariana Islands,4.38,,,11.23,,8.22,,,,,13.05,,,,,,,,,,
 Palau,10.63,,,,,4.9,,,,,,,,,5.61,1.6,,,,,
 Papua New Guinea,5.27,,,,,,,,,,4.3,3.7,,,,,,5.5,,,
 Samoa,,15.46,,,,,1.63,,,,,22.2,25.34,,25.34,,1.8,29.99,10.8,,
 Solomon Islands,,,,,,,,,,2.25,,,,1.59,,,,47.6,,,
 Tonga,,,,7.41,,,1.09,,,,,,,,,,,10.9,11.67,,
 Tuvalu,,,8.58,,,,,,,,,,,,,,45.85,,,,
 Vanuatu,,,,,,,15.2,,,9.21,4.82,,,,,,,3.6,,14.44,
 Wallis and Futuna,,,,,,,,,,,,,,56.29,,,,,,,
