Country,Region,IncomeGroup
Aruba,Latin America & Caribbean,High income
Afghanistan,South Asia,Low income
Angola,Sub-Saharan Africa,Lower middle income
Albania,Europe & Central Asia,Upper middle income
Andorra,Europe & Central Asia,High income
United Arab Emirates,Middle East & North Africa,High income
Argentina,Latin America & Caribbean,Upper middle income
Armenia,Europe & Central Asia,Upper middle income
American Samoa,East Asia & Pacific,Upper middle income
Antigua and Barbuda,Latin America & Caribbean,High income
Australia,East Asia & Pacific,High income
Austria,Europe & Central Asia,High income
Azerbaijan,Europe & Central Asia,Upper middle income
Burundi,Sub-Saharan Africa,Low income
Belgium,Europe & Central Asia,High income
Benin,Sub-Saharan Africa,Lower middle income
Burkina Faso,Sub-Saharan Africa,Low income
Bangladesh,South Asia,Lower middle income
Bulgaria,Europe & Central Asia,Upper middle income
Bahrain,Middle East & North Africa,High income
Bahamas,Latin America & Caribbean,High income
Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
Belarus,Europe & Central Asia,Upper middle income
Belize,Latin America & Caribbean,Upper middle income
Bermuda,North America,High income
Bolivia,Latin America & Caribbean,Lower middle income
Brazil,Latin America & Caribbean,Upper middle income
Barbados,Latin America & Caribbean,High income
Brunei,East Asia & Pacific,High income
Bhutan,South Asia,Lower middle income
Botswana,Sub-Saharan Africa,Upper middle income
Central African Republic,Sub-Saharan Africa,Low income
Canada,North America,High income
Switzerland,Europe & Central Asia,High income
Channel Islands,Europe & Central Asia,High income
Chile,Latin America & Caribbean,High income
China,East Asia & Pacific,Upper middle income
Ivory Coast,Sub-Saharan Africa,Lower middle income
Cameroon,Sub-Saharan Africa,Lower middle income
DR Congo,Sub-Saharan Africa,Low income
Congo Republic,Sub-Saharan Africa,Lower middle income
Colombia,Latin America & Caribbean,Upper middle income
Comoros,Sub-Saharan Africa,Lower middle income
Cabo Verde,Sub-Saharan Africa,Lower middle income
Costa Rica,Latin America & Caribbean,Upper middle income
Cuba,Latin America & Caribbean,Upper middle income
Curaçao,Latin America & Caribbean,High income
Cayman Islands,Latin America & Caribbean,High income
Cyprus,Europe & Central Asia,High income
Czech Republic,Europe & Central Asia,High income
Germany,Europe & Central Asia,High income
Djibouti,Middle East & North Africa,Lower middle income
Dominica,Latin America & Caribbean,Upper middle income
Denmark,Europe & Central Asia,High income
Dominican Republic,Latin America & Caribbean,Upper middle income
Algeria,Middle East & North Africa,Lower middle income
Ecuador,Latin America & Caribbean,Upper middle income
Egypt,Middle East & North Africa,Lower middle income
Eritrea,Sub-Saharan Africa,Low income
Spain,Europe & Central Asia,High income
Estonia,Europe & Central Asia,High income
Ethiopia,Sub-Saharan Africa,Low income
Finland,Europe & Central Asia,High income
Fiji,East Asia & Pacific,Upper middle income
France,Europe & Central Asia,High income
Faroe Islands,Europe & Central Asia,High income
Mirconesia,East Asia & Pacific,Lower middle income
Gabon,Sub-Saharan Africa,Upper middle income
United Kingdom,Europe & Central Asia,High income
Georgia,Europe & Central Asia,Upper middle income
Ghana,Sub-Saharan Africa,Lower middle income
Gibraltar,Europe & Central Asia,High income
Guinea,Sub-Saharan Africa,Low income
Gambia,Sub-Saharan Africa,Low income
Guinea-Bissau,Sub-Saharan Africa,Low income
Equatorial Guinea,Sub-Saharan Africa,Upper middle income
Greece,Europe & Central Asia,High income
Grenada,Latin America & Caribbean,Upper middle income
Greenland,Europe & Central Asia,High income
Guatemala,Latin America & Caribbean,Upper middle income
Guam,East Asia & Pacific,High income
Guyana,Latin America & Caribbean,Upper middle income
Hong Kong,East Asia & Pacific,High income
Honduras,Latin America & Caribbean,Lower middle income
Croatia,Europe & Central Asia,High income
Haiti,Latin America & Caribbean,Lower middle income
Hungary,Europe & Central Asia,High income
Indonesia,East Asia & Pacific,Lower middle income
Isle of Man,Europe & Central Asia,High income
India,South Asia,Lower middle income
Ireland,Europe & Central Asia,High income
Iran,Middle East & North Africa,Lower middle income
Iraq,Middle East & North Africa,Upper middle income
Iceland,Europe & Central Asia,High income
Israel,Middle East & North Africa,High income
Italy,Europe & Central Asia,High income
Jamaica,Latin America & Caribbean,Upper middle income
Jordan,Middle East & North Africa,Upper middle income
Japan,East Asia & Pacific,High income
Kazakhstan,Europe & Central Asia,Upper middle income
Kenya,Sub-Saharan Africa,Lower middle income
Kyrgyz Republic,Europe & Central Asia,Lower middle income
Cambodia,East Asia & Pacific,Lower middle income
Kiribati,East Asia & Pacific,Lower middle income
St Kitts and Nevis,Latin America & Caribbean,High income
South Korea,East Asia & Pacific,High income
Kuwait,Middle East & North Africa,High income
Laos,East Asia & Pacific,Lower middle income
Lebanon,Middle East & North Africa,Lower middle income
Liberia,Sub-Saharan Africa,Low income
Libya,Middle East & North Africa,Upper middle income
St Lucia,Latin America & Caribbean,Upper middle income
Liechtenstein,Europe & Central Asia,High income
Sri Lanka,South Asia,Lower middle income
Lesotho,Sub-Saharan Africa,Lower middle income
Lithuania,Europe & Central Asia,High income
Luxembourg,Europe & Central Asia,High income
Latvia,Europe & Central Asia,High income
"Macao SAR, China",East Asia & Pacific,High income
St. Martin (French part),Latin America & Caribbean,High income
Morocco,Middle East & North Africa,Lower middle income
Monaco,Europe & Central Asia,High income
Moldova,Europe & Central Asia,Upper middle income
Madagascar,Sub-Saharan Africa,Low income
Maldives,South Asia,Upper middle income
Mexico,Latin America & Caribbean,Upper middle income
Marshall Islands,East Asia & Pacific,Upper middle income
North Macedonia,Europe & Central Asia,Upper middle income
Mali,Sub-Saharan Africa,Low income
Malta,Middle East & North Africa,High income
Myanmar,East Asia & Pacific,Lower middle income
Montenegro,Europe & Central Asia,Upper middle income
Mongolia,East Asia & Pacific,Lower middle income
Northern Mariana Islands,East Asia & Pacific,High income
