Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Aruba,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afghanistan,NA,47.80,45.60,40.60,38.00,36.10,33.30,29.80,26.50,23.30,21.20,20.20,21.10,20.70,20.70,21.50,22.20,23.00,24.00,26.90,29.80,NA,NA
Angola,NA,67.50,63.20,58.70,55.10,52.20,49.30,46.10,42.90,33.10,23.90,16.40,15.10,14.30,13.70,14.50,15.40,15.40,15.70,17.90,20.80,NA,NA
Albania,NA,4.90,6.10,7.50,8.60,8.90,8.80,8.30,7.30,6.30,5.80,5.40,5.10,5.00,5.00,4.90,4.70,4.70,4.60,4.30,3.90,NA,NA
Andorra,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
United Arab Emirates,NA,2.80,3.80,5.10,6.90,8.00,8.30,8.10,7.40,8.00,8.40,8.80,7.90,7.10,6.60,6.50,6.30,6.40,6.20,6.00,5.60,NA,NA
Argentina,NA,3.00,3.80,4.50,4.00,3.70,3.40,3.30,3.30,3.20,3.10,2.90,2.80,2.60,2.50,2.50,2.60,3.10,3.40,3.50,3.70,NA,NA
Armenia,NA,26.10,24.50,21.10,16.00,12.30,9.30,6.90,5.60,4.40,3.70,3.40,3.20,3.20,2.80,2.80,2.70,2.80,2.90,3.10,3.50,NA,NA
American Samoa,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Australia,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Austria,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Azerbaijan,NA,17.00,13.40,10.40,7.40,4.80,2.80,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Benin,NA,17.20,15.50,13.70,13.20,12.00,11.00,10.10,9.00,8.80,8.20,7.90,7.60,7.50,7.40,7.30,7.60,7.90,8.10,7.70,7.40,NA,NA
Burkina Faso,NA,22.60,20.50,18.60,18.10,17.50,17.10,16.00,15.40,14.10,13.30,12.60,12.20,11.80,11.80,12.00,12.30,12.40,12.70,14.10,18.00,NA,NA
Bangladesh,NA,15.90,15.10,14.90,14.40,14.20,13.80,13.90,13.60,14.80,15.20,15.80,15.30,15.00,14.10,14.00,13.30,12.50,11.50,11.00,11.40,NA,NA
Bulgaria,NA,4.00,4.20,4.50,4.90,4.90,5.10,4.60,4.50,4.10,4.00,4.00,3.70,3.20,3.30,3.40,3.50,3.00,2.80,3.00,3.00,NA,NA
Bahrain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bahamas, The",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bosnia and Herzegovina,NA,3.20,3.00,2.60,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Belarus,NA,2.50,2.70,3.30,3.30,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Belize,NA,5.80,5.40,5.50,5.50,5.70,5.80,6.60,7.10,6.90,6.50,6.40,6.80,7.40,7.70,7.80,7.20,7.00,6.70,6.80,7.40,NA,NA
Bermuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,NA,27.90,26.90,27.70,27.70,26.80,24.60,23.90,24.70,22.90,20.40,17.30,16.70,16.50,15.60,14.30,13.10,12.50,12.10,11.90,13.90,NA,NA
Brazil,NA,10.70,9.30,7.90,6.80,6.50,6.20,5.60,5.10,4.30,3.70,3.20,3.00,2.80,2.50,2.50,2.50,2.50,2.50,2.60,4.10,NA,NA
Barbados,NA,6.40,6.20,6.70,6.20,6.10,5.30,5.30,4.90,4.50,4.30,4.20,4.40,4.40,4.40,4.30,4.40,4.30,4.10,3.70,3.40,NA,NA
Brunei Darussalam,NA,20.00,19.30,18.30,17.70,17.00,16.20,15.20,14.20,12.80,11.40,10.00,9.20,8.40,8.00,7.40,6.80,6.20,5.80,5.80,5.90,NA,NA
Bhutan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Botswana,NA,23.70,24.10,24.50,23.70,22.60,22.30,22.20,22.00,21.90,21.50,21.00,20.30,19.70,19.30,19.60,20.10,21.30,21.50,22.10,21.90,NA,NA
Central African Republic,NA,39.20,40.10,40.60,40.50,39.60,37.70,35.70,33.30,31.90,30.30,29.60,33.00,40.20,47.90,49.90,48.60,46.10,46.80,49.20,52.20,NA,NA
Canada,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
Switzerland,NA,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,2.50,NA,NA
