Country,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Angola,NA,NA,NA,66.5,NA,NA,70.1,73.5,77.7,NA,NA
United Arab Emirates,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA
Argentina,NA,NA,NA,19.2,25.9,32.3,35.8,35.8,37.0,NA,NA
Australia,NA,NA,NA,10.8,11.8,12.7,13.3,12.3,11.9,NA,NA
Austria,NA,NA,NA,5.5,5.2,4.4,3.6,3.0,3.3,NA,NA
Azerbaijan,NA,NA,NA,5.9,7.7,8.6,9.6,8.9,9.5,NA,NA
Burundi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belgium,NA,NA,NA,NA,NA,NA,NA,3.7,4.8,NA,NA
Benin,NA,NA,NA,55.0,63.8,66.3,65.6,65.7,67.9,NA,NA
Burkina Faso,NA,NA,NA,41.8,43.0,42.9,42.8,47.9,52.6,NA,NA
Bangladesh,NA,NA,NA,32.2,31.9,31.5,31.5,31.9,31.7,NA,NA
Bulgaria,NA,NA,NA,14.9,13.6,12.0,12.5,13.2,15.5,NA,NA
Bahrain,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Belarus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bolivia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brazil,NA,NA,NA,18.3,21.5,21.8,20.6,23.5,28.9,NA,NA
Botswana,NA,NA,NA,46.4,51.3,53.4,53.1,54.0,55.6,NA,NA
Canada,NA,NA,NA,5.0,5.0,5.0,5.1,5.8,6.5,NA,NA
Switzerland,NA,NA,NA,4.8,4.2,3.1,2.6,2.0,2.2,NA,NA
Chile,NA,NA,NA,10.8,12.2,13.7,15.3,17.3,17.4,NA,NA
China,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cameroon,NA,NA,NA,49.9,55.3,58.0,57.0,56.4,55.8,NA,NA
Colombia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Costa Rica,NA,NA,NA,12.2,12.9,13.7,14.5,15.3,15.9,NA,NA
Czech Republic,NA,NA,NA,5.8,5.1,3.9,3.8,4.2,5.8,NA,NA
Germany,NA,NA,NA,4.1,3.8,3.6,3.5,3.4,3.5,NA,NA
Denmark,NA,NA,NA,5.9,5.8,5.4,5.2,5.0,5.5,NA,NA
Dominican Republic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algeria,NA,NA,NA,22.9,21.5,19.7,17.6,17.6,19.0,NA,NA
Ecuador,NA,NA,NA,20.7,23.3,26.2,29.2,32.7,36.8,NA,NA
Spain,NA,NA,NA,7.1,7.5,7.5,8.6,8.8,8.6,NA,NA
Ethiopia,NA,NA,NA,56.2,58.3,59.4,57.9,56.3,56.2,NA,NA
Finland,NA,NA,NA,9.3,8.4,8.3,7.7,8.0,8.8,NA,NA
France,NA,NA,NA,6.8,6.3,6.3,6.0,5.8,5.9,NA,NA
United Kingdom,NA,NA,NA,6.3,6.1,5.6,4.9,3.9,3.5,NA,NA
Ghana,NA,NA,NA,38.3,40.8,43.8,39.5,38.2,36.6,NA,NA
Guinea,NA,NA,NA,72.5,73.4,74.1,74.1,74.1,73.3,NA,NA
Greece,NA,NA,NA,15.8,16.4,16.6,13.3,8.6,6.8,NA,NA
Guatemala,NA,NA,NA,42.7,44.2,43.5,45.2,49.7,55.9,NA,NA
Honduras,NA,NA,NA,41.6,41.4,41.1,40.9,45.6,49.9,NA,NA
