index,Drought,Earthquake,Economic Crises,Flood,Landslide,Storm,Volcanic activity,Wildfire
Afghanistan,6.0,2.0,0.0,18.0,9.0,2.0,0.0,0.0
Albania,0.0,10.0,0.0,2.0,0.0,0.0,0.0,0.0
Algeria,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0
Angola,9.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0
Anguilla,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
Argentina,4.0,0.0,0.0,15.0,2.0,3.0,0.0,2.0
Armenia,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0
Australia,2.0,0.0,0.0,15.0,0.0,24.0,0.0,5.0
Austria,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0
Azerbaijan,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahamas,0.0,0.0,0.0,1.0,0.0,13.0,0.0,0.0
Bangladesh,0.0,0.0,0.0,21.0,1.0,13.0,0.0,0.0
Barbados,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Belarus,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Belgium,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0
Belize,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0
Benin,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0
Bhutan,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0
Bolivia,9.0,0.0,1.0,27.0,7.0,0.0,0.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0
Botswana,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
Brazil,10.0,0.0,4.0,11.0,0.0,1.0,0.0,1.0
Bulgaria,0.0,0.0,0.0,9.0,0.0,4.0,0.0,0.0
Burkina Faso,6.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0
Burundi,0.0,0.0,0.0,22.0,3.0,1.0,0.0,0.0
Cabo Verde,3.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Cambodia,3.0,0.0,0.0,12.0,0.0,3.0,0.0,0.0
