index,Drought,Earthquake,Economic Crises,Flood,Landslide,Storm,Volcanic activity,Wildfire
Score,-0.16,0.09,-0.18,-0.38,0.67,0.27,0.43,0.41
natural,-0.23,0.18,-0.2,-0.46,0.65,0.39,0.31,0.6
human,0.49,0.46,-0.27,-0.39,-0.37,-0.53,0.64,-0.05
social,-0.15,-0.03,-0.05,-0.37,0.69,0.25,0.52,0.38
financial,0.04,0.21,-0.18,-0.3,0.75,0.41,0.16,0.4
manufactured,-0.27,0.04,-0.18,-0.32,0.7,0.33,0.34,0.42
BDH.new,-0.23,0.01,-0.16,-0.31,0.71,0.33,0.4,0.41
ECS,0.52,0.75,-0.2,-0.39,-0.07,0.2,-0.27,0.44
Sealevel,0,0,0,0,0,0,0,0
Forest,0.17,0.2,0.09,-0.41,-0.31,0.14,0.08,0.37
Land,0,0,0,0,0,0,0,0
energy,-0.73,-0.26,-0.05,-0.12,0.33,0.18,0.13,0.26
Water,0.57,0.31,0,0.23,-0.67,-0.44,-0.31,-0.41
GHP.new,0.32,-0.14,0.3,0.34,-0.44,-0.36,-0.22,-0.5
WaterQuant,0,0,0,0,0,0,0,0
WaterQual,0,0,0,0,0,0,0,0
Demographics,-0.42,-0.14,-0.22,-0.04,0.58,0.22,0.25,0.17
literacy,0.35,0.2,-0.1,-0.29,-0.55,-0.5,0.59,-0.12
HDI,0.6,0.34,-0.01,0.21,-0.64,-0.43,-0.3,-0.4
labrate,0.03,-0.05,0.6,-0.54,-0.06,-0.12,0.29,0.36
agprod,-0.16,0.12,-0.22,-0.37,0.7,0.31,0.37,0.42
agVol,-0.31,0.04,-0.22,-0.29,0.63,0.34,0.33,0.44
obesity,-0.12,-0.43,0.24,0.66,-0.68,-0.42,-0.36,-0.68
foodsafe,0.1,0.51,-0.4,-0.73,0.35,0.28,0.43,0.62
drinking,-0.3,-0.01,-0.17,-0.28,0.67,0.28,0.37,0.37
Micro,-0.04,0.01,-0.03,-0.15,0.44,0.25,0.28,0.29
Protein,-0.57,-0.62,0.04,0.46,-0.05,-0.4,0.3,-0.52
Diversity,0.61,0.42,0.07,-0.42,0.32,0.09,0.05,0.21
urbancap,0.25,-0.43,0.17,0.6,-0.45,-0.29,0.01,-0.68
safetynet,0.07,0.12,0.3,-0.73,0.49,0.11,0.55,0.57
policyfood,-0.36,-0.15,-0.16,-0.13,0.59,0.21,0.45,0.24
nutritional,-0.05,0.18,-0.15,-0.51,0.71,0.34,0.45,0.53
gender,-0.23,0.01,-0.23,-0.21,0.68,0.28,0.34,0.3
political,-0.28,-0.14,0.35,-0.53,0.56,0.24,0.41,0.56
corruption,0.07,0.25,-0.13,-0.39,0.6,0.1,0.22,0.25
conflict,-0.31,-0.22,0.6,-0.55,0.04,0.17,0.13,0.54
perCapita,-0.2,-0.09,-0.53,0.5,0.2,0.22,-0.29,-0.3
edu,0.04,0.29,0.25,-0.44,-0.17,0.14,-0.42,0.39
tariff,0.14,0.45,-0.27,-0.63,0.52,0.39,0.36,0.66
agGDP,-0.05,-0.34,0.25,0.64,-0.68,-0.36,-0.45,-0.61
finance,-0.29,-0.05,-0.15,-0.26,0.7,0.31,0.37,0.36
priceVol,0.19,0.22,-0.07,-0.36,0.69,0.3,0.31,0.39
foodloss,0.55,0.3,-0.15,0.31,-0.67,-0.38,-0.31,-0.46
kofgi,-0.33,-0.07,-0.08,-0.34,0.69,0.29,0.38,0.39
agadaptpolicy,-0.17,0.08,-0.22,-0.3,0.67,0.3,0.4,0.39
climatesma,0,0,0,0,0,0,0,0
disman,-0.43,-0.03,-0.19,-0.21,0.59,0.24,0.24,0.33
Nindex,-0.02,-0.36,0.44,0.27,-0.14,-0.23,-0.18,-0.37
RND,0.22,0.04,0.18,0.13,-0.32,0.04,-0.58,-0.16
mobile,-0.01,0.24,-0.18,-0.51,0.72,0.39,0.38,0.56
transport,-0.2,0.16,-0.16,-0.5,0.72,0.37,0.33,0.56
storage,-0.28,-0.01,-0.15,-0.33,0.72,0.34,0.38,0.42
