Year,Income Group,Indicator,Avg_Income
2012,High income,Access to Agricultural Resources,57.3
2012,High income,Access to Diversified Financial Services,77.0
2012,High income,Access to Financial Services,90.5
2012,High income,Adoptation of Innovative Technologies,55.9
2012,High income,Agricultural GDP,95.9
2012,High income,Agricultural Production Volatility,67.9
2012,High income,Agricultural R&D,46.9
2012,High income,Agricultural Trade,76.2
2012,High income,Agricultural Water Quality,87.8
2012,High income,Agricultural Water Quantity,39.9
2012,High income,Agricultural Women Empowerment,17.6
2012,High income,Armed Conflict,91.9
2012,High income,Biodiversity and Habitat,54.4
2012,High income,Community Organizations,89.2
2012,High income,Corruption,66.2
2012,High income,Crop Storage Facilities,62.2
2012,High income,Dependency on Chronic Food Aid,94.6
2012,High income,Disaster Risk Management,31.0
2012,High income,Early Warning Measures,70.3
2012,High income,Ecosystem Services,36.3
2012,High income,Financial Capital,81.1
2012,High income,Food Dietary Diversity,61.3
2012,High income,Food Loss,86.9
2012,High income,Food Price Volatility,79.2
2012,High income,Food Safety,95.4
2012,High income,Food Safety Net Programs,95.9
2012,High income,Food Security Policy Commitment,12.2
2012,High income,Food Supply Sufficiency,82.4
2012,High income,Food Systems Resilience Score,69.0
2012,High income,Forest Change,75.3
2012,High income,Gender Equality,80.7
2012,High income,Green House Emission Per Capita,25.4
2012,High income,Human Capital,81.1
2012,High income,Income Inequality,71.7
2012,High income,Irrigation Infrastructure,24.7
2012,High income,KOFGI Globalization Index,73.7
2012,High income,Labor Force Participation Rate,61.8
2012,High income,Land Degradation,81.5
2012,High income,Literacy Rate,95.7
2012,High income,Manufactured Capital,60.3
2012,High income,Micronutrient Availability,71.2
2012,High income,Natural Capital,48.9
2012,High income,Natural Hazard Exposure,68.7
2012,High income,Nutritional Standards,61.1
2012,High income,Per Capita GDP,75.4
2012,High income,Political Stability Risk,72.6
2012,High income,Population Growth Rate,87.0
2012,High income,Poverty Population,98.8
2012,High income,Protein Quality,94.7
2012,High income,Social Capital,68.2
2012,High income,Soil Organic Content,36.0
2012,High income,Supply Chain Infrastructure,72.0
2012,High income,Sustainable Agriculture,60.8
2012,High income,Telecommunications,74.9
2012,Low income,Access to Agricultural Resources,58.5
2012,Low income,Access to Diversified Financial Services,2.8
2012,Low income,Access to Financial Services,19.4
2012,Low income,Adoptation of Innovative Technologies,18.5
2012,Low income,Agricultural GDP,44.9
2012,Low income,Agricultural Production Volatility,58.6
2012,Low income,Agricultural R&D,17.3
2012,Low income,Agricultural Trade,64.3
2012,Low income,Agricultural Water Quality,4.2
2012,Low income,Agricultural Water Quantity,41.7
2012,Low income,Agricultural Women Empowerment,19.4
2012,Low income,Armed Conflict,54.2
2012,Low income,Biodiversity and Habitat,45.5
2012,Low income,Community Organizations,58.3
2012,Low income,Corruption,15.3
2012,Low income,Crop Storage Facilities,27.8
2012,Low income,Dependency on Chronic Food Aid,55.6
2012,Low income,Disaster Risk Management,26.4
2012,Low income,Early Warning Measures,47.2
2012,Low income,Ecosystem Services,33.3
2012,Low income,Financial Capital,34.7
2012,Low income,Food Dietary Diversity,46.0
2012,Low income,Food Loss,64.3
2012,Low income,Food Price Volatility,51.7
2012,Low income,Food Safety,27.8
2012,Low income,Food Safety Net Programs,22.3
2012,Low income,Food Security Policy Commitment,45.0
2012,Low income,Food Supply Sufficiency,42.6
2012,Low income,Food Systems Resilience Score,43.3
2012,Low income,Forest Change,66.4
2012,Low income,Gender Equality,38.6
2012,Low income,Green House Emission Per Capita,81.7
2012,Low income,Human Capital,57.1
2012,Low income,Income Inequality,32.9
2012,Low income,Irrigation Infrastructure,2.9
2012,Low income,KOFGI Globalization Index,44.3
2012,Low income,Labor Force Participation Rate,67.5
2012,Low income,Land Degradation,72.3
2012,Low income,Literacy Rate,63.1
2012,Low income,Manufactured Capital,28.9
2012,Low income,Micronutrient Availability,73.7
2012,Low income,Natural Capital,49.5
2012,Low income,Natural Hazard Exposure,65.7
2012,Low income,Nutritional Standards,46.8
2012,Low income,Per Capita GDP,16.4
2012,Low income,Political Stability Risk,32.8
2012,Low income,Population Growth Rate,65.6
2012,Low income,Poverty Population,23.9
2012,Low income,Protein Quality,37.3
2012,Low income,Social Capital,38.8
2012,Low income,Soil Organic Content,19.0
2012,Low income,Supply Chain Infrastructure,26.6
2012,Low income,Sustainable Agriculture,27.8
2012,Low income,Telecommunications,6.7
2012,Lower middle income,Access to Agricultural Resources,53.7
2012,Lower middle income,Access to Diversified Financial Services,21.0
2012,Lower middle income,Access to Financial Services,45.2
2012,Lower middle income,Adoptation of Innovative Technologies,15.1
2012,Lower middle income,Agricultural GDP,70.6
2012,Lower middle income,Agricultural Production Volatility,69.1
2012,Lower middle income,Agricultural R&D,19.0
2012,Lower middle income,Agricultural Trade,63.8
2012,Lower middle income,Agricultural Water Quality,11.7
2012,Lower middle income,Agricultural Water Quantity,40.6
2012,Lower middle income,Agricultural Women Empowerment,16.1
2012,Lower middle income,Armed Conflict,69.4
2012,Lower middle income,Biodiversity and Habitat,40.4
2012,Lower middle income,Community Organizations,82.3
2012,Lower middle income,Corruption,10.5
2012,Lower middle income,Crop Storage Facilities,29.0
2012,Lower middle income,Dependency on Chronic Food Aid,58.1
2012,Lower middle income,Disaster Risk Management,20.3
2012,Lower middle income,Early Warning Measures,24.2
2012,Lower middle income,Ecosystem Services,37.2
2012,Lower middle income,Financial Capital,51.0
2012,Lower middle income,Food Dietary Diversity,43.5
2012,Lower middle income,Food Loss,67.6
2012,Lower middle income,Food Price Volatility,54.3
2012,Lower middle income,Food Safety,61.2
2012,Lower middle income,Food Safety Net Programs,58.2
2012,Lower middle income,Food Security Policy Commitment,36.9
2012,Lower middle income,Food Supply Sufficiency,50.6
2012,Lower middle income,Food Systems Resilience Score,50.2
2012,Lower middle income,Forest Change,65.4
2012,Lower middle income,Gender Equality,49.7
2012,Lower middle income,Green House Emission Per Capita,71.3
2012,Lower middle income,Human Capital,62.3
2012,Lower middle income,Income Inequality,45.1
2012,Lower middle income,Irrigation Infrastructure,26.9
2012,Lower middle income,KOFGI Globalization Index,52.5
2012,Lower middle income,Labor Force Participation Rate,60.4
2012,Lower middle income,Land Degradation,58.4
2012,Lower middle income,Literacy Rate,72.3
2012,Lower middle income,Manufactured Capital,37.3
